顧客名,アイアムアイ,,,,,,,,,,,,
業種,居酒屋（もつ鍋・日本酒バー）,,,,,,,,,,,,
GBPカテゴリ,居酒屋,,,,,,,,,,,,
開始月,2026年1月,,,,,,,,,,,,
目標口コミ数,60,,,,,,,,,,,,
除外ルール,posts,calls,,,,,,,,,,,
,,,,,,,,,,,,,
■ パフォーマンス指標（GBP管理画面→パフォーマンスから取得）,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,前年比備考
閲覧数（合計）,9519,6755,6393,,,,,,,,,,
ウェブサイトクリック数,50,40,39,,,,,,,,,,
ルート検索数,53,39,77,,,,,,,,,,
電話発信数,15,8,7,,,,,,,,,,
メッセージ数,,,,,,,,,,,,,
予約数,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 口コミ,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
口コミ総数（累計）,29,30,31,,,,,,,,,,
当月新規口コミ数,,1,1,,,,,,,,,,
平均評価（★）,4.6,4.6,4.6,,,,,,,,,,
返信率（%）,,,,,,,,,,,,,
返信平均時間（h）,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 投稿,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
当月投稿数,2,2,3,,,,,,,,,,
├ 最新情報,,,,,,,,,,,,,
├ 特典（クーポン）,,,,,,,,,,,,,
├ イベント,,,,,,,,,,,,,
└ FAQ型投稿,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 写真,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
写真総枚数（累計）,,,,,,,,,,,,,
当月追加枚数,,,,,,,,,,,,,
写真閲覧数,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 検索クエリTOP10（月ごとに記録）,,,,,,,,,,,,,
順位,1月KW,1月表示回数,2月KW,2月表示回数,3月KW,3月表示回数,4月KW,4月表示回数,5月KW,5月表示回数,6月KW,6月表示回数,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 競合ベンチマーク（四半期更新推奨）,,,,,,,,,,,,,
競合名,Q1口コミ数,Q1評価,Q2口コミ数,Q2評価,Q3口コミ数,Q3評価,Q4口コミ数,Q4評価,,,,,
競合1: ほっこり串焼酒場 あし跡,127,4.3,,,,,,,,,,,
競合2: ととや,94,4.1,,,,,,,,,,,
競合3: ミートDEビアー とりこ店,48,4.7,,,,,,,,,,,
自社: アイアムアイ,31,4.6,,,,,,,,,,,
,,,,,,,,,,,,,
■ MEO順位（手動or外部ツール）,,,,,,,,,,,,,
対策キーワード,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
KW1:,,,,,,,,,,,,,,
KW2:,,,,,,,,,,,,,,
KW3:,,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 月次アクションログ,,,,,,,,,,,,,
月,実施した施策,成果・気づき,,,,,,,,,,,,
1月,,,,,,,,,,,,,
2月,,,,,,,,,,,,,
3月,,,,,,,,,,,,,
4月,,,,,,,,,,,,,
5月,,,,,,,,,,,,,
6月,,,,,,,,,,,,,
7月,,,,,,,,,,,,,
8月,,,,,,,,,,,,,
9月,,,,,,,,,,,,,
10月,,,,,,,,,,,,,
11月,,,,,,,,,,,,,
12月,,,,,,,,,,,,,
