顧客名,ペットシッター にゃんぽん,,,,,,,,,,,,
業種,ペットシッター（猫専門）,,,,,,,,,,,,
GBPカテゴリ,ペットシッター,,,,,,,,,,,,
開始月,2026年1月,,,,,,,,,,,,
目標口コミ数,30,,,,,,,,,,,,
除外ルール,posts,views_down,,,,,,,,,,,
,,,,,,,,,,,,,
■ パフォーマンス指標（GBP管理画面→パフォーマンスから取得）,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,前年比備考
閲覧数（合計）,85,57,55,,,,,,,,,,
ウェブサイトクリック数,1,1,3,,,,,,,,,,
ルート検索数,0,0,15,,,,,,,,,,
電話発信数,1,0,0,,,,,,,,,,
メッセージ数,,,,,,,,,,,,,
予約数,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 口コミ,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
口コミ総数（累計）,2,2,2,,,,,,,,,,
当月新規口コミ数,,0,0,,,,,,,,,,
平均評価（★）,5.0,5.0,5.0,,,,,,,,,,
返信率（%）,,100,100,,,,,,,,,,
返信平均時間（h）,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 投稿,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
当月投稿数,2,2,2,,,,,,,,,,
├ 最新情報,2,2,2,,,,,,,,,,
├ 特典（クーポン）,,,,,,,,,,,,,
├ イベント,,,,,,,,,,,,,
└ FAQ型投稿,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 写真,,,,,,,,,,,,,
指標,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
写真総枚数（累計）,,,,,,,,,,,,,
当月追加枚数,,,,,,,,,,,,,
写真閲覧数,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 検索クエリTOP10（月ごとに記録）,,,,,,,,,,,,,
順位,1月KW,1月表示回数,2月KW,2月表示回数,3月KW,3月表示回数,4月KW,4月表示回数,5月KW,5月表示回数,6月KW,6月表示回数,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 競合ベンチマーク（四半期更新推奨）,,,,,,,,,,,,,
競合名,Q1口コミ数,Q1評価,Q2口コミ数,Q2評価,Q3口コミ数,Q3評価,Q4口コミ数,Q4評価,,,,,
競合1: Mermaid,44,5.0,,,,,,,,,,,
競合2: 【犬猫専門】ペットシッターズ東京ベイ,35,4.9,,,,,,,,,,,
競合3: ペットシッターおうちでいっしょ,10,5.0,,,,,,,,,,,
自社: ペットシッター にゃんぽん,2,5.0,,,,,,,,,,,
,,,,,,,,,,,,,
■ MEO順位（手動or外部ツール）,,,,,,,,,,,,,
対策キーワード,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
KW1:,,,,,,,,,,,,,,
KW2:,,,,,,,,,,,,,,
KW3:,,,,,,,,,,,,,,
,,,,,,,,,,,,,
■ 月次アクションログ,,,,,,,,,,,,,
月,実施した施策,成果・気づき,,,,,,,,,,,,
1月,,,,,,,,,,,,,
2月,,,,,,,,,,,,,
3月,,,,,,,,,,,,,
