company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分,検出ワード
株式会社プロジェ・アキ,https://www.salon-chirashiwork.com/,〒107-0062 東京都港区南青山2-2-15ウィン青山942 TEL.03-6403-0690 mail info@salon-chirashiwork.com,,,https://www.salon-chirashiwork.com/form.html,,,,,,,,,S｜業界特化Web制作,美容室・サロン特化支援：美容室／web制作
株式会社グラシオート,https://graciauto.jp/,〒454-0012 愛知県名古屋市中川区柳川町4番19号 オンザスペース503号 事業内容 AI導入支援・業務自動化／業務システム開発／Web制作・LINE構築／集客,,,https://graciauto.jp/contact/,,,,,,,,,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作
BOOSTTECH株式会社,https://www.misepage.com/,,,,https://www.misepage.com/contact,,,,,,,,,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作
株式会社 ベルコム,https://www.belcom.co.jp/,365-2291 ベルコムスタジオ住所 東京都府中市緑町1-15-3 2F・3F 美容室開業サポート 制作物サポート 取扱いメーカー セミナー 会社概要 お知らせ お問い合せ 美容学校一,,,https://www.belcom.co.jp/contact/,,,,,,,,,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作
株式会社アルテ,https://www.styledesigner.net/,〒231-0031 神奈川県横浜市中区万代町1-2-12 VORT横浜関内Ⅲ 2階 TEL 045-680-5321 FAX 045-680-5331 © STYLE,045-680-5321,,https://www.styledesigner.net/contact,,,,,,,,,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ブランディング
株式会社GIコンサルティングパートナーズ,https://gicp.co.jp/,〒101-0026 東京都千代田区神田佐久間河岸78-3 神田NYビル4階 TEL 03-5846-9690 FAX 03-5846-9691 メールアドレス inf,03-5846-9690,,https://gicp.co.jp/contact/,,,,,,,,,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作
株式会社b-models,https://esthe-consulting.com/,〒532-0011 大阪府大阪市淀川区西中島3-8-15 EPOSHINOSAKA302/204 電話番号： 06-7777-4683 営業時間：9時30分～18時3,,,https://esthe-consulting.com/contact/,,,,,,,,,S｜業界特化Web制作,美容室・サロン特化支援：エステサロン／マーケティング
株式会社 BG,https://salonmarugoto.jp/,150-0002 東京都渋谷区渋谷 1-12-1 カレイド渋谷宮益坂ビル 5 階 TEL 03-5468-3280 FAX 03-3797-5576 大阪支店 55,03-5468-3280,,https://salonmarugoto.jp/contact/,,,,,,,,,S｜業界特化Web制作,美容室・サロン特化支援：美容室／集客支援
株式会社フィーモデザイン,https://fe-mo.co.jp/,630-0255 奈良県生駒市山崎新町1-23 0743-73-8511 Top Works Services Price About Us News & Blog,0743-73-8511,,https://fe-mo.co.jp/contact/,,,,,,,,,S｜業界特化Web制作,美容室・サロン特化支援：美容室／web制作
株式会社FlatWorks,https://www.teamflatworks.jp/,〒517-0505 三重県志摩市阿児町甲賀4690-9 TEL 090-6864-0485 [email protected] HP制作 実績 ブログ お知らせ 会社,090-6864-0485,,https://www.teamflatworks.jp/contact,,,,,,,,,S｜業界特化Web制作,美容室・サロン特化支援：美容室／sns運用
有限会社じん,https://ractory.co.jp/,"〒660-0062 兵庫県尼崎市浜田町2丁目84 堀吉ビル 設立 2014年9月 資本金 1,000万円 関連会社 有限会社じん 事業内容 ・マーケティング全般 ・フ",,,https://ractory.co.jp/contact/,,,,,,,,,S｜業界特化Web制作,美容室・サロン特化支援：美容サロン／マーケティング
