company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分,検出ワード
株式会社ラング,https://rang.jp/,,,,https://rang.jp/contact/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：リフォーム会社／webサイト
株式会社ジクージン,https://www.jicoojin.co.jp/,〒460-0002 愛知県名古屋市中区丸の内2-7-1-502 TEL：052-728-2239 koho@jicoojin.co.jp ＜主な事業＞ 経営改善に関す,052-728-2239,,https://www.jicoojin.co.jp/contactform/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：工務店／マーケティング
株式会社サザンソフト,https://www.southernsoft.co.jp/,〒178-0062 東京都練馬区大泉町1-28-47 TEL 03-6876-4562 FAX 03-6876-4562 ショップから一言 いつもサザンソフトをご利用,03-6876-4562,,https://www.southernsoft.co.jp/cgi-bin/support1.cgi,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／施工管理
YDAIコンサルティング株式会社,https://koumuten-hub.com/,,,,https://koumuten-hub.com/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：工務店／顧客管理
株式会社エンジョイワークス,https://kensetsu-engine-matching.jp/,〒542-0081 大阪府大阪市中央区南船場二丁目3番2号 南船場ハートビル4F https://enjoyworks.co.jp/ Copyright ©建設円陣,,,https://kensetsu-engine-matching.jp/form/inquiry,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／マッチング
株式会社freesia,https://www.freesia-sys.com/,〒520-2423 滋賀県野洲市西河原一丁目2227 0120-526-330 copyright（C）2021 freesia.co.jp All right re,,,https://www.freesia-sys.com/contact,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：工務店／顧客管理
ツクリンク株式会社,https://tsukulink.co.jp/,〒151-0053 東京都渋谷区代々木1-4-1 Jプロ代々木ビル4F HOME 私たちについて 会社概要 事業内容 採用情報 ジャーナル お知らせ お問い合わせ H,,,https://tsukulink.co.jp/contact/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／pos
株式会社リフォーム産業新聞社のコーポレートサイトはこちら,https://www.reform-online.jp/,〒104-0061 東京都中央区銀座8-12-15 全国燃料会館ビル7F 大きな地図で見る TEL 03-6260-4824 FAX 03-6260-6945 URL,03-6260-4824,,https://www.reform-online.jp/contact/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：工務店／マーケティング
30 株式会社,https://www.nikken-times.co.jp/,,06-6585-7682,,https://www.nikken-times.co.jp/info/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／建設dx
株式会社日刊建設通信新聞社,https://www.kensetsunews.com/,〒101-0054 東京都千代田区神田錦町3-13-7（名古路ビル本館） 代表者 代表取締役社長 佐藤 俊之 事業内容 日刊全国紙「建設通信新聞」、各種書籍、「月刊,,,https://www.kensetsunews.com/contact,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／工程管理
株式会社ハウジングラボ,https://www.housing-labo.com/,〒573-0087 大阪府枚方市香里園山之手町52-8 TEL：072-833-7592 ・Personal事業部（個人）－住まいづくりオンライン相談.設計.デザイン,072-833-7592,,https://www.housing-labo.com/contact,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：工務店／コンサルティング
シェルフィー株式会社,https://www.shelfy.co.jp/,〒153-0044 東京都目黒区大橋2-22-42 No.R池尻大橋 B1F ℡ 03-6478-9648 トップ お知らせ プレスリリース 掲載情報 手掛けている事,,,https://www.shelfy.co.jp/contact,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／建設dx
株式会社フォトラクション,https://www.photoruction.com/,,,,https://www.photoruction.com/inquiry-trial,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／建設dx
株式会社 MetaMoJi,https://metamoji.com/,〒106-0032 東京都港区六本木1-7-27 全特六本木ビル EAST４階 徳島支社 〒770-8053 徳島県徳島市沖浜東3-46 徳島Jビル西館3階 大阪営業所 〒532-0003 大阪府大阪,,,https://metamoji.com/jp/support_contact/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／予約システム
建築ソフト株式会社,https://kentiku.co.jp/,〒194-0013 東京都町田市原町田3-2-2 第2タストンビル6F TEL.042-725-1766 FAX.042-723-8870 お問合せ・資料請求 コスト,042-725-1766,,https://kentiku.co.jp/contact/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：ハウスメーカー／施工管理
総合システム情報株式会社,https://www.ysl.co.jp/,〒231-0033 神奈川県横浜市中区長者町4-9-1 YS関内ビル TEL 045-662-2811 Menu トップページ 事業内容 システムインテグ レーション事,045-662-2811,,https://www.ysl.co.jp/contact-privacy/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：工務店／業務支援
クラフトバンク株式会社,https://craft-bank.com/,〒103-0005 東京都中央区日本橋久松町12-8 DeLCCS 日本橋久松町 8階 Services クラフトバンクオフィス クラフトバンク事務代行 クラフトバン,,,https://craft-bank.com/form/quotation/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／経営支援
株式会社助太刀,https://suke-dachi.jp/,,,,https://suke-dachi.jp/contact/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／マッチング
株式会社CORDER,https://corder.co.jp/,〒150-0031 東京都渋谷区桜丘町４−１７ 03-6824-1641 Service オンライン積算課 積算代行サービス 積算パートナー募集 会社情報 CORDE,,,https://corder.co.jp/contact/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：建設業／クラウド
株式会社log,https://www.log-build.com/,〒220-0012 神奈川県横浜市西区みなとみらい3-7-1 WeWork オーシャンゲートみなとみらい8F 【湘南オフィス】 〒251-0057 神奈川県藤沢市城南4,,,https://www.log-build.com/inquiry/,,,,,,,,,S｜業界特化Web制作,建築・工務店・リフォーム特化支援：工務店／施工管理
