decision,company_name,url,contact_url,address,phone,evidence,reason,source_url
accept,NBSホテルズ＆リゾーツ株式会社,https://www.toroca.jp/,https://www.toroca.jp/contact.php,,,旅館／集客支援,,https://www.toroca.jp/
reject,,https://www.accommod-hp.com/,,,,,official_company_missing,https://www.accommod-hp.com/
accept,宿サポート株式会社,https://hotelbusiness.info/,https://hotelbusiness.info/,,,旅館／sns運用,,https://hotelbusiness.info/
accept,株式会社AKS,https://advanced-knowledge-solutions.com/,https://advanced-knowledge-solutions.com/contactus/,,,旅館／ホームページ制作,,https://advanced-knowledge-solutions.com/
reject,,https://trip-box.jp/,,,,,service_evidence_missing,https://trip-box.jp/
reject,,https://airhost.jp/,,,,,official_company_missing,https://airhost.jp/
reject,,https://guidon.jp/,,,,,service_evidence_missing,https://guidon.jp/
reject,,https://talkappi.com/,,,,,official_company_missing,https://talkappi.com/
accept,株式会社IKIDANE,https://ikidane.jp/,https://ikidane.jp/contact/,〒101-0054 東京都千代田区神田錦町3-23-1 7階 【Tourist Information Desk】〒111-0032 東京都台東区浅草3-9-2 1階 【許認可等】住宅宿泊管理業登録,,旅館／マーケティング,,https://ikidane.jp/
accept,アコモコネクト株式会社,https://acmc.co.jp/,https://acmc.co.jp/contact/,,,旅館／集客支援,,https://acmc.co.jp/
accept,株式会社イノゲート,https://inogate.co.jp/,https://inogate.co.jp/contact/?type=request,〒812-0011 福岡県福岡市博多区博多駅前1丁目23番2号ParkFront博多駅前1丁目5F-B info@inogate.co.jp イノゲートについて イフ,,ホテル／マーケティング,,https://inogate.co.jp/
reject,,https://www.inboundinc.co.jp/,,,,,service_evidence_missing,https://www.inboundinc.co.jp/
accept,株式会社MILOKU,https://miloku.co.jp/,https://miloku.co.jp/contact/,,,観光／サイト制作,,https://miloku.co.jp/
accept,株式会社コンベクション,https://convection.co.jp/,https://convection.co.jp/contact/,〒154-0004 東京都世田谷区太子堂1-15-6 代表者 代表取締役社長 橋本雅典 社員数 8名 (2024年12月現在 アルバイト等含む) 主な事業内容 ・宿泊,,旅館／予約管理,,https://convection.co.jp/
accept,株式会社オズコンサルタント,https://www.os-hokkaido.com/,https://www.os-hokkaido.com/contact,,,旅館／マーケティング,,https://www.os-hokkaido.com/
reject,,https://connect-with.com/,,,,,official_company_missing,https://connect-with.com/
reject,株式会社ホテル&アソシエイツ,https://www.hotel-and-a.com/,,,,,contact_missing,https://www.hotel-and-a.com/
reject,ホスピタリティマネジメント株式会社,https://www.homa.jp/,,,,,contact_missing,https://www.homa.jp/
reject,,https://h-y-m-operation.studio.site/,,,,,service_evidence_missing,https://h-y-m-operation.studio.site/
reject,,https://hrcc.jp/,,,,,service_evidence_missing,https://hrcc.jp/
reject,,https://planact.co.jp/,,,,,service_evidence_missing,https://planact.co.jp/
reject,,https://lp.ai-check-in.com/,,,,,service_evidence_missing,https://lp.ai-check-in.com/
reject,xxx株式会社,https://www.hotelsmart.jp/,,,,,contact_missing,https://www.hotelsmart.jp/
accept,株式会社タップ,https://www.sanwasystem.com/,https://www.sanwasystem.com/pamphlet/,〒102-0093 東京都千代田区平河町2-5-3 MIDORI.so Nagatacho 4階 TEL：03-6706-4477 FAX：03-6685-4448,03-6706-4477,ホテル／予約システム,,https://www.sanwasystem.com/
accept,株式会社スニットコンピュータ,https://www.snitcomputer.net/,https://www.snitcomputer.net/contact-9,,011-823-5743,旅館／予約管理,,https://www.snitcomputer.net/
accept,Logio株式会社,https://stellaris.jp/,https://stellaris.jp/contact,,,旅館／予約管理,,https://stellaris.jp/
