company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分,検出ワード
株式会社 HAGS,https://www.customer-now.jp/,〒150-0036 東京都渋谷区南平台町12-17 秀和第一南平台レジデンス607 TEL 03-6823-2268 私達の思い 私達は元々自社で不動産・建築業を営ん,03-6823-2268,,https://embed.customer-now.jp/inquiries/mmPpZKjpT_a80wSDeDQbMw,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産業／マーケティング
株式会社UMA,https://uma-inc.jp/,,,,https://uma-inc.jp/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／マーケティング
マクリー東京株式会社を不動くん株式会社,https://www.fudoukun.jp/,259-1200 東日本 関東、甲信越、北海道、東北地方 03-3254-6262 平日/10:00~18:00 土日祝/10:00~17:00 土日祝もサポート受付 不動くんとは 機能,06-4259-1200,,https://www.fudoukun.jp/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／ホームページ制作
株式会社 不動産テクノロジー,https://meijin.fudousantec.com/,〒108-0014 東京都港区芝4丁目7番6号 芝ビルディング704 電話番号 03-5776-3505 事業内容 ポータルサイト運営事業、システム開発事業、サイト制,03-5776-3505,,https://meijin.fudousantec.com/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産業／サイト制作
ピンリッチ株式会社,https://top.pinrich.com/,,,,https://top.pinrich.com/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／顧客管理
ソラスプランニング株式会社,https://solasplan.co.jp/,,,,https://solasplan.co.jp/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：賃貸／sns運用
2026 合同会社,https://lp.buy-buy.pro/,,,,https://lp.buy-buy.pro/contact,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／顧客管理
アドバイザー 株式会社,https://diamondtail.jp/,"〒107-0052 東京都港区赤坂9-7-2 東京ミッドタウン・イースト 4F Tel: 050-1743-8018 Copyright © estie, Inc.",050-1743-8018,,https://diamondtail.jp/contact/consulting,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／ホームページ制作
株式会社大京,https://servithink.co.jp/,"〒160-0022 東京都新宿区新宿1-10-3 太田紙興(オオタカミコウ)新宿ビル6F Copyright (C) Servithink Co.,Ltd. All",03-6380-6022,,https://servithink.co.jp/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／ホームページ制作
株式会社クライフ,https://penguin2.jp/,〒530-0047 大阪府大阪市北区西天満3-1-6 辰野西天満ビル2F TOKYO OFFICE 〒141-0022 東京都品川区東五反田1-10-7アイオス五反田511 PENGUIN2を運営する,,,https://penguin2.jp/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／ホームページ制作
オレンジデザイン株式会社,https://orange-d.jp/,,,,https://orange-d.jp/realestate/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産業／サイト制作
株式会社レコ,https://www.kajicon.jp/,,06-6578-0550,,https://www.kajicon.jp/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／ホームページ制作
株式会社商報,https://www.shoho.co.jp/,,06-6531-0450,,https://www.shoho.co.jp/contact,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産業／web制作
リノバンク株式会社,https://renobank.jp/,,,,https://renobank.jp/contact,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／集客支援
ツインハートメディカル株式会社,https://growing-scale.com/,,03-6826-2114,,https://growing-scale.com/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／ホームページ制作
株式会社ワンノブアカインド,https://www.one-of-a-kind.co.jp/,〒105-0001 東京都港区虎ノ門3丁目4番7号 虎ノ門36森ビル 10階 設立 2009年9月10日 資本金 3179.9万円 役員 代表取締役社長 川島 直也,,,https://www.one-of-a-kind.co.jp/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／ホームページ制作
株式会社 ウイング,https://wingjp.net/,,,,https://wingjp.net/?page_id=19,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産業／web制作
株式会社ウィンズワン,https://www.wins-one.co.jp/,〒330-0845 埼玉県さいたま市大宮区仲町2-3ドミノスペースビル６F TEL：048-643-7373 FAX：048-643-7374 このサイトに掲載してい,048-643-7373,,https://www.wins-one.co.jp/0/0/0/residents,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／ブランディング
株式会社らくなげ,https://www.ielove-group.jp/,〒160-0023 東京都新宿区西新宿2-6-1 新宿住友ビル50階 代表連絡先 TEL,03-6911-3955,,https://www.ielove-group.jp/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／ホームページ制作
株式会社T.S.M,https://ts-marketinglab.com/,〒160-0023 東京都新宿区西新宿3丁目3番13号 西新宿水間ビル2F ※当地に受け付けはございません。「お問い合わせフォーム」からお問い合わせください 【代表者,,,https://ts-marketinglab.com/contact,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産業／集客支援
株式会社マーサリー,https://marsary.co.jp/,〒150-0041 東京都渋谷区神南1-11-4 5階 代表者 代表取締役 長友佑樹 事業内容 WEBサイト制作・システム開発事業 マーケティング支援・コンサルティン,,,https://marsary.co.jp/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／web制作
WINDOM株式会社,https://windom-kk.co.jp/,,,,https://windom-kk.co.jp/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産業／web制作
株式会社SMART,https://r-marketing.info/,,,,https://r-marketing.info/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産業／集客支援
レイルリンク株式会社,https://raillink.jp/,"〒150-0043 東京都渋谷区道玄坂1-20-2 アライアンスビル渋谷壱番館 4F 設立 2007年2月 資本金 10,000,000円 電話番号 03-5728-0380",,,https://raillink.jp/contacts/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／マーケティング
業プロ株式会社,https://www.gyo-pro.co.jp/,〒135-0042 東京都江東区木場2-15-12 MAビル6F [MAP] Tel 03-5639-2690 Fax 03-5639-2691 門前仲町オフィス 〒,03-5639-2690,,https://www.gyo-pro.co.jp/contact.html,,,,,,,,,S｜業界特化Web制作,不動産特化支援：不動産会社／dx支援
社名を株式会社,https://active-rt.com/,,,,https://active-rt.com/contact/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：物件／ウェブ制作
株式会社エヌアセット,https://info.spacely.co.jp/,,,,https://info.spacely.co.jp/contactus/,,,,,,,,,S｜業界特化Web制作,不動産特化支援：賃貸／マーケティング
