source,source_url,member_type,area,company_name,company_norm,existing_match,existing_locations,enterprise_prefilter,enterprise_reason,url,contact_url,service_hits,decision,reason,comment,http_status,search_candidates
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,DMカードジャパン株式会社,dmカードジャパン,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,JC Connect株式会社,jcconnect,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,東京,クロスボーダー株式会社,クロスボーダー,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,
JLAA,https://jlaa2003.com/company/,正会員,熊本,サンコー・コミュニケーションズ株式会社,サンコー・コミュニケーションズ,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,鹿児島,合資会社鹿児島広告社,鹿児島広告社,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,恩詩國際行銷有限公司,恩詩國際行銷有限公司,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,愛知,有限会社アド・フューチャー,アド・フューチャー,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,高知,朝日エリアコム株式会社,朝日エリアコム,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,広島,株式会社RCC文化センター,rcc文化センター,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社gr.a.m,gram,no,,pass,,https://support.google.com/websearch,https://support.google.com/websearch/answer/17025248?hl=en&ref_topic=3378866,web / pr,送付対象,JLAA会員かつ関連受託サービス・実フォーム確認,【判定根拠】JLAA会員かつ関連受託サービス・実フォーム確認｜受託=web・pr｜窓口=実フォーム確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=https://support.google.com/websearch ; https://support.google.com/websearch/answer/17025248?hl=en&ref_topic=3378866｜監査日=2026-08-12,200,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,滋賀,株式会社s.create(エスクリエイト),screateエスクリエイト,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社ときしろ,ときしろ,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,長野,株式会社アイク,アイク,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,秋田,株式会社アクティブイエロー,アクティブイエロー,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社アネックスデジタルジャパン,アネックスデジタルジャパン,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社インターカラー,インターカラー,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,石川,株式会社ウイル・コーポレーション,ウイル・コーポレーション,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,奈良,株式会社エヌ・アイ・プランニング,エヌ・アイ・プランニング,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,香川,株式会社オリコ,オリコ,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,島根,株式会社コスモプラス,コスモプラス,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,福岡,株式会社ジェー・ビー・エフ,ジェー・ビー・エフ,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,石川,株式会社ストアインク,ストアインク,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,賛助会員,沖縄,株式会社ネクストインターナショナル,ネクストインターナショナル,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,岡山,株式会社ビザビ,ビザビ,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,富山,株式会社ライズウィル,ライズウィル,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,福島,株式会社ライトエージェンシー,ライトエージェンシー,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,青森,株式会社リズム・エージェンシー,リズム・エージェンシー,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,
JLAA,https://jlaa2003.com/company/,正会員,神奈川,株式会社共和エージェンシー 神奈川支社,共和エージェンシー神奈川支社,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,
JLAA,https://jlaa2003.com/company/,正会員,兵庫,株式会社播磨リビング新聞社,播磨リビング新聞社,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,愛知,株式会社東通エィジェンシー,東通エィジェンシー,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
JLAA,https://jlaa2003.com/company/,正会員,山口,株式会社毎日メディアサービス山口,毎日メディアサービス山口,no,,pass,,,,,確認不能,公式サイトを確定できず,【判定根拠】公式サイトを確定できず｜受託=確認できず｜窓口=実フォーム未確認｜継続支援の明記有無は送付可否に不使用｜【営業仮説・未確認】GBP運用を追加施策・外注として提案できる可能性｜根拠URL=なし｜監査日=2026-08-12,0,https://support.google.com/websearch
