source,source_url,member_type,area,company_name,company_norm,existing_match,existing_locations,enterprise_prefilter,enterprise_reason
JLAA,https://jlaa2003.com/company/,正会員,北海道,株式会社インサイト,インサイト,yes,Web幹事!1536 / Web幹事!1898,pass,
JLAA,https://jlaa2003.com/company/,正会員,北海道,株式会社リアルグロウ,リアルグロウ,yes,シート1!646,pass,
JLAA,https://jlaa2003.com/company/,正会員,青森,株式会社リズム・エージェンシー,リズム・エージェンシー,no,,pass,
JLAA,https://jlaa2003.com/company/,正会員,秋田,株式会社アクティブイエロー,アクティブイエロー,no,,pass,
JLAA,https://jlaa2003.com/company/,正会員,岩手,杜陵高速印刷株式会社,杜陵高速印刷,yes,シート2!2388,pass,
JLAA,https://jlaa2003.com/company/,正会員,山形,株式会社アサヒマーケティング,アサヒマーケティング,yes,Web幹事!807,pass,
JLAA,https://jlaa2003.com/company/,正会員,宮城,株式会社第一エージェンシー,第一エージェンシー,yes,除外リスト!1056,pass,
JLAA,https://jlaa2003.com/company/,正会員,福島,株式会社ライトエージェンシー,ライトエージェンシー,no,,pass,
JLAA,https://jlaa2003.com/company/,正会員,茨城,株式会社日宣メディックス,日宣メディックス,yes,Web幹事!1978,pass,
JLAA,https://jlaa2003.com/company/,正会員,栃木,株式会社新朝プレス,新朝プレス,yes,シート2!705,pass,
JLAA,https://jlaa2003.com/company/,正会員,群馬,株式会社中広 群馬支社,中広群馬支社,no,,pass,
JLAA,https://jlaa2003.com/company/,正会員,埼玉,株式会社ピーアイピー,ピーアイピー,yes,SNS運用_監査前_20260802_0914!2433,pass,
JLAA,https://jlaa2003.com/company/,正会員,千葉,株式会社地域新聞社,地域新聞社,no,,review,JPX会社名完全一致（公式ドメイン確認前）
JLAA,https://jlaa2003.com/company/,正会員,東京,株式会社ファインドスターグループ,ファインドスターグループ,yes,SNS運用_監査前_20260802_0914!2836,pass,
JLAA,https://jlaa2003.com/company/,正会員,東京,クロスボーダー株式会社,クロスボーダー,no,,pass,
JLAA,https://jlaa2003.com/company/,正会員,東京,株式会社ビジョン,ビジョン,no,,review,JPX会社名完全一致（公式ドメイン確認前）
JLAA,https://jlaa2003.com/company/,正会員,東京,GMO TECH株式会社,gmotech,no,,review,大手グループ管理語=GMO
JLAA,https://jlaa2003.com/company/,正会員,神奈川,株式会社共和エージェンシー 神奈川支社,共和エージェンシー神奈川支社,no,,pass,
JLAA,https://jlaa2003.com/company/,正会員,新潟,株式会社まるごとメディア新潟,まるごとメディア新潟,yes,Webマーケ!544,pass,
JLAA,https://jlaa2003.com/company/,正会員,富山,株式会社ライズウィル,ライズウィル,no,,pass,
JLAA,https://jlaa2003.com/company/,正会員,石川,株式会社ウイル・コーポレーション,ウイル・コーポレーション,no,,pass,
JLAA,https://jlaa2003.com/company/,正会員,石川,株式会社ストアインク,ストアインク,no,,pass,
JLAA,https://jlaa2003.com/company/,正会員,長野,株式会社アイク,アイク,no,,pass,
JLAA,https://jlaa2003.com/company/,正会員,静岡,株式会社リック,リック,yes,除外リスト!618,pass,
JLAA,https://jlaa2003.com/company/,正会員,岐阜,株式会社中広,中広,no,,review,JPX会社名完全一致（公式ドメイン確認前）
JLAA,https://jlaa2003.com/company/,正会員,愛知,株式会社東通エィジェンシー,東通エィジェンシー,no,,pass,
JLAA,https://jlaa2003.com/company/,正会員,愛知,株式会社ケイ・クリエイト,ケイ・クリエイト,yes,除外リスト!2955,pass,
