member_type,company_name,url,address,phone,maps_url,oac_detail_url,oac_services
regular,有限会社アイル企画,https://www.ill-kikaku.com/,,,,https://www.oac.or.jp/member/ill-kikaku/,グラフィック｜映像｜Web｜パッケージ｜エディトリアル｜DTP
regular,株式会社アクロバット,https://www.acrobat.co.jp/,,,,https://www.oac.or.jp/member/acrobat/,グラフィック｜映像｜Web｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜イベント｜プランニング・コンサルティング｜プレミアム制作
regular,株式会社アズワン,https://az1.co.jp/,,,,https://www.oac.or.jp/member/az1/,
regular,株式会社アド・プランニング研究所,http://www.ap-i.co.jp,,,,https://www.oac.or.jp/member/ap-i/,
regular,株式会社アドブレーン,https://www.adbrain.co.jp/,,,,https://www.oac.or.jp/member/adbrain/,グラフィック｜Web｜パッケージ
regular,株式会社一星企画,http://www.issei.net/,,,,https://www.oac.or.jp/member/issei/,
regular,インプレッション株式会社,https://www.impression-net.co.jp,,,,https://www.oac.or.jp/member/impression/,
regular,株式会社ウィルコミュニケーションデザイン研究所,https://wcd.co.jp/,,,,https://www.oac.or.jp/member/wcd/,
regular,株式会社エージー,https://azinc.co.jp,,,,https://www.oac.or.jp/member/azinc-co-jp/,グラフィック｜映像｜Web｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜空間デザイン、　AR / VR / XR
regular,株式会社エー・ティ・エー,https://www.ata.co.jp/,,,,https://www.oac.or.jp/member/ata/,グラフィック｜映像｜Web｜アプリ｜パッケージ｜撮影・CG｜ブランディング｜エディトリアル｜イベント｜プランニング・コンサルティング｜空間デザイン
regular,株式会社エディターシップ,,,,,https://www.oac.or.jp/member/editor-ship/,グラフィック｜エディトリアル｜プランニング・コンサルティング
regular,EN.WORKS合同会社,https://en-works.co.jp/,,,,https://www.oac.or.jp/member/en-works%e5%90%88%e5%90%8c%e4%bc%9a%e7%a4%be/,映像｜Web｜撮影・CG
regular,株式会社オックス,http://www.oxox.co.jp,,,,https://www.oac.or.jp/member/oxox/,
