company_name,url,address,phone,maps_url,source_category,profile,source_url,normalized_name,normalized_domain,prefilter,prefilter_reason,classification,audit_reason,contact_url,contact_check,evidence_url,audit_date
株式会社アーク・コミュニケーションズ,http://www.ark-gr.co.jp,,,,制作会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,アーク・コミュニケーションズ,ark-gr.co.jp,pass,,送付対象,PRSJ登録PR・広告・制作受託会社,https://www.ark-gr.co.jp/contactform/?header,real_form_confirmed,https://www.ark-gr.co.jp/ ; https://www.ark-gr.co.jp/contactform/?header,2026-08-12
株式会社アイ・エヌ・ジー,https://www.i-n-g.co.jp,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,アイ・エヌ・ジー,i-n-g.co.jp,pass,,送付対象,PRSJ登録PR・広告・制作受託会社,https://www.i-n-g.co.jp/contact/,real_form_confirmed,https://www.i-n-g.co.jp/ ; https://www.i-n-g.co.jp/contact/,2026-08-12
アシュトン・コンサルティング・リミテッド,http://www.ashton.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,アシュトン・コンサルティング・リミテッド,ashton.jp,pass,,送付対象,PRSJ登録PR・広告・制作受託会社,https://www.ashton.jp/contact-us,real_form_confirmed,https://www.ashton.jp/ ; https://www.ashton.jp/contact-us,2026-08-12
株式会社アドバンプレス,https://www.advanpress.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,アドバンプレス,advanpress.co.jp,pass,,送付対象,PRSJ登録PR・広告・制作受託会社,https://www.advanpress.co.jp/contact.html,real_form_confirmed,https://www.advanpress.co.jp/ ; https://www.advanpress.co.jp/contact.html,2026-08-12
Allison(アリソン・アンド・パートナーズ株式会社),http://www.allisonpr.com/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,allisonアリソン・アンド・パートナーズ株式会社,allisonpr.com,pass,,除外,世界規模PRネットワークの日本法人で明確な大手,https://www.allisonworldwide.com/contact,real_form_confirmed,https://www.allisonworldwide.com/ ; https://www.allisonworldwide.com/contact,2026-08-12
株式会社alma,http://alma11.com/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,alma,alma11.com,pass,,除外,実在する問い合わせフォーム未確認,,no_contact_link,https://alma11.com:443/,2026-08-12
株式会社ORANGE SENSE,http://www.orangesense.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,orangesense,orangesense.jp,pass,,送付対象,PRSJ登録PR・広告・制作受託会社,https://www.orangesense.jp/#section-16,real_form_confirmed,https://www.orangesense.jp/ ; https://www.orangesense.jp/#section-16,2026-08-12
株式会社サステナブル,http://www.sustainable.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,サステナブル,sustainable.co.jp,pass,,除外,実在する問い合わせフォーム未確認,,no_contact_link,https://www.sustainable.co.jp/,2026-08-12
株式会社杉山PR&プランニング,http://www.sugiyama-pr.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,杉山prプランニング,sugiyama-pr.co.jp,pass,,除外,実在する問い合わせフォーム未確認,,site_fetch_failed:SSLError,,2026-08-12
株式会社スプレ・エィディー,http://www.spre-ad.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,スプレ・エィディー,spre-ad.co.jp,pass,,除外,実在する問い合わせフォーム未確認,,contact_page_no_form,http://www.spre-ad.co.jp/,2026-08-12
株式会社第一広報パートナーズ,http://www.1koho.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,第一広報パートナーズ,1koho.co.jp,pass,,送付対象,PRSJ登録PR・広告・制作受託会社,http://www.1koho.co.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,real_form_confirmed,http://www.1koho.co.jp/ ; http://www.1koho.co.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,2026-08-12
株式会社TMオフィス,http://www.tm-office.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,tmオフィス,tm-office.co.jp,pass,,除外,実在する問い合わせフォーム未確認,,site_fetch_failed:SSLError,,2026-08-12
トランサムノット(同),https://transomknot.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,トランサムノット同,transomknot.jp,pass,,除外,実在する問い合わせフォーム未確認,,no_contact_link,https://transomknot.jp/,2026-08-12
株式会社バーソン・ジャパン,https://www.bursonglobal.com/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,バーソン・ジャパン,bursonglobal.com,pass,,除外,世界規模PR会社Bursonの日本法人で明確な大手,https://www.bursonglobal.com/contact,real_form_confirmed,https://www.bursonglobal.com/ ; https://www.bursonglobal.com/contact,2026-08-12
株式会社PRefully,https://prefully.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,prefully,prefully.co.jp,pass,,除外,実在する問い合わせフォーム未確認,,no_contact_link,https://prefully.co.jp/,2026-08-12
ホフマンジャパン株式会社,http://www.hoffman.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ホフマンジャパン,hoffman.com,pass,,除外,グローバルPR会社The Hoffman Agencyの日本法人で規模不適合,,no_contact_link,https://www.hoffman.com/,2026-08-12
株式会社本田事務所,http://hondaoffice.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,本田事務所,hondaoffice.co.jp,pass,,除外,実在する問い合わせフォーム未確認,,contact_page_no_form,https://hondaoffice.co.jp/,2026-08-12
株式会社リズク,https://lizck.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,リズク,lizck.com,pass,,除外,実在する問い合わせフォーム未確認,,no_contact_link,https://lizck.com/,2026-08-12
