company_name,url,address,phone,maps_url,source_category,profile,source_url,normalized_name,normalized_domain,prefilter,prefilter_reason
株式会社アーク・コミュニケーションズ,http://www.ark-gr.co.jp,,,,制作会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,アーク・コミュニケーションズ,ark-gr.co.jp,pass,
株式会社アイ・エヌ・ジー,https://www.i-n-g.co.jp,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,アイ・エヌ・ジー,i-n-g.co.jp,pass,
株式会社アクティオ,http://www.actioinc.jp/ja/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,アクティオ,actioinc.jp,exclude,既存または除外リスト一致
アシュトン・コンサルティング・リミテッド,http://www.ashton.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,アシュトン・コンサルティング・リミテッド,ashton.jp,pass,
アズ・ワールドコム ジャパン株式会社,https://www.azw.co.jp/,,,,,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,アズ・ワールドコムジャパン,azw.co.jp,exclude,対象外業態=分類なし
株式会社アドバンプレス,https://www.advanpress.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,アドバンプレス,advanpress.co.jp,pass,
株式会社アネティ,http://www.anety.biz,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,アネティ,anety.biz,exclude,既存または除外リスト一致
Allison(アリソン・アンド・パートナーズ株式会社),http://www.allisonpr.com/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,allisonアリソン・アンド・パートナーズ株式会社,allisonpr.com,pass,
株式会社alma,http://alma11.com/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,alma,alma11.com,pass,
株式会社井之上パブリックリレーションズ,https://www.inoue-pr.com/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,井之上パブリックリレーションズ,inoue-pr.com,exclude,既存または除外リスト一致
株式会社インテグレート,http://www.itgr.co.jp,,,,その他PR関連会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,インテグレート,itgr.co.jp,exclude,既存または除外リスト一致
株式会社ウエ・コーポレーション,https://www.uecorp.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ウエ・コーポレーション,uecorp.co.jp,exclude,既存または除外リスト一致
AStory(エーストーリー)(同),https://www.astorypr.com/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,astoryエーストーリー同,astorypr.com,exclude,既存または除外リスト一致
株式会社エイレックス,http://www.arex-corp.com,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,エイレックス,arex-corp.com,exclude,既存または除外リスト一致
株式会社Enter!,https://enter1020.com/,,,,映像制作会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,enter,enter1020.com,exclude,既存または除外リスト一致
株式会社オズマピーアール,http://www.ozma.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,オズマピーアール,ozma.co.jp,exclude,既存または除外リスト一致
株式会社オズマピーアール,http://www.ozma.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,オズマピーアール,ozma.co.jp,exclude,既存または除外リスト一致
株式会社小田急エージェンシー,http://www.odakyu-ag.co.jp/,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,小田急エージェンシー,odakyu-ag.co.jp,exclude,既存または除外リスト一致
株式会社オリコム,http://www.oricom.co.jp,,,,広告代理店,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,オリコム,oricom.co.jp,exclude,既存または除外リスト一致
株式会社ORANGE SENSE,http://www.orangesense.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,orangesense,orangesense.jp,pass,
CARMA Asia Japan株式会社,www.carma.com,,,,調査会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,carmaasiajapan,carma.com,exclude,対象外業態=調査会社
カスタムメディア株式会社,https://aim-b2b.com/ja/,,,,デジタルマーケティング会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,カスタムメディア,aim-b2b.com,exclude,既存または除外リスト一致
(同)kipples,https://kipples.jp/,,,,,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,同kipples,kipples.jp,exclude,対象外業態=分類なし
キャンドルウィック株式会社,http://www.candlewick.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,キャンドルウィック,candlewick.co.jp,exclude,既存または除外リスト一致
株式会社共同通信PRワイヤー,https://kyodonewsprwire.jp/corp/,,,,リリース配信会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,共同通信prワイヤー,kyodonewsprwire.jp,exclude,既存または除外リスト一致 / 対象外業態=リリース配信会社
共同ピーアール株式会社,http://www.kyodo-pr.co.jp,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,共同ピーアール,kyodo-pr.co.jp,exclude,既存または除外リスト一致 / JPX会社名完全一致
株式会社kushami,https://kushami.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,kushami,kushami.jp,exclude,既存または除外リスト一致
クレアブ株式会社,https://kreab.com/tokyo/ja/,,,,,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,クレアブ,kreab.com,exclude,対象外業態=分類なし
株式会社ココノッツ,http://www.cocoknots.co.jp/,,,,PR会社,,https://area18.smp.ne.jp/area/table/45023/eg5o7c/M?S=reqaq2mbldof,ココノッツ,cocoknots.co.jp,exclude,既存または除外リスト一致
