company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分,検出ワード
D-Style,https://www.dental-hp.net/,,,,https://www.dental-hp.net/info/contact.html,,,,,,,,,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.dental-hp.net/ ; https://www.dental-hp.net/service/index.html ; https://www.dental-hp.net/service/design.html｜監査日=2026-08-12
株式会社ナルコーム,https://www.narcohm.co.jp/hp/,,,,https://www.narcohm.co.jp/hp/inquiry/,,,,,,,,,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.narcohm.co.jp/hp/ ; https://www.narcohm.co.jp/hp/service.html ; https://www.narcohm.co.jp/hp/service.html#service1｜監査日=2026-08-12
株式会社シルベ,https://www.shirube365.com/,,,,https://www.shirube365.com/contact,,,,,,,,,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=店舗 / 医院 / クリニック / サロン / ジム｜受託=ホームページ制作 / サイト制作 / 広告運用 / sns運用 / line運用 / ブランディング / seo対策 / meo対策｜継続支援=明記あり：運用代行 / 広告運用 / sns運用 / line運用 / 改善支援 / 運営支援 / 運用サポート。。月額 / 継続的な運用｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.shirube365.com/ ; https://www.shirube365.com/#naiyou ; https://www.shirube365.com/#plan｜監査日=2026-08-12
クリニックファースト,https://clinic-first.com/,,,,https://clinic-first.com/contact/,,,,,,,,,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック｜受託=ホームページ制作｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://clinic-first.com/ ; https://clinic-first.com/service/｜監査日=2026-08-12
株式会社グローバルユニティ,https://www.global-unity.jp/,,,,https://www.global-unity.jp/contact/,,,,,,,,,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=店舗 / 医院 / クリニック / 歯科 / ジム｜受託=ホームページ制作 / サイト制作 / ブランディング / プロモーション / seo対策 / meo対策｜継続支援=明記あり：運用代行 / webコンサルティング｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.global-unity.jp/ ; https://www.global-unity.jp/company/ ; https://www.global-unity.jp/product/｜監査日=2026-08-12
株式会社ヒーローイノベーション,https://shika-promotion.com/,,,,https://shika-promotion.com/contact/,,,,,,,,,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック / 歯科 / クライアント様｜受託=ホームページ制作 / サイト制作 / webマーケティング / 広告運用 / ブランディング / プロモーション / seo対策 / meo対策｜継続支援=明記あり：広告運用 / 公開後｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://shika-promotion.com/ ; https://shika-promotion.com/support/ ; https://shika-promotion.com/kyosei/｜監査日=2026-08-12
株式会社Method Innovation,https://www.method-innovation.co.jp/,,,,https://www.method-innovation.co.jp/contact/,,,,,,,,,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / クリニック / 歯科 / 飲食店｜受託=ホームページ制作 / 広告運用 / seo対策 / meo対策｜継続支援=明記あり：広告運用｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.method-innovation.co.jp/ ; https://www.method-innovation.co.jp/shinki_llmo_contact/ ; https://www.method-innovation.co.jp/shinki_meo_contact/｜監査日=2026-08-12
東京デジタルビームス合同会社,https://www.hospital-web.net/,,,,https://www.hospital-web.net/asking/index.html,,,,,,,,,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=公式文言を確認できず（C分類を根拠に送付対象維持）｜受託=公式文言を確認できず（S｜業界特化Web制作分類を根拠に送付対象維持）｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.hospital-web.net/ ; https://www.hospital-web.net/service/index.html ; https://www.hospital-web.net/works/index.html｜監査日=2026-08-12
株式会社メディケアネット,https://mc-net.jp/service/hp_production/,,,,https://mc-net.jp/contact/,,,,,,,,,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=クリニック｜受託=web制作 / ホームページ制作 / seo対策 / meo対策｜継続支援=明記確認できず（送付可否には影響させない）｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://mc-net.jp/service/hp_production/ ; https://mc-net.jp/service/ ; https://mc-net.jp/service_category/it/｜監査日=2026-08-12
株式会社リヤン,https://www.trancefer-co.info/,,,,https://www.trancefer-co.info/inq/,,,,,,,,,送付対象｜C｜S｜業界特化Web制作,【確認事実】顧客=医院 / 歯科｜受託=ホームページ制作 / 集客支援 / seo対策｜継続支援=明記あり：運用代行 / 保守運用 / 更新代行 / アクセス解析 / 公開後 / 月額保守 / 運用サポートが必要な医院様にとって、月額｜窓口=実フォーム確認｜【営業仮説・未確認】GBP運用を追加施策または実務外注として提案できる可能性｜根拠URL=https://www.trancefer-co.info/ ; https://www.trancefer-co.info/service/ ; https://www.trancefer-co.info/service1/｜監査日=2026-08-12
