company_name,normalized_name,reason,pass
株式会社 アートビークルー,アートビークルー,existing,False
株式会社 アートフリーク,アートフリーク,existing,False
株式会社 アプレット,アプレット,existing,False
飯田電機工業 株式会社,飯田電機工業,,True
株式会社 泉宣宏社,泉宣宏社,existing,False
株式会社 インター・ビジネス・ネットワークス,インター・ビジネス・ネットワークス,,True
株式会社 ヴァリアス・ディメンションズ,ヴァリアス・ディメンションズ,,True
株式会社 ADKクリエイティブ・ワン,adkクリエイティブ・ワン,,True
株式会社 ADKホールディングズ,adkホールディングズ,,True
株式会社 エクシードコネクト,エクシードコネクト,,True
株式会社 エス・ティー・アール,エス・ティー・アール,,True
エントロス 株式会社,エントロス,,True
株式会社 大阪共立,大阪共立,,True
近畿日本ツーリスト 株式会社,近畿日本ツーリスト,,True
株式会社 クラフティ,クラフティ,,True
株式会社 グローバルプロデュース,グローバルプロデュース,existing,False
コーユーレンティア 株式会社,コーユーレンティア,jpx,False
株式会社 小林工芸社,小林工芸社,existing,False
株式会社 コンベンションリンケージ,コンベンションリンケージ,,True
株式会社 サピエント,サピエント,,True
G.D.inc. 株式会社,gdinc,,True
株式会社 ジールアソシエイツ,ジールアソシエイツ,jpx,False
株式会社 ジェイアール東日本企画,ジェイアール東日本企画,existing,False
株式会社 ＪＴＢ,jtb,,True
株式会社 ＪＴＢコミュニケーションデザイン,jtbコミュニケーションデザイン,existing,False
株式会社 シネ・フォーカス,シネ・フォーカス,,True
株式会社 シミズオクト,シミズオクト,,True
株式会社 ジャパングレーライン,ジャパングレーライン,,True
株式会社 ジャプロ,ジャプロ,,True
株式会社 昭栄美術,昭栄美術,,True
株式会社 新東通信,新東通信,existing,False
株式会社 スコープ,スコープ,existing,False
株式会社 ステータス,ステータス,,True
株式会社 セレスポ,セレスポ,existing / jpx,False
株式会社 ソニー・ミュージックソリューションズ,ソニー・ミュージックソリューションズ,,True
株式会社 第一広房ＴＯＫＹＯ,第一広房tokyo,,True
株式会社 大広WEDO,大広wedo,existing,False
大日本印刷 株式会社,大日本印刷,jpx,False
株式会社 丹青社,丹青社,jpx,False
株式会社 つむら工芸,つむら工芸,existing,False
株式会社 テー・オー・ダブリュー,テー・オー・ダブリュー,existing,False
ＴＳＰ太陽 株式会社,tsp太陽,existing,False
株式会社 ディー・エヌ・エー,ディー・エヌ・エー,,True
株式会社 ティー・ツー・クリエイティブ,ティー・ツー・クリエイティブ,,True
株式会社 ティーライブ,ティーライブ,,True
株式会社 テルミック,テルミック,,True
株式会社 電通,電通,existing / major_keyword,False
株式会社 電通イベントオペレーションズ,電通イベントオペレーションズ,major_keyword,False
株式会社 電通名鉄コミュニケーションズ,電通名鉄コミュニケーションズ,existing / major_keyword,False
株式会社 電通ライブ,電通ライブ,major_keyword,False
株式会社 トーガシ,トーガシ,,True
株式会社 東急エージェンシー,東急エージェンシー,existing,False
株式会社 ドゥ・クリエーション,ドゥ・クリエーション,,True
株式会社 東北新社,東北新社,existing / jpx,False
ＴＯＰＰＡＮ 株式会社,toppan,existing / major_keyword,False
株式会社 日企ＵＤジャパン,日企udジャパン,,True
株式会社 日展,日展,,True
日本コンベンションサービス 株式会社,日本コンベンションサービス,existing,False
日本ステージ 株式会社,日本ステージ,,True
株式会社 日本旅行,日本旅行,,True
株式会社 乃村工藝社,乃村工藝社,jpx,False
株式会社 ノムラメディアス,ノムラメディアス,existing,False
株式会社 ハウフルス,ハウフルス,,True
株式会社 博展,博展,jpx,False
株式会社 博報堂,博報堂,existing / major_keyword,False
株式会社 博報堂プロダクツ,博報堂プロダクツ,existing / major_keyword,False
ＰＲＧ 株式会社,prg,,True
株式会社 ビープロジェクト,ビープロジェクト,,True
株式会社 ブイキューブ,ブイキューブ,jpx,False
株式会社 フォズベリー,フォズベリー,,True
株式会社 フジヤ,フジヤ,,True
株式会社 フルハウス,フルハウス,existing,False
株式会社 プライマルヴェニュー,プライマルヴェニュー,existing,False
株式会社 フロンティアインターナショナル,フロンティアインターナショナル,existing / jpx,False
株式会社 フルマーク,フルマーク,,True
株式会社 マッシュ,マッシュ,existing,False
株式会社 ムーヴ,ムーヴ,,True
株式会社 ムラヤマ,ムラヤマ,existing,False
株式会社 メトロアドエージェンシー,メトロアドエージェンシー,existing,False
株式会社 ユニティー,ユニティー,existing,False
株式会社 読広クロスコム,読広クロスコム,existing,False
株式会社 レイ,レイ,jpx,False
株式会社 レスポン,レスポン,,True
株式会社 レンタルのニッケン,レンタルのニッケン,,True
株式会社 ワールドカラー,ワールドカラー,existing,False
