source,member_type,company_name,url,normalized_name,normalized_domain,prefilter_reason,pass
JIAA,正会員,RTB HOUSE JAPAN株式会社,https://www.rtbhouse.com/,rtbhousejapan,rtbhouse.com,,True
JIAA,正会員,株式会社 アイスタイル,http://www.istyle.co.jp,アイスタイル,istyle.co.jp,existing / jpx,False
JIAA,正会員,アイティメディア株式会社,https://corp.itmedia.co.jp/,アイティメディア,corp.itmedia.co.jp,jpx,False
JIAA,正会員,株式会社 アイデム,https://www.aidem.co.jp,アイデム,aidem.co.jp,existing,False
JIAA,正会員,株式会社 IPG,https://www.ipg.co.jp/,ipg,ipg.co.jp,,True
JIAA,正会員,株式会社 アイプラネット,http://www.iplanet-inc.com,アイプラネット,iplanet-inc.com,existing,False
JIAA,正会員,株式会社 アイモバイル,https://www.i-mobile.co.jp,アイモバイル,i-mobile.co.jp,jpx,False
JIAA,正会員,アクセンチュア株式会社,https://www.accenture.com/jp,アクセンチュア,accenture.com,existing,False
JIAA,正会員,株式会社 朝日広告社,http://www.asakonet.co.jp,朝日広告社,asakonet.co.jp,existing,False
JIAA,正会員,株式会社 朝日新聞社,http://www.asahi.com,朝日新聞社,asahi.com,,True
JIAA,正会員,株式会社 朝日新聞出版,http://publications.asahi.com,朝日新聞出版,publications.asahi.com,,True
JIAA,正会員,朝日放送テレビ株式会社,https://www.asahi.co.jp,朝日放送テレビ,asahi.co.jp,,True
JIAA,正会員,UPPGO株式会社,https://uppgo.inc/,uppgo,uppgo.inc,existing,False
JIAA,正会員,AppBank株式会社,http://www.appbank.co.jp,appbank,appbank.co.jp,jpx,False
JIAA,正会員,株式会社 ADDIX,https://addix.co.jp/,addix,addix.co.jp,existing,False
JIAA,正会員,株式会社 アドウェイズ,http://adways.net/,アドウェイズ,adways.net,jpx,False
JIAA,正会員,株式会社 AbemaTV,https://abema.tv,abematv,abema.tv,existing,False
JIAA,正会員,アマゾンジャパン合同会社,http://www.amazon.co.jp/,アマゾンジャパン,amazon.co.jp,,True
JIAA,正会員,株式会社 アマナ,https://amana.jp/,アマナ,amana.jp,existing,False
JIAA,正会員,RFA digital brains株式会社,https://www.r-f-a.co.jp/,rfadigitalbrains,r-f-a.co.jp,,True
JIAA,正会員,andtokyo株式会社,https://andtokyo.com/,andtokyo,andtokyo.com,,True
JIAA,正会員,株式会社 イード,http://www.iid.co.jp,イード,iid.co.jp,existing / jpx,False
JIAA,正会員,イオンマーケティング株式会社,https://www.aeonmarketing.co.jp/,イオンマーケティング,aeonmarketing.co.jp,,True
JIAA,正会員,株式会社 イノベーションエイド,https://www.i-aid.co.jp/,イノベーションエイド,i-aid.co.jp,,True
JIAA,正会員,株式会社 イリアル,https://ereal.co.jp/,イリアル,ereal.co.jp,existing,False
JIAA,正会員,株式会社 ILLEST PLUS,https://www.illestplus.com/,illestplus,illestplus.com,existing,False
JIAA,正会員,INCLUSIVE株式会社,http://inclusive.co.jp/,inclusive,inclusive.co.jp,existing,False
JIAA,正会員,株式会社 インタースペース,http://www.interspace.ne.jp,インタースペース,interspace.ne.jp,jpx,False
JIAA,正会員,株式会社 indi,https://indi.co.jp/,indi,indi.co.jp,existing,False
JIAA,正会員,株式会社 インティメート・マージャー,https://corp.intimatemerger.com,インティメート・マージャー,corp.intimatemerger.com,,True
JIAA,正会員,Index Exchange Japan株式会社,https://jp.indexexchange.com/,indexexchangejapan,jp.indexexchange.com,,True
