sheet_row,company_name,url,contact_url,proposal_class,existing_evidence,classification,reason,official_status,final_url,positive_hits,hub_hits,weak_hits,membership_only,employees_detected,offices_detected,capital_man_detected,listed_signal,national_scale_signal,existing_enterprise_class,existing_enterprise_match,evidence_urls
2,D-Style,https://www.dental-hp.net/,https://www.dental-hp.net/info/contact.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://www.dental-hp.net/,,,,no,,,,no,no,,,https://www.dental-hp.net/service/index.html / https://www.dental-hp.net/service/design.html
3,株式会社ナルコーム,https://www.narcohm.co.jp/hp/,https://www.narcohm.co.jp/hp/inquiry/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://www.narcohm.co.jp/hp/,,,,no,,,,no,no,,,https://www.narcohm.co.jp/hp/service.html / https://www.narcohm.co.jp/hp/service.html#service1
4,Doctor Web Atelier,https://dental-web-atelier.com/,https://dental-web-atelier.com/#contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://dental-web-atelier.com/,ホームページ制作 / 広告運用,医院 / クリニック / 歯科,予約システム,no,,,,no,no,,,
5,株式会社シルベ,https://www.shirube365.com/,https://www.shirube365.com/contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.shirube365.com/,ホームページ制作 / サイト制作 / 広告運用 / sns運用 / ブランディング / seo対策,店舗 / 医院 / クリニック / サロン,,no,,,,no,no,,,https://www.shirube365.com/aboutus
6,クリニックファースト,https://clinic-first.com/,https://clinic-first.com/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://clinic-first.com/,ホームページ制作,医院 / クリニック,予約システム,no,,,,no,no,,,https://clinic-first.com/service/
7,株式会社グローバルユニティ,https://www.global-unity.jp/,https://www.global-unity.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.global-unity.jp/,ホームページ制作 / サイト制作 / webマーケ / ブランディング / プロモーション / seo対策,店舗 / 医院 / クリニック / 歯科,予約システム,no,,,,no,no,,,https://www.global-unity.jp/company/ / https://www.global-unity.jp/product/
8,株式会社ヒーローイノベーション,https://shika-promotion.com/,https://shika-promotion.com/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://shika-promotion.com/,ホームページ制作 / サイト制作 / webマーケ / 広告運用 / 動画制作 / プロモーション,医院 / クリニック / 歯科,クラウドサービス / 予約システム,no,,,1000,no,no,,,https://shika-promotion.com/company/ / https://shika-promotion.com/about/
9,株式会社アイプラス,https://www.iplus-web.co.jp/,https://www.iplus-web.co.jp/contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.iplus-web.co.jp/,ホームページ制作 / 制作実績,医院 / クリニック / 歯科,,no,,,,no,no,,,https://www.iplus-web.co.jp/about / https://www.iplus-web.co.jp/comapny
10,株式会社Method Innovation,https://www.method-innovation.co.jp/,https://www.method-innovation.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,keep_partner_fit,公式サイトで受託支援と地域顧客接点を確認,200,https://www.method-innovation.co.jp/,ホームページ制作 / 広告運用 / seo対策 / meo対策 / 制作実績,医院 / クリニック / 歯科 / 飲食店,,no,,,,no,no,,,https://www.method-innovation.co.jp/services/ / https://www.method-innovation.co.jp/services/renewal/
11,東京デジタルビームス合同会社,https://www.hospital-web.net/,https://www.hospital-web.net/asking/index.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_insufficient_evidence,公式サイトから提携適合性を機械確定できず,200,https://www.hospital-web.net/,,,,no,,,,no,no,,,https://www.hospital-web.net/service/index.html / https://www.hospital-web.net/company/index.html
