"company_name","url","address","phone","maps_url","status"
"株式会社Camy's","https://www.camys.jp","〒160-0023 東京都新宿区西新宿6-15-1 セントラルパークタワーラトゥール新宿1406","080-1183-7281","",""
"株式会社Gaku","https://www.gaku-inc.com","〒104-0031 東京都中央区京橋2丁目2-1 京橋エドグラン3F","","",""
"株式会社hamon","https://hamon-z.com","〒220-0004 神奈川県横浜市西区北幸1丁目11番1号 水信ビル7階","","",""
"株式会社Aibin","https://www.aibin.design","〒730-0051 広島県広島市中区大手町5丁目1-1 大手町ファーストビル6F-D","","",""
"株式会社ガムシャラ","https://www.gamu-shara.com","〒993-0053 山形県長井市中道二丁目8番7-18号 メゾン・ド・パステル中道C 201","","",""
"株式会社5winパートナーズ","https://5win.jp","〒310-0853 茨城県水戸市平須町1822-18","029-291-7318","",""
"株式会社現次","https://genji-group.com","〒150-0042 東京都渋谷区宇田川町3-7 ヒューリック渋谷公園通りビル5F-109","","",""
"BMS株式会社","https://www.bmsinc.jp","〒720-2411 広島県福山市加茂町芦原402-1","","",""
"Sunny Loop株式会社","https://www.sunny-loop.com","〒870-0831 大分県大分市要町3-32","050-5367-2078","",""
"株式会社ダイバージェンス","https://weapon.divergence.co.jp/about","大阪府大阪市浪速区難波中1-10-4 12F","06-6556-6460","",""
"株式会社linelabo","https://linelabo.jp","東京都渋谷区猿楽町7番1号","050-1722-0608","",""
"株式会社メドエックス","https://med-x.co.jp","","","",""
"ソラコマ株式会社","https://soracoma.com/company","東京都新宿区西新宿六丁目5番1号","","",""
"株式会社サンメディックス","https://www.sunmedix.jp/about","長野県","","",""
"ログライン株式会社","https://logline.jp","北海道千歳市","070-8329-9463","",""
"株式会社ミセカタ","https://misekata.jp/company/profile","熊本県熊本市","","",""
"株式会社ユチュブる","https://yuchuburu.com/company","〒160-0023 東京都新宿区西新宿3-9-7 フロンティア新宿タワーオフィス2F","03-6820-7471","",""
"株式会社Z Marketing","https://www.z-marketing.jp/company","神奈川県横浜市中区扇町1-1-25 キンガビル5F","080-4719-4520","",""
