address,business_description,company_name,decision,detail_url,hub_evidence,list_text,maps_url,phone,reason,recurring_evidence,source_url,status,url
"東京都武蔵野市・サービス業・資本金7,348万円・従業員170名 サービス業 コンサルティング・経営支援業界 東京都武蔵野市御殿山１丁目１番３号",,ディーエムソリューションズ株式会社,drop,https://houjin.goo.to/corporations/9012401014057,,"ディーエムソリューションズ株式会社 ディーエムソリューションズ 証券番号 6549 東証スタンダード 本社東京都武蔵野市・サービス業・資本金7,348万円・従業員170名 サービス業 コンサルティング・経営支援業界 東京都武蔵野市御殿山１丁目１番３号 更新日：2026年08月11日",,,existing_name,,,,
東京都墨田区江東橋２丁目１９番７号,,富士ソフトサービスビューロ株式会社,drop,https://houjin.goo.to/corporations/1010601027646,,富士ソフトサービスビューロ株式会社 フジソフトサービスビューロ 証券番号 6188 東証スタンダード 高度な情報管理を基に、効率的な業務サポートを提供する企業であり、幅広いサービスを通じてお客様のビジネスの成長を支援しています。 サービス業 人材・人材派遣業界 東京都墨田区江東橋２丁目１９番７号 更新日：2026年08月25日,,,existing_name,,,,
,,株式会社Ｅストアー,drop,https://houjin.goo.to/corporations/8010401058455,,株式会社Ｅストアー イーストアー 証券番号 4304 東証スタンダード 同社はECサイト構築やネット通販の総合支援を行い、顧客のニーズに応じたサービスを提供。自社ECの成長を支援し、マーケティング施策も展開している。 情報・通信業 コンサルティング・経営支援業界 東京都港区虎ノ門１丁目３番１号 更新日：2026年06月22日,,,existing_name,,,,
東京都品川区東品川２丁目２番４３号,,株式会社アマナ,drop,https://houjin.goo.to/corporations/1010701000676,,株式会社アマナ アマナ 証券番号 2402 東証グロース 創造的コミュニケーションを通じて企業や社会の課題を解決し、価値を高めることを目指す専門家集団であり、ビジュアルコミュニケーションにおいての豊富な実績を持つ。 サービス業 サービス業界（その他） 東京都品川区東品川２丁目２番４３号 更新日：2026年06月22日,,,existing_name,,,,
,,株式会社Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,drop,https://houjin.goo.to/corporations/2010401130731,,"株式会社Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ カイゼンプラットフォーム 証券番号 4170 東証グロース デジタル領域での顧客体験改善を専門とし、1,000社以上の実績を誇る。ABテストや動画制作など多岐にわたるサービスで企業の課題解決をサポート。 情報・通信業 コンサルティング・経営支援業界 東京都港区白金１丁目２７番６号 更新日：2026年06月27日",,,existing_name,,,,
"東京都渋谷区・情報・通信業・資本金138,012万円・従業員67名 情報・通信業 IT業界 東京都渋谷区桜丘町１番１号",,株式会社セレス,drop,https://houjin.goo.to/corporations/1010401073460,,"株式会社セレス セレス 証券番号 3696 東証プライム 本社東京都渋谷区・情報・通信業・資本金138,012万円・従業員67名 情報・通信業 IT業界 東京都渋谷区桜丘町１番１号 更新日：2026年06月22日",,,existing_name,,,,
"東京都渋谷区・情報・通信業・資本金28,603万円・従業員89名 情報・通信業 IT業界 東京都渋谷区幡ヶ谷１丁目３４番１４号",,株式会社メディカルネット,drop,https://houjin.goo.to/corporations/1011001036766,,"株式会社メディカルネット メディカルネット 証券番号 3645 東証グロース 本社東京都渋谷区・情報・通信業・資本金28,603万円・従業員89名 情報・通信業 IT業界 東京都渋谷区幡ヶ谷１丁目３４番１４号 更新日：2026年08月21日",,,existing_name,,,,
東京都渋谷区渋谷２丁目１５番１号,,株式会社ライトアップ,drop,https://houjin.goo.to/corporations/1011001041171,,株式会社ライトアップ ライトアップ 証券番号 6580 東証グロース 自社のITサービスを通じて全国の中小企業の黒字化を支援する企業。幅広いニーズに応えるAI活用研修やECサイト構築サービスを展開し、顧客満足の向上に努めている。 情報・通信業 コンサルティング・経営支援業界 東京都渋谷区渋谷２丁目１５番１号 更新日：2026年06月22日,,,existing_name,,,,
"東京都墨田区・製造業(パルプ・紙)・資本金2,000万円・従業員61名 製造業(パルプ・紙) 広告業界 東京都墨田区向島３丁目３５番９号",,大東印刷工業株式会社,drop,https://houjin.goo.to/corporations/9010601011460,,"大東印刷工業株式会社 本社東京都墨田区・製造業(パルプ・紙)・資本金2,000万円・従業員61名 製造業(パルプ・紙) 広告業界 東京都墨田区向島３丁目３５番９号 更新日：2026年08月25日",,,existing_name,,,,
東京都品川区西五反田４丁目２８番１３号,,株式会社三進社,drop,https://houjin.goo.to/corporations/1010701003687,,株式会社三進社 サンシンシャ スピーディーな印刷物製作が強みの印刷会社で、カタログやパンフレットなど多様な印刷ニーズに対応。品質管理にも力を入れ、高品質な製品を提供する。 製造業(パルプ・紙) 広告業界 東京都品川区西五反田４丁目２８番１３号 更新日：2025年12月11日,,,existing_name,,,,
東京都品川区西五反田２丁目１１番８号,,株式会社Ｇａｋｋｅｎ,drop,https://houjin.goo.to/corporations/2010701021655,,株式会社Ｇａｋｋｅｎ ガッケン 幅広いジャンルの書籍や教材を提供し、国内外で教育を支援する企業。医療分野にも強みを持ち、幼児から社会人までの学びを促進するオンライン事業や教室事業に注力している。 情報・通信業 教育・学習業界 東京都品川区西五反田２丁目１１番８号 更新日：2026年06月30日,,,existing_name,,,,
東京都新宿区山吹町３４７番地藤和江戸川橋ビル,,株式会社ブレインズ・ネットワーク,drop,https://houjin.goo.to/corporations/2011101059609,,株式会社ブレインズ・ネットワーク ブレインズネットワーク デザインを通じてビジネス課題を解決する企業で、印刷物やWEB制作をワンストップで提供。多様なクリエイティブサービスを展開しています。 製造業(パルプ・紙) 広告業界 東京都新宿区山吹町３４７番地藤和江戸川橋ビル 更新日：2025年12月11日,,,existing_name,,,,
東京都新宿区四谷坂町１２番２１号,,コモンズ株式会社,drop,https://houjin.goo.to/corporations/7011101028823,,コモンズ株式会社 コモンズ 繊細なマーケティング課題に対応し、企業価値を向上させるための独自戦略を提供する広告会社。豊富な受賞歴を誇り、顧客ニーズに応じた最適なソリューションを展開。 情報・通信業 コンサルティング・経営支援業界 東京都新宿区四谷坂町１２番２１号 更新日：2023年01月30日,,,existing_name,,,,
東京都千代田区九段北４丁目２番４号,,株式会社千修,drop,https://houjin.goo.to/corporations/9010001020814,,株式会社千修 センシュウ デジタルとリアルの融合により、ワンストップでプロモーション課題に応える企業。幅広い業務を展開し、高品質なソリューション提供に努めている。 サービス業 コンサルティング・経営支援業界 東京都千代田区九段北４丁目２番４号 更新日：2026年08月21日,,,existing_name,,,,
,,インプルーブ株式会社,drop,https://houjin.goo.to/corporations/1010401050567,,インプルーブ株式会社 インプルーブ ネットワーク事業を中心にITコンシェルジュとして多様なニーズに応え、最適なネットワーク環境を提供。スマートフォンアプリの開発やセキュリティ対策など幅広くサポート。 情報・通信業 コンサルティング・経営支援業界 東京都港区西新橋２丁目２２番１号 更新日：2025年12月11日,,,existing_name,,,,
東京都千代田区外神田３丁目１４番３号,,株式会社ケープロジェクト,drop,https://houjin.goo.to/corporations/1011001048349,,株式会社ケープロジェクト ケープロジェクト システム開発や技術者エンジニアリングサービスを手掛け、幅広い分野で実績を持つ企業。スマートフォンアプリやWeb系システムの開発で顧客の業務効率化を支援し、革新的なソリューションを提供。 IT業界 東京都千代田区外神田３丁目１４番３号 更新日：2025年12月11日,,,existing_name,,,,
東京都新宿区新小川町９番２２号,,株式会社誠晃印刷,drop,https://houjin.goo.to/corporations/1011101010828,,株式会社誠晃印刷 セイコウインサツ 高品質な印刷物を提供する総合印刷業で、美術印刷や出版印刷を得意とし、常にお客様のニーズに応じたサービスを提案しています。 製造業(パルプ・紙) 広告業界 東京都新宿区新小川町９番２２号 更新日：2025年11月12日,,,existing_name,,,,
東京都千代田区麹町２丁目２番地３,,株式会社要,drop,https://houjin.goo.to/corporations/1011101056961,,株式会社要 カナメ ソフトウェア開発を通じて幸せな社会を目指し、ネパールでは高品質なスペシャルティコーヒーを展開。地域貢献や女性支援にも積極的に取り組んでいる。 IT業界 東京都千代田区麹町２丁目２番地３ 更新日：2025年12月03日,,,existing_name,,,,
"東京都千代田区・製造業(パルプ・紙)・資本金6,000万円・従業員70名 製造業(パルプ・紙) コンサルティング・経営支援業界 東京都千代田区神田須田町２丁目５番２号",,株式会社中外,drop,https://houjin.goo.to/corporations/2010001022651,,"株式会社中外 チュウガイ 本社東京都千代田区・製造業(パルプ・紙)・資本金6,000万円・従業員70名 製造業(パルプ・紙) コンサルティング・経営支援業界 東京都千代田区神田須田町２丁目５番２号 更新日：2025年10月21日",,,existing_name,,,,
