address,business_description,company_name,decision,maps_url,phone,reason,source_url,status,url
8160954 福岡県,最終更新日時： 2026/08/21 10:39 法人番号 6290003005961 掲載の情報は、「 Gビズインフォ 」（経済産業省）をもとに作成しています。 Ｆｕｎ Ｓｔａｎｄａｒｄ株式会社 ファンスタンダード IT・ソフトウェア業界 デザイン業界 広告業界 IT・ソフトウェア業界 / システム受託開発(SIer・SES) IT・ソフトウェア業界 / ソフトウェア・パッケージ デザイン業界 / グラフィックデザイン 広告業界 / 総合広告代理店 広告業界 / ネット広告専門代理店 企画、開発、通信販売、クラウドファンディング、デザイン、PR等 ,Ｆｕｎ　Ｓｔａｎｄａｒｄ株式会社,keep,,0925583798,,https://db.grip.website/detail/6290003005961,MEOハブ候補,https://www.funstandard.jp/
6040835 京都府京都市中京区御池通高倉西入高宮町２０６番地御池ビル９Ｆ,最終更新日時： 2026/08/24 17:16 法人番号 8130001025488 掲載の情報は、「 Gビズインフォ 」（経済産業省）をもとに作成しています。 株式会社ケイ・ユニティー ケイユニティ デザイン業界 出版業界 広告業界 通信業界 デザイン業界 / グラフィックデザイン 出版業界 / 書籍出版 出版業界 / 雑誌・情報誌 広告業界 / 総合広告代理店 通信業界 / 放送事業(CATV等) グラフィックデザイン WEBデザイン フォトディレクション 映像ディレクション 図面トレース 商品企画など ,株式会社ケイ・ユニティー,keep,,代表者名 代表取締役 津田和夫,,https://db.grip.website/detail/8130001025488,MEOハブ候補,http://k-unity.com/
9392708 富山県,最終更新日時： 2026/08/24 17:16 法人番号 9230001004951 掲載の情報は、「 Gビズインフォ 」（経済産業省）をもとに作成しています。 株式会社アスプコミュニケーションズ アスプコミュニケーションズ IT・ソフトウェア業界 コンサルティング業界 金融業界 デザイン業界 その他の業界 IT・ソフトウェア業界 / システム受託開発(SIer・SES) IT・ソフトウェア業界 / 情報セキュリティ コンサルティング業界 / IT・DXコンサル 金融業界 / 生命・損害保険 デザイン業界 / グラフィックデザイン その他の業界 / その他 ◆ディスクロージャー・IR実務に特化した情報処理の専門会社 ・オリジナルの法定開示書類作成支援システムの開発、運用、保守 ・全国の企業と繋がるネットワークシステム、セキュリティシステムの構築 ・財務情報データのデータベース化による商品企画 ・自社開発システム操作説明（ヘルプデスク） ・投資家に向けた媒体のDTPデザイン、Webコンテンツ企画、制作 ・上場企業の総務、経理、広報等の管理部門への総会、決算サポート業務 ,株式会社アスプコミュニケーションズ,keep,,代表者名 代表取締役社長 上野 剛史,,https://db.grip.website/detail/9230001004951,MEOハブ候補,https://www.asp-communications.co.jp/
1080023 東京都,最終更新日時： 2026/08/24 17:16 法人番号 9010401092981 掲載の情報は、「 Gビズインフォ 」（経済産業省）をもとに作成しています。 トライアロー株式会社 トライアロー IT・ソフトウェア業界 Web・デジタルマーケティング業界 教育業界 デザイン業界 人材業界 通信業界 IT・ソフトウェア業界 / システム受託開発(SIer・SES) Web・デジタルマーケティング業界 / Webシステム開発・アプリ開発 デザイン業界 / グラフィックデザイン 人材業界 / 人材紹介 人材業界 / 人材派遣 通信業界 / 移動体通信(キャリア) 通信業界 / ISP(プロバイダ) 通信業界 / データセンター ITソリューションの提供、Webサイト制作、システム開発、UI/UXデザイン、デジタルマーケティング支援、人材紹介など、多岐にわたるサービスを展開し、企業のDX推進や事業成長を支援する。 ,トライアロー株式会社,keep,,03-5439-1200,,https://db.grip.website/detail/9010401092981,MEOハブ候補,https://www.tri-arrow.co.jp/
4600002 愛知県,最終更新日時： 2026/08/24 17:16 法人番号 9180001035746 掲載の情報は、「 Gビズインフォ 」（経済産業省）をもとに作成しています。 株式会社広告制作所 コウコクセイサクジョ デザイン業界 広告業界 通信業界 デザイン業界 / グラフィックデザイン デザイン業界 / 空間・インテリアデザイン 広告業界 / 総合広告代理店 広告業界 / イベント企画・運営 通信業界 / 放送事業(CATV等) ■ブランディング・グラフィックデザイン全般 ■広告/宣伝ツール/エディトリアル/パッケージなどの企画・プランニング ■WEBサイト企画・制作 ■CM・MOVIEなどの動画制作 ■看板・サイン設計のデザイン制作 ,株式会社広告制作所,keep,,代表者名 代表取締役社長 梅村 正直,,https://db.grip.website/detail/9180001035746,MEOハブ候補,https://www.seisakujyo.co.jp/profile/
4530801 愛知県,最終更新日時： 2026/08/24 17:12 法人番号 9180301025950 掲載の情報は、「 Gビズインフォ 」（経済産業省）をもとに作成しています。 トリプルＥジャパン株式会社 トリプルイージャパン デザイン業界 通信業界 デザイン業界 / グラフィックデザイン デザイン業界 / 空間・インテリアデザイン 広告業界 / イベント企画・運営 通信業界 / 放送事業(CATV等) グラフィックデザイン（企画 / 制作 / ブランディング） ウェブデザイン（企画 / 制作 / 運営 / マーケティング） ウェブ広告運用（Google / Yahoo! / 各種SNS） システム（開発 / 構築 / 管理） テレビCM・映像（企画 / 制作） 撮影（スチール / ムービー / ドローン） イベント（企画 / 運営） アプリ・ロボット（企画 / 開発）などなど ,トリプルＥジャパン株式会社,keep,,代表者名 代表取締役 飯見 裕一郎,,https://db.grip.website/detail/9180301025950,MEOハブ候補,https://www.triple-e.inc/
1410032 東京都,最終更新日時： 2026/08/24 17:16 法人番号 8320001004448 掲載の情報は、「 Gビズインフォ 」（経済産業省）をもとに作成しています。 フューチャーインスペース株式会社 フューチャーインスペース IT・ソフトウェア業界 コンサルティング業界 デザイン業界 通信業界 IT・ソフトウェア業界 / システム受託開発(SIer・SES) IT・ソフトウェア業界 / AI・データ分析・DX推進 デザイン業界 / グラフィックデザイン 通信業界 / 移動体通信(キャリア) 通信業界 / ISP(プロバイダ) 通信業界 / データセンター ITソリューションの提供、システム開発、Webサイト制作、UI/UXデザイン、データ分析、DX推進支援など、企業のデジタルトランスフォーメーションを包括的にサポートする事業を展開。 ,フューチャーインスペース株式会社,keep,,03-6361-6000,,https://db.grip.website/detail/8320001004448,MEOハブ候補,https://www.inspace.co.jp/
1010061 東京都,最終更新日時： 2026/08/24 17:16 法人番号 9010001090601 掲載の情報は、「 Gビズインフォ 」（経済産業省）をもとに作成しています。 テクノブレイブ株式会社 テクノブレイブ IT・ソフトウェア業界 コンサルティング業界 Web・デジタルマーケティング業界 デザイン業界 ゲーム業界 通信業界 IT・ソフトウェア業界 / システム受託開発(SIer・SES) IT・ソフトウェア業界 / ソフトウェア・パッケージ IT・ソフトウェア業界 / AI・データ分析・DX推進 IT・ソフトウェア業界 / クラウド・SaaS(自社製品) Web・デジタルマーケティング業界 / Webシステム開発・アプリ開発 デザイン業界 / グラフィックデザイン 通信業界 / 移動体通信(キャリア) 通信業界 / ISP(プロバイダ) 通信業界 / データセンター ITソリューションの提供、システム開発、Webサイト制作、UI/UXデザイン、デジタルマーケティング支援など、企業のDX推進を包括的にサポートする。 ,テクノブレイブ株式会社,keep,,03-5577-3950,,https://db.grip.website/detail/9010001090601,MEOハブ候補,https://www.tbrave.com/
1600022 東京都新宿区新宿１丁目８番１号,最終更新日時： 2026/08/24 17:15 法人番号 2011101047646 掲載の情報は、「 Gビズインフォ 」（経済産業省）をもとに作成しています。 株式会社クーレボ クーレボ IT・ソフトウェア業界 小売業界 デザイン業界 通信業界 IT・ソフトウェア業界 / システム受託開発(SIer・SES) IT・ソフトウェア業界 / クラウド・SaaS(自社製品) デザイン業界 / グラフィックデザイン デザイン業界 / UI/UXデザイン 通信業界 / 移動体通信(キャリア) 通信業界 / ISP(プロバイダ) 通信業界 / データセンター Webサイト制作、システム開発、UI/UXデザイン、グラフィックデザイン、ブランディング、デジタルマーケティング支援など、企業のDX推進を支援するクリエイティブカンパニーです。 ,株式会社クーレボ,keep,,03-5360-1377,,https://db.grip.website/detail/2011101047646,MEOハブ候補,https://www.cool-revo.co.jp/
1120011 東京都,最終更新日時： 2026/08/24 17:16 法人番号 9010001017439 掲載の情報は、「 Gビズインフォ 」（経済産業省）をもとに作成しています。 株式会社産業編集センター サンギョウヘンシュウセンター IT・ソフトウェア業界 コンサルティング業界 エンタメ業界 外食業界 デザイン業界 その他の業界 出版業界 広告業界 IT・ソフトウェア業界 / システム受託開発(SIer・SES) エンタメ業界 / アニメ制作 外食業界 / 居酒屋・ダイニング デザイン業界 / グラフィックデザイン その他の業界 / その他 出版業界 / 書籍出版 出版業界 / 雑誌・情報誌 広告業界 / 総合広告代理店 社内報・Web社内報・各種広報ツールの企画・制作 ,株式会社産業編集センター,keep,,-,,https://db.grip.website/detail/9010001017439,MEOハブ候補,https://www.shc.co.jp/
