address,business_description,company_name,decision,maps_url,phone,reason,source_url,status,url
5300012 大阪府大阪市北区芝田２丁目７番１８号,飲食業界に特化した人材紹介、求人広告、および研修サービスを展開するHR（人材）テック企業です。飲食専門の求人サイト「クックビズ」を運営し、店舗スタッフから料理長、本部社員まで、飲食業界における幅広い求職者と企業のマッチングを支援しています。慢性的な人手不足に悩む飲食・フード業界の採用課題を解決するとともに、飲食従事者のキャリアアップと業界全体の地位向上を目指し、研修や定着支援コンサルティングなども提供しています。 所在地: 大阪府高槻市 所在地: 大阪府高槻市 所在地: 大阪府大阪市北区 所在地: 大阪府大阪市中央区 所在地: 大阪府大阪市中央区,クックビズ株式会社,keep,,代表者名 代表取締役社長 藪ノ 賢次,,https://db.grip.website/detail/7120001128193,MEOハブ候補,https://cookbiz.co.jp/
4500002 愛知県名古屋市中村区名駅３丁目２５番３号,リクルーティング事業 広告プランニング事業 斡旋事業［許可番号 23-ユ-301311］ 所在地: 愛知県名古屋市中区 所在地: 愛知県刈谷市 所在地: 愛知県西尾市 所在地: 愛知県安城市 所在地: 愛知県春日井市,株式会社リクルーティング・デザイン,keep,,代表者名 天野 智紹,,https://db.grip.website/detail/1180001041867,MEOハブ候補,https://www.rd-woods.co.jp/
1600022 東京都新宿区新宿４丁目３番２５号,エン転職・マイナビ転職をはじめとする主要大手求人広告から、地域に根差した地方誌まで全国400媒体以上の求人広告を扱う総合代理店です。求人広告掲載、人材募集、採用に関するお問い合わせを受け付けています。 所在地: 東京都八王子市 所在地: 東京都千代田区 所在地: 東京都目黒区 所在地: 東京都中央区 所在地: 東京都新宿区,ハレルヤエージェンシー株式会社,keep,,03-6862-6210,,https://db.grip.website/detail/4010001179606,MEOハブ候補,https://www.halle-a.jp/
1100005 東京都台東区上野１丁目１番１２号,東京都を拠点に求人広告業を展開。Indeedゴールドパートナーとして、アルバイトから中途採用までの求人掲載相談に対応。 所在地: 東京都目黒区 所在地: 東京都港区 所在地: 東京都品川区 所在地: 東京都新宿区 所在地: 東京都目黒区,株式会社アド・イーグル,keep,,代表者名 大場 貴文,,https://db.grip.website/detail/8010501024150,MEOハブ候補,https://www.adeagle.co.jp/
4350057 静岡県浜松市中央区中田町４４６番地,浜松市および全国の求人広告掲載、人材採用に関する提案 所在地: 静岡県富士市 所在地: 静岡県掛川市 所在地: 静岡県静岡市葵区 所在地: 静岡県伊東市 所在地: 静岡県静岡市葵区,株式会社リクルーティングマネジメント,keep,,代表者名 加藤 竜義,,https://db.grip.website/detail/4080401021377,MEOハブ候補,https://rec-m.co.jp/
6500021 兵庫県神戸市中央区三宮町２丁目７番４号,■総合リクルーティングサービス ・求人広告の代理 ・人材教育、研修マネジメント ・リクルーティングプロモーション ・採用支援 ・採用に関するコンサルティング ・選考サポート 所在地: 兵庫県神戸市灘区 所在地: 兵庫県姫路市 所在地: 兵庫県神戸市中央区磯辺通３丁目１番２号大和地所三宮ビル２０８号 所在地: 兵庫県加古郡播磨町 所在地: 兵庫県神戸市中央区,株式会社ＳＲＣ,keep,,代表者名 大谷亮太,,https://db.grip.website/detail/2140001006419,MEOハブ候補,https://www.src-japan.net/
5250032 滋賀県草津市大路１丁目１１番１４号５階,採用コンサルティング業務、採用アウトソーシング業務、SNS運用コンサルティング、WEB・映像・パンフレット等の企画・制作、各種求人広告の選定・運用サポート 所在地: 滋賀県草津市 所在地: 滋賀県大津市 所在地: 滋賀県蒲生郡竜王町 所在地: 滋賀県東近江市 所在地: 滋賀県米原市,株式会社ヒトラクト,keep,,代表者名,,https://db.grip.website/detail/4130001072154,MEOハブ候補,https://hitoract.co.jp/company/
7550032 山口県宇部市寿町２丁目５番２１号,求人広告事業（受理番号/51-募-000097)、人材派遣・紹介事業（許可番号/派35-300051・許可番号/35-ユ-300024）、HRプラットフォーム事業 所在地: 山口県山口市 所在地: 山口県周南市 所在地: 山口県宇部市 所在地: 山口県周南市 所在地: 山口県周南市,株式会社Ｂｅ　ｗｉｎ,keep,,0836-39-5006,,https://db.grip.website/detail/6250001004515,MEOハブ候補,https://be-win.co.jp/aichi/company
1500044 東京都渋谷区円山町３番６号Ｅ・スペースタワー６階,東京都渋谷区に本社を置く、2013年設立の総合人材・マーケティング支援企業を傘下に持つ持株会社です。「for You〜人生をかけてビジネスを〜」をビジョンに掲げ、顧客の成功と個人の可能性を最大化させる多角的な事業を展開しています。主な事業内容は、グループ全体の経営戦略立案や管理業務に加え、子会社を通じて新卒・中途採用支援（株式会社HR team）、プロフェッショナル人材の副業紹介（株式会社プロの副業）、SNS運用やWeb制作等のマーケティング支援（株式会社フルベットマーケティング）など多岐にわたります。最大の特徴は、人材領域における圧倒的な集客力と、企業の成長課題に対して戦略策定から実行支援までを一気通貫で提供できるグループ総合力にあります。400名を超える従業員（グループ連結）が、熱意を持って顧客の課題解決にコミットする「情熱的なビジネス展開」を強みとしています。デジタルとリアルを融合させた独自のリクルーティング手法やプロ人材の活用提案を通じて、日本経済の活性化と新しい働き方の創出を牽引し続けている、成長著しいベンチャーグループです。 所在地: 東京都江東区 所在地: 東京都八王子市 所在地: 東京都港区 所在地: 東京都品川区 所在地: 東京都江東区,株式会社Ｆｕｌｌ　Ｂｅｔ　Ｇｒｏｕｐ,keep,,03-4563-6363,,https://db.grip.website/detail/1011001157348,MEOハブ候補,https://fullbet-group.co.jp/#COMPANY
4430021 愛知県蒲郡市三谷町竹沢５番地の２２,蒲郡市を中心に新聞折込のオリジナル連合チラシを制作・発行。求人広告、イベント・セール告知、不動産情報など、地域に密着した広告を取り扱う。 所在地: 愛知県名古屋市名東区 所在地: 愛知県西尾市 所在地: 愛知県名古屋市中区 所在地: 愛知県稲沢市 所在地: 愛知県,有限会社ニュースガイド社,keep,,0533-68-4444,,https://db.grip.website/detail/2180302015726,MEOハブ候補,https://www.newsguide1968.com/
