address,business_description,company_name,decision,maps_url,phone,reason,source_url,status,url
,新卒採用サービス 所在地: 大阪府大阪市北区 所在地: 大阪府大阪市北区 所在地: 大阪府大阪市東成区 所在地: 大阪府大阪市北区 所在地: 大阪府大阪市北区,株式会社ｉ－ｐｌｕｇ,drop,,,weak_provider_evidence,https://db.grip.website/detail/2140001087145,,http://i-plug.co.jp/
,ライフイベントプラットフォーム事業を展開。求人、住まい、自動車、保険、旅行など、人生のあらゆる場面で必要とされる情報やサービスをワンストップで提供し、人々のより良い人生の実現を支援する。 所在地: 東京都千代田区 所在地: 東京都中央区 所在地: 東京都目黒区 所在地: 東京都新宿区 所在地: 東京都渋谷区,株式会社じげん,drop,,,weak_provider_evidence,https://db.grip.website/detail/2010401098688,,https://zigexn.co.jp/
,インターネットを活用したサービスの提供 ・HR Techプロダクト ・求人／求職メディア ・人材紹介サービス ・活躍／定着支援サービス 所在地: 東京都渋谷区渋谷２丁目１５番１号 所在地: 東京都目黒区 所在地: 東京都八王子市 所在地: 東京都新宿区 所在地: 東京都豊島区,エン株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/1011101029018,,http://corp.en-japan.com/profile/outline.html
,人材Webプラットフォーム事業 所在地: 東京都中央区 所在地: 東京都目黒区 所在地: 東京都目黒区 所在地: 東京都新宿区 所在地: 東京都新宿区,株式会社みらいワークス,drop,,,weak_provider_evidence,https://db.grip.website/detail/4011001072890,,http://mirai-works.co.jp/
,株式会社ハウテレビジョンは、2010年創業のプラットフォーム運営企業です。全人類の能力を全面開花させ世界を変えるをミッションに、新卒採用プラットフォーム外資就活ドットコム、中途採用プラットフォーム外資就活ネクスト、質問箱サービスmond、採用代行サービスログリオなどを運営しています。東大生の90%以上が利用する外資就活ドットコムは就活プラットフォームとして高い認知度を持ち、2019年4月に上場しています。 所在地: 東京都渋谷区渋谷２丁目１５番１号 所在地: 東京都千代田区 所在地: 東京都中央区 所在地: 東京都国分寺市 所在地: 東京都,株式会社ハウテレビジョン,drop,,,weak_provider_evidence,https://db.grip.website/detail/4011601015654,,https://howtelevision.co.jp/
,当社は、「高齢社会に適した情報インフラを構築することで価値を創造し社会に貢献し続ける」という企業理念に基づき事業を展開しております。 高齢社会で求められる事業領域を介護、医療、キャリア、ヘルスケア、シニアライフ、グローバルと定義し、情報がコアバリューとなるサービスを多数開発、育成、運営しています。 その結果、創業以来40を超えるサービスを開発。特に、介護、医療、キャリアの分野では業界No.1のサービスも多数運営しております。 ますます加速する高齢社会に対して、今後もサービス同士のシナジーを加速させ、サービスを多数開発、育成、運営していくことで、価値を創造し社会に貢献し続けていきたいと考えております。 所在地: 東京都杉並区 所在地: 東京都千代田区 所在地: 東京都千代田区 所在地: 東京都 所在地: 東京都品川区,株式会社エス・エム・エス,drop,,,weak_provider_evidence,https://db.grip.website/detail/2010001134117,,https://www.bm-sms.co.jp
,,株式会社アクセスグループ・ホールディングス,drop,,,non_provider_company_type,https://db.grip.website/detail/5010401081443,,https://www.access-t.co.jp/
,企業のDX推進を支援するクラウドサービス「i-common」シリーズを提供。営業支援、採用支援、労務管理支援など、企業の成長に不可欠なソリューションを展開し、生産性向上とコスト削減に貢献。 所在地: 東京都江東区 所在地: 東京都港区赤坂７丁目１番１号 所在地: 東京都品川区 所在地: 東京都 所在地: 東京都港区,株式会社イオレ,drop,,,weak_provider_evidence,https://db.grip.website/detail/3010901015200,,https://www.eole.co.jp/
,東北・北信越地方を中心に、求人情報誌やWeb求人サイト「ジョブポスト」を運営する人材ソリューション企業です。地域密着型の採用支援サービスに強みを持ち、アルバイトやパートから正社員まで幅広い求職者と企業のマッチングを実現しています。また、人材派遣や職業紹介事業に加え、近年は待機児童問題の解決を目指す認可保育所の運営など、地域社会の課題解決に向けたこどもケアサポート事業も積極的に展開しています。 所在地: 福島県福島市 所在地: 福島県郡山市 所在地: 福島県郡山市 所在地: 福島県福島市 所在地: 福島県郡山市,株式会社ピーエイ,drop,,,weak_provider_evidence,https://db.grip.website/detail/4010001133026,,https://www.pa-co-ltd.co.jp/
,株式会社オープンアップグループは、東京都千代田区に本社を置く人材サービス持株会社で、製造業・建設業・IT業界向けの技術者派遣・紹介を中核事業としている。電気・機械・建設などの技術系エンジニアを主な対象とした人材派遣サービスを全国展開しており、ものづくり企業への技術人材供給で高いシェアを持つ。IT人材派遣・紹介事業や外国人技術者の活用支援にも事業を拡大しており、グループ各社が連携して多様な業種・職種の人材ニーズに対応している。 所在地: 東京都千代田区 所在地: 東京都渋谷区渋谷２丁目１５番１号 所在地: 東京都港区芝４丁目５番１０号ＡＣＮ田町ビル１０階 所在地: 東京都中央区 所在地: 東京都目黒区,株式会社オープンアップグループ,drop,,,weak_provider_evidence,https://db.grip.website/detail/5010401078571,,https://www.openupgroup.co.jp/
