address,business_description,company_name,decision,maps_url,phone,reason,source_url,status,url
,セコム株式会社は、1962年に日本初の警備保障会社として創業した、業界最大手のセキュリティ企業です。「信頼される安心を、社会へ。」を理念に掲げ、多様な事業を展開しています。 主力となるセキュリティ事業では、ご家庭向けの「セコム・ホームセキュリティ」や法人向けのオンライン・セキュリティシステム、常駐警備、現金護送などを提供し、社会の安全を支えています。 さらに、警備で培ったネットワークと技術力を活かし、防災事業（火災報知器や消火設備の提供）、メディカル事業（在宅医療サービスやAEDの販売）、保険事業（セキュリティ割引のある火災保険など）、地理空間情報サービス、BPO・ICT事業（情報セキュリティやデータセンター運営）など、「安心・安全・快適・便利」な社会をトータルで実現するサービスをグローバルに展開しています。 所在地: 東京都 所在地: 東京都中央区 所在地: 東京都千代田区 所在地: 東京都 所在地: 東京都渋谷区,セコム株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/6011001035920,,https://www.secom.co.jp/
,,日本放送協会,drop,,,not_legal_entity,https://db.grip.website/detail/8011005000968,,http://www.nhk.or.jp/
,インターネットサービス業 所在地: 東京都 所在地: 東京都港区 所在地: 東京都 所在地: 東京都目黒区 所在地: 東京都渋谷区,楽天グループ株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/9010701020592,,https://corp.rakuten.co.jp
,東京都渋谷区に本社を置く、2000年設立（東証プライム上場）の独立系SaaS（クラウドサービス）のリーディングカンパニーです。「ITサービスで企業の成長を継続的に支援します」をミッションに掲げ、中小企業の生産性向上に直結するバックオフィス支援サービスを多角的に展開しています。主な事業内容は、国内累計導入社数No.1の経費精算システム「楽楽精算」をはじめ、電子請求書発行システム「楽楽明細」、メール共有・管理システム「メールディーラー」、販売管理システム「楽楽販売」など、「楽楽（らくらく）シリーズ」を中心としたクラウド事業、およびITエンジニアの派遣・開発支援事業です。最大の特徴は、現場の担当者が使いやすい直感的な操作性と、法改正（電子帳簿保存法やインボイス制度）への迅速な対応力にあります。創業以来、四半世紀にわたり増収を続ける高い成長性と安定した経営基盤を誇り、デジタル化が遅れがちなバックオフィス業務のDX（デジタルトランスフォーメーション）を強力に推進し、日本企業の競争力強化を支え続けるプロフェッショナル集団です。 所在地: 大阪府大阪市北区 所在地: 大阪府豊中市 所在地: 大阪府高槻市 所在地: 大阪府大阪市北区 所在地: 大阪府大阪市中央区,株式会社ラクス,drop,,,weak_provider_evidence,https://db.grip.website/detail/9120001097305,,https://www.rakus.co.jp
,クラウドサービス・データセンターサービスを中心とし、人事・給与・会計パッケージソリューションの展開とＢＰＯ（ビジネスプロセス・アウトソーシング）、およびＩＴコンサルティング・ＩＴシステム構築・ＩＴインフラ構築などのシステム構築業務全般 所在地: 東京都千代田区 所在地: 東京都中央区 所在地: 東京都新宿区 所在地: 東京都 所在地: 東京都千代田区,鈴与シンワート株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/3010401014925,,http://www.shinwart.co.jp/
,インターネットサービス開発業 所在地: 東京都中央区 所在地: 東京都渋谷区渋谷２丁目１５番１号 所在地: 東京都中央区 所在地: 東京都 所在地: 東京都渋谷区,株式会社マネーフォワード,drop,,,weak_provider_evidence,https://db.grip.website/detail/6011101063359,,https://corp.moneyforward.com/
,システナは、モバイル通信、金融系システム開発、IT関連の各種商材の販売、システム運用サービス及びOAアシスタント・ヘルプデスク業務等を展開する総合SIベンダーです。 所在地: 東京都港区 所在地: 東京都千代田区 所在地: 東京都中央区 所在地: 東京都杉並区 所在地: 東京都渋谷区渋谷２丁目１５番１号,株式会社システナ,drop,,,weak_provider_evidence,https://db.grip.website/detail/6010401088867,,http://www.systena.co.jp/
,スマートフォン向けゲームの企画・開発・運営、及びIP（知的財産）を活用したコンテンツビジネスを展開。エンターテインメント分野における多様なサービス提供。 所在地: 東京都 所在地: 東京都中央区 所在地: 東京都千代田区 所在地: 東京都千代田区 所在地: 東京都,株式会社オルトプラス,drop,,,weak_provider_evidence,https://db.grip.website/detail/6011001065018,,https://www.altplus.co.jp/
,,バリュエンスホールディングス株式会社,drop,,,non_provider_company_type,https://db.grip.website/detail/6120001168182,,https://www.valuence.inc/
,東京都千代田区に本社を置く、1992年設立の日本初の商用インターネットサービスプロバイダー（ISP）であり、現在は東証プライムに上場する国内屈指の総合ネットワーク・ソリューション企業です。「日本のインターネットのパイオニア」として知られ、技術革新を通じて国内のネット社会を牽引し続けています。主な事業内容は、高品質なインターネット接続サービス、自社ブランドのクラウドサービス（IIJ GIO）、法人・個人向けモバイルサービス（MVNO）、高度なセキュリティソリューション、およびシステムの構築・運用（SI）など多岐にわたります。最大の特徴は、自社で運用する国内有数の高速・大容量バックボーンネットワークと、高度な専門技術を持つエンジニア集団による圧倒的な「技術力」にあります。官公庁や大手金融機関など、極めて高い信頼性が求められる組織に数多く採用されており、最新のIoTやゼロトラストセキュリティ、カーボンニュートラルなデータセンター運用を通じ、企業のDXを支え続けるITインフラのリーディングカンパニーです。 所在地: 東京都新宿区 所在地: 東京都渋谷区 所在地: 東京都千代田区 所在地: 東京都渋谷区渋谷２丁目１５番１号 所在地: 東京都品川区,株式会社インターネットイニシアティブ,drop,,,weak_provider_evidence,https://db.grip.website/detail/6010001011147,,https://www.iij.ad.jp/
