address,business_description,company_name,decision,maps_url,phone,reason,source_url,status,url
1040033 東京都中央区新川２丁目４番７号,【公共関連事業】 学校教育市場への教育機器・教材・コンテンツの製造・販売、ICTシステムの構築、学校空間デザイン・家具販売・施工及び、公共団体向けの基幹業務他のコンピュータソフトウェアの販売、コンピュータハードの販売・保守サポート 【オフィス関連事業】 オフィス関連家具の製造・販売、これに伴う内装インテリア・ネットワークの設計・デザイン・施工、各種事務用機械、事務用品の製造・販売及びオフィス環境構築サービス 【情報関連事業】 民間企業・福祉事業者向けの基幹業務ほかのコンピュータソフトウェアの開発・販売・システムインテグレーションサービス、コンピュータハードの販売・保守サポート 所在地: 東京都杉並区 所在地: 東京都千代田区 所在地: 東京都品川区 所在地: 東京都港区 所在地: 東京都,株式会社内田洋行,keep,,代表者名 代表取締役社長 大久保 昇,,https://db.grip.website/detail/1010001034730,MEOハブ候補,https://www.uchida.co.jp/
1020082 東京都千代田区一番町２１番地,金融機関，公共機関向けソリューション、小売業向け基幹システム、ECサイト構築ソリューションなどの各事業　システムの保守，運用等 所在地: 東京都港区 所在地: 東京都国分寺市 所在地: 東京都新宿区 所在地: 東京都渋谷区 所在地: 東京都,株式会社アイティフォー,keep,,03-5275-7841,,https://db.grip.website/detail/3010001022865,MEOハブ候補,https://www.itfor.co.jp/
5030974 岐阜県大垣市久瀬川町７丁目５番地の１,総合印刷会社 広告、カタログ、ＤＭ等の商業印刷 書籍、包装紙、パッケージ等の製作 所在地: 岐阜県岐阜市 所在地: 岐阜県各務原市 所在地: 岐阜県高山市 所在地: 岐阜県下呂市 所在地: 岐阜県大垣市,サンメッセ株式会社,keep,,0584-81-9111,,https://db.grip.website/detail/9200001013658,MEOハブ候補,https://www.sunmesse.co.jp/
1050012 東京都,True Dataは、全国2億人以上の消費者のID-POSデータ（購買・行動データ）を分析・活用するデータマーケティング企業。小売・流通・メーカーの購買行動分析・商品開発・マーケティング施策立案に活用できるデータプラットフォームを提供。消費者購買データの分析サービスで食品・生活用品メーカー等に展開。 所在地: 東京都杉並区 所在地: 東京都 所在地: 東京都新宿区 所在地: 東京都渋谷区 所在地: 東京都中央区,株式会社Ｔｒｕｅ　Ｄａｔａ,keep,,代表者名 代表取締役社長 米倉裕之,,https://db.grip.website/detail/6010401042601,MEOハブ候補,https://www.truedata.co.jp/
1040031 東京都中央区京橋３丁目１番１号,株式会社バリューデザインは、キャッシュレスサービス事業、サイネージ関連事業、ソリューション事業を展開しています。これらの事業を通じて、キャッシュレス決済とマーケティングを組み合わせたサービスを提供し、顧客のビジネス成長を支援しています。 所在地: 東京都国分寺市 所在地: 東京都渋谷区 所在地: 東京都港区 所在地: 東京都新宿区 所在地: 東京都,株式会社バリューデザイン,keep,,03-5542-0088,,https://db.grip.website/detail/1010001101786,MEOハブ候補,https://www.valuedesign.jp/company/profile/
1600023 東京都新宿区西新宿７丁目５番２５号,Webサイト制作、システム開発、UI/UXデザイン、グラフィックデザイン、ブランディング、デジタルマーケティング支援など、企業のDX推進を支援するクリエイティブ・テクノロジーカンパニー。 所在地: 東京都千代田区 所在地: 東京都 所在地: 東京都千代田区 所在地: 東京都渋谷区渋谷２丁目１５番１号 所在地: 東京都,ＧＬＯＥ株式会社,keep,,代表者名 代表取締役 谷田 優也,,https://db.grip.website/detail/3011001108349,MEOハブ候補,https://gloe.jp/
1070052 東京都,エムスリーは、医師・医療従事者向けのインターネットサービスを提供するヘルスケアIT企業。医師会員306万人超（2024年）が利用する医療情報ポータル「m3.com」を中核に、製薬会社向けマーケティング支援・電子カルテ・治験支援・転職支援等の医療DXサービスを展開。世界13カ国で事業を行うグローバルヘルスケアプラットフォーム。 所在地: 東京都 所在地: 東京都国分寺市 所在地: 東京都中央区 所在地: 東京都新宿区 所在地: 東京都品川区,エムスリー株式会社,keep,,代表者名 代表取締役社長 谷 村 格,,https://db.grip.website/detail/1010401063016,MEOハブ候補,https://corporate.m3.com/
1010022 東京都千代田区神田練塀町３番地,"ビープラッツ株式会社（Bplats, Inc.）は、企業がサブスクリプションビジネスを円滑に運営するためのプラットフォームを提供している会社です。 具体的には、以下のような事業内容を展開しています。 1.  **サブスクリプション統合プラットフォーム「Bplats Platform」の提供:** *   SaaS（Software as a Service）やクラウドサービス、デジタルコンテンツなど、あらゆるサブスクリプション型サービスの販売・管理・運用をワンストップで支援するプラットフォームです。 *   契約管理、課金・請求、顧客管理、パートナー管理、利用状況に応じた従量課金、プロモーション機能など、サブスクリプションビジネスに必要な多岐にわたる業務を自動化・効率化します。 *   これにより、企業は新たなサブスクリプションサービスを迅速に立ち上げ、販売チャネルを拡大し、運用コストを削減することができます。 2.  **SaaS/クラウドサービス流通プラットフォーム「Bplats Marketplace」の運営:** *   様々なSaaSやクラウドサービスを販売・購入できるオンラインマーケットプレイスを提供しています。 *   企業が自社のサービスを販売したり、他社のサービスを仕入れて顧客に提供したりする場として機能します。 3.  **サブスクリプションビジネスに関するコンサルティング・サポート:** *   サブスクリプションモデルへの移行や、既存のサブスクリプションビジネスの最適化に関するコンサルティングや導入支援を行っています。 要するに、ビープラッツ株式会社は、**企業がサブスクリプション型のビジネスモデルを構築・運用・拡大するためのITプラットフォームと関連サービスを提供するBtoB（企業間取引）の会社**です。 所在地: 東京都渋谷区 所在地: 東京都目黒区 所在地: 東京都千代田区 所在地: 東京都品川区 所在地: 東京都中央区",ビープラッツ株式会社,keep,,03-6262-9434,,https://db.grip.website/detail/6010001119584,MEOハブ候補,https://www.bplats.co.jp/
1050021 東京都港区東新橋１丁目９番１号,株式会社ミンカブ・ジ・インフォノイドは、株式・投資情報のポータルサイト「みんかぶ」や「kabutan（株探）」を運営する金融情報サービス企業である。個人投資家向けに株価情報・企業業績・ニュースをリアルタイムで提供するほか、AIを活用した株価予測や投資分析ツールも展開している。また金融機関向けのデータ提供やデジタルマーケティング支援事業も手がけ、金融情報インフラとしての役割を担っている。 所在地: 東京都渋谷区 所在地: 東京都杉並区 所在地: 東京都渋谷区 所在地: 東京都港区 所在地: 東京都中央区,株式会社ミンカブ・ジ・インフォノイド,keep,,代表者名 代表取締役社長 伴 将行,,https://db.grip.website/detail/4010401098942,MEOハブ候補,https://minkabu.co.jp/
5300011 大阪府大阪市北区大深町４番２０号グランフロント大阪タワーＡ,株式会社フューチャーショップは、電子商取引（Eコマース）支援サービスの提供を行っています。具体的には、SaaS型ECサイト構築プラットフォーム「futureshop」の企画・運営・開発を手掛けています。このプラットフォームを通じて、事業者のお客様が安全かつ先進的で魅力的なEコマースサイトを実現し、競争優位を確保して利益を生み出せるよう支援しています。また、お客様と共に活用方法を考えるスキームも提供し、共に成長していくことを目指しています。お客様のビジネス環境を理解し、本質的な問題解決に挑戦することで、最適な機能を提供し、専門性を高めています。 所在地: 大阪府大阪市北区 所在地: 大阪府豊中市 所在地: 大阪府大阪市中央区 所在地: 大阪府大阪市淀川区 所在地: 大阪府大阪市浪速区,株式会社フューチャーショップ,keep,,06-6485-5200,,https://db.grip.website/detail/7120001143143,MEOハブ候補,https://www.future-shop.jp/
