address,business_description,company_name,decision,maps_url,phone,reason,source_url,status,url
,クラウドサービス・データセンターサービスを中心とし、人事・給与・会計パッケージソリューションの展開とＢＰＯ（ビジネスプロセス・アウトソーシング）、およびＩＴコンサルティング・ＩＴシステム構築・ＩＴインフラ構築などのシステム構築業務全般 所在地: 東京都千代田区 所在地: 東京都中央区 所在地: 東京都新宿区 所在地: 東京都 所在地: 東京都千代田区,鈴与シンワート株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/3010401014925,,http://www.shinwart.co.jp/
,?システムインテグレーション事業／コンピューター、複合機、通信機器、ソフトウェアの販売および受託ソフトの開発など ?サービス&サポート事業／サプライ供給、保守、教育支援など 所在地: 東京都 所在地: 東京都 所在地: 東京都港区 所在地: 東京都渋谷区 所在地: 東京都千代田区,株式会社大塚商会,drop,,,weak_provider_evidence,https://db.grip.website/detail/1010001012983,,https://www.otsuka-shokai.co.jp/
,1935年設立の日本を代表するグローバルIT企業（東証プライム上場）です。「イノベーションによって社会に信頼をもたらし、世界をより持続可能にしていく」というパーパスを掲げ、現在は従来のハードウェア製造から、デジタル変革（DX）とサステナビリティを軸としたサービスプロバイダーへの転換を加速させています。主な事業内容は、コンピューティング、ネットワーク、AI、データ＆セキュリティなどの最先端技術を活用したシステム構築（SI）、クラウドサービス、および経営コンサルティングです。最大の特徴は、スーパーコンピュータ「富岳」に象徴される世界最高水準の技術力と、グローバルな事業ブランド「Fujitsu Uvance」を通じて展開する、業種を越えた社会課題の解決力にあります。官公庁や金融、製造など幅広い分野で強固な顧客基盤を持ち、AI（Fujitsu Kozuchi）や量子コンピューティングといった次世代技術の実装を通じて、デジタル社会の信頼を支え、新たな価値を創造し続ける世界屈指のテクノロジーパートナーです。 所在地: 神奈川県小田原市 所在地: 神奈川県川崎市麻生区 所在地: 神奈川県横浜市神奈川区 所在地: 神奈川県厚木市 所在地: 神奈川県横浜市西区,富士通株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/1020001071491,,https://www.fujitsu.com/jp/
,情報サービス業 所在地: 東京都千代田区 所在地: 東京都中央区 所在地: 東京都杉並区 所在地: 東京都千代田区 所在地: 東京都渋谷区,株式会社ニーズウェル,drop,,,weak_provider_evidence,https://db.grip.website/detail/3011101025642,,https://www.needswell.com/ir/sdgs
,コンピュータ周辺機器およびソフトウェアの開発・製造・販売 所在地: 長野県長野市 所在地: 長野県長野市 所在地: 長野県松本市 所在地: 長野県上田市 所在地: 長野県,株式会社ミマキエンジニアリング,drop,,,weak_provider_evidence,https://db.grip.website/detail/5100001010883,,http://japan.mimaki.com/
,コンピューターソフトの開発および販売 所在地: 東京都渋谷区渋谷２丁目１５番１号 所在地: 東京都渋谷区 所在地: 東京都杉並区 所在地: 東京都国分寺市 所在地: 東京都中央区,ピー・シー・エー株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/4010001027327,,https://corp.pca.jp/
,企業の基幹業務システム開発・販売、ITコンサルティング、クラウドサービス提供、各種ソフトウェア開発、システム運用保守、IT機器販売など、企業のデジタルトランスフォーメーションを支援するITソリューションを提供。 所在地: 東京都渋谷区渋谷２丁目１５番１号 所在地: 東京都千代田区 所在地: 東京都目黒区 所在地: 東京都中央区 所在地: 東京都新宿区,株式会社ミロク情報サービス,drop,,,weak_provider_evidence,https://db.grip.website/detail/4011101020774,,https://www.mjs.co.jp/
,株式会社フーバーブレインは、企業向け情報セキュリティ製品の開発・販売およびセキュアなシステム開発を行う企業。ログ管理・内部不正対策・情報漏洩防止などのセキュリティソフトウェアを自社開発し、官公庁・金融機関・一般企業に提供している。サイバー脅威が高まる中、企業の情報資産保護を技術面から強力に支援している。 所在地: 東京都千代田区 所在地: 東京都新宿区 所在地: 東京都渋谷区 所在地: 東京都渋谷区 所在地: 東京都,株式会社フーバーブレイン,drop,,,weak_provider_evidence,https://db.grip.website/detail/3010001077133,,https://www.hooberbrain.co.jp/
,パッケージソフトウェアおよびクラウドサービスの企画開発・販売・コンサルティング AIを使った製品・サービスの企画開発および販売、AI関連のソリューションの提供・支援およびコンサルティング 所在地: 埼玉県戸田市 所在地: 埼玉県戸田市 所在地: 埼玉県川口市 所在地: 埼玉県さいたま市桜区 所在地: 埼玉県新座市,株式会社システムインテグレータ,drop,,,weak_provider_evidence,https://db.grip.website/detail/7030001003876,,https://corporate.sint.co.jp/
,・パッケージソフトの開発・販売 ・システム設計・製造 ・デジタルコンテンツ制作 ・ゲームソフト開発・販売 ・インターネットコンテンツの提供 ・携帯コンテンツの提供 ・旅行業法に基づく旅行業 所在地: 東京都 所在地: 東京都新宿区 所在地: 東京都目黒区 所在地: 東京都千代田区 所在地: 東京都港区,ジョルダン株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/2011101009695,,http://www.jorudan.co.jp
