address,business_description,company_name,decision,detail_url,hub_evidence,list_text,maps_url,phone,reason,recurring_evidence,source_url,status,url
"東京都武蔵野市・サービス業・資本金7,348万円・従業員170名 サービス業 コンサルティング・経営支援業界 東京都武蔵野市御殿山１丁目１番３号",,ディーエムソリューションズ株式会社,drop,https://houjin.goo.to/corporations/9012401014057,,"ディーエムソリューションズ株式会社 ディーエムソリューションズ 証券番号 6549 東証スタンダード 本社東京都武蔵野市・サービス業・資本金7,348万円・従業員170名 サービス業 コンサルティング・経営支援業界 東京都武蔵野市御殿山１丁目１番３号 更新日：2026年08月11日",,,existing_name,,,,
"東京都港区・サービス業・資本金116,077万円・従業員108名 サービス業 コンサルティング・経営支援業界 東京都港区六本木７丁目１５番９号",,株式会社フリークアウト・ホールディングス,drop,https://houjin.goo.to/corporations/2010401092006,,"株式会社フリークアウト・ホールディングス フリークアウトホールデイングス 証券番号 6094 東証グロース 本社東京都港区・サービス業・資本金116,077万円・従業員108名 サービス業 コンサルティング・経営支援業界 東京都港区六本木７丁目１５番９号 更新日：2026年07月29日",,,existing_name,,,,
"東京都渋谷区・情報・通信業・資本金28,603万円・従業員89名 情報・通信業 IT業界 東京都渋谷区幡ヶ谷１丁目３４番１４号",,株式会社メディカルネット,drop,https://houjin.goo.to/corporations/1011001036766,,"株式会社メディカルネット メディカルネット 証券番号 3645 東証グロース 本社東京都渋谷区・情報・通信業・資本金28,603万円・従業員89名 情報・通信業 IT業界 東京都渋谷区幡ヶ谷１丁目３４番１４号 更新日：2026年08月21日",,,existing_name,,,,
東京都渋谷区渋谷２丁目１５番１号,,株式会社ライトアップ,drop,https://houjin.goo.to/corporations/1011001041171,,株式会社ライトアップ ライトアップ 証券番号 6580 東証グロース 自社のITサービスを通じて全国の中小企業の黒字化を支援する企業。幅広いニーズに応えるAI活用研修やECサイト構築サービスを展開し、顧客満足の向上に努めている。 情報・通信業 コンサルティング・経営支援業界 東京都渋谷区渋谷２丁目１５番１号 更新日：2026年06月22日,,,existing_name,,,,
宮城県仙台市青葉区本町１丁目１２番１２号,,株式会社ソノベ,drop,https://houjin.goo.to/corporations/7370001008866,,株式会社ソノベ ソノベ 地域活性化や環境への配慮を重視し、効果的なコミュニケーション方法を提案・提供する企業。水なし印刷やカーボンオフセットなど、持続可能な印刷技術を実践しています。 製造業(パルプ・紙) 広告業界 宮城県仙台市青葉区本町１丁目１２番１２号 更新日：2025年12月11日,,,existing_name,,,,
北海道札幌市中央区北三条西２丁目１２番１ＳＴＶ北３条ビル６Ｆ,,株式会社北海道朝日広告社,drop,https://houjin.goo.to/corporations/1430001024796,,株式会社北海道朝日広告社 ホッカイドウアサヒコウコクシャ 地元に密着した総合広告会社で、最新のマーケティング情報とクリエイティブを駆使し、具体的な成果を追求する広告活動を展開。広範なエリアで様々なニーズに応え、教育支援も行っている。 不動産業 広告業界 北海道札幌市中央区北三条西２丁目１２番１ＳＴＶ北３条ビル６Ｆ 更新日：2025年12月11日,,,existing_name,,,,
"社岐阜県多治見市・サービス業界（その他）・資本金3,000万円・従業員15名 サービス業界（その他） 岐阜県多治見市根本町１２丁目１４４番地の６",,トーヨー印刷株式会社,drop,https://houjin.goo.to/corporations/1200001020835,,"トーヨー印刷株式会社 トーヨーインサツ 本社岐阜県多治見市・サービス業界（その他）・資本金3,000万円・従業員15名 サービス業界（その他） 岐阜県多治見市根本町１２丁目１４４番地の６ 更新日：2026年08月04日",,,existing_name,,,,
"社島根県出雲市・情報・通信業・資本金4,000万円・従業員93名 情報・通信業 IT業界 島根県出雲市常松町５２６番地",,株式会社イーグリッド,drop,https://houjin.goo.to/corporations/7280001003166,,"株式会社イーグリッド イーグリッド 本社島根県出雲市・情報・通信業・資本金4,000万円・従業員93名 情報・通信業 IT業界 島根県出雲市常松町５２６番地 更新日：2026年07月07日",,,existing_name,,,,
"東京都千代田区・製造業(パルプ・紙)・資本金6,000万円・従業員70名 製造業(パルプ・紙) コンサルティング・経営支援業界 東京都千代田区神田須田町２丁目５番２号",,株式会社中外,drop,https://houjin.goo.to/corporations/2010001022651,,"株式会社中外 チュウガイ 本社東京都千代田区・製造業(パルプ・紙)・資本金6,000万円・従業員70名 製造業(パルプ・紙) コンサルティング・経営支援業界 東京都千代田区神田須田町２丁目５番２号 更新日：2025年10月21日",,,existing_name,,,,
"東京都目黒区・情報・通信業・資本金20,000万円・従業員60名 情報・通信業 サービス業界（その他） 東京都目黒区大橋２丁目２２番７号",,株式会社ティファナ・ドットコム,drop,https://houjin.goo.to/corporations/2013201004163,,"株式会社ティファナ・ドットコム ティファナドットコム 本社東京都目黒区・情報・通信業・資本金20,000万円・従業員60名 情報・通信業 サービス業界（その他） 東京都目黒区大橋２丁目２２番７号 更新日：2025年12月11日",,,existing_name,,,,
