company_name,url,normalized_domain,phone,exclusion_scope,reject_reason,evidence_url,reviewed_at
株式会社クラベール,https://www.clavel.jp/profile,clavel.jp,0742-36-1147,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://www.clavel.jp/profile,2026-08-26
株式会社クラップ,http://clap-design.net/,clap-design.net,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/1010501037571,2026-08-26
株式会社ニューマン,http://www.kk-newman.co.jp/publics/index/2/,kk-newman.co.jp,03-3626-8111,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/3010601014072,2026-08-26
株式会社アモウディレクション,http://amodirection.com/,amodirection.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6011001001492,2026-08-26
株式会社ＳＹ企画,http://www.syplan.co.jp/,syplan.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6010001145861,2026-08-26
株式会社エムエム・フォー,https://mm4.co.jp/,mm4.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6010001038685,2026-08-26
株式会社ウィード,http://www.weednet.co.jp/,weednet.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/3011101054740,2026-08-26
ソフトウエアエンジニアリング株式会社,https://www.sec-japan.co.jp/,sec-japan.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6011001012911,2026-08-26
株式会社岩承企画,https://gansho.net/,gansho.net,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6010001000827,2026-08-26
有限会社ユー・プラネット,http://www.u-planet.jp/,u-planet.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/1010502018125,2026-08-26
株式会社ダンアート,https://www.danart.co.jp/,danart.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/7010401016380,2026-08-26
株式会社アプレコミュニケーションズ,https://www.apres-com.co.jp/,apres-com.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/3010001080616,2026-08-26
依田印刷株式会社,http://www.yoda-print.co.jp/,yoda-print.co.jp,03-3659-0123,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/1011701008255,2026-08-26
株式会社エムツーオフィス,https://www.m2office.co.jp/20170204192326,m2office.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/1010901038351,2026-08-26
有限会社ハーベストムーン,http://www.harvest.co.jp/index.html,harvest.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6010102005460,2026-08-26
有限会社エム・デザインルーム,http://www.emdesign.co.jp/,emdesign.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5011702002113,2026-08-26
有限会社フレームデザイン研究所,https://takaotakenaka.com/,takaotakenaka.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/1010902024020,2026-08-26
株式会社かいんどファクトリー,https://www.kindfactory.co.jp/,kindfactory.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/4010001117565,2026-08-26
アーチュリップ株式会社,https://www.artulip.co.jp/,artulip.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/2010601035961,2026-08-26
ユキ・建築アート・プロダクション株式会社,http://www.yuki-art.co.jp/,yuki-art.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5013301013094,2026-08-26
株式会社ビー・ツー・ベアーズ,http://www.be-to.co.jp/,be-to.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5010401067847,2026-08-26
有限会社ミクストナッツ,https://mixed-nuts.co.jp/,mixed-nuts.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5010402035638,2026-08-26
株式会社ｅａ,https://www.ea-design.jp/,ea-design.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/7011101072904,2026-08-26
株式会社イマジンデザイン,https://www.imagin-d.co.jp/,imagin-d.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/7011101028360,2026-08-26
株式会社集計画研究所,http://www.shu-keikaku.co.jp/index.html,shu-keikaku.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6013301005512,2026-08-26
ビジュアル・フォース株式会社,http://vforce.co.jp/,vforce.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/6011001058863,2026-08-26
有限会社ディーオーアイネット,https://www.doi-net.com/ja-jp/,doi-net.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/3012802006708,2026-08-26
株式会社テオ,https://theodesign.jp/,theodesign.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/2011001100091,2026-08-26
株式会社サクラサイズ,https://www.sakurasize.com/index.html,sakurasize.com,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/5011001095387,2026-08-26
株式会社アルペジオ,https://www.arpeggio-inc.co.jp/index.html,arpeggio-inc.co.jp,,PERMANENT,再監査でWeb制作・Webマーケティング・営業支援の公開根拠なし,https://db.grip.website/detail/4010401043691,2026-08-26
