address,company_name,confidence,contact_url,discovery_note,evidence_detail,evidence_urls,generic_email,hub_type,last_verified_at,maps_url,margin_fit,phone,recurring_relationship,reject_reason,review_status,source_http_status,source_url,status,store_client_access,url,verification_version,why_fit
,デンタルウェブ,B,https://dental-web.jp/contact/,,"[{""url"": ""https://dental-web.jp/"", ""text"": ""歯科医院専門ホームページ制作のデンタルウェブ HOME 制作事例紹介 追加プラン 矯正歯科 インプラント フルオーダーサイト 基本/診療コンテンツ デンタルWebコラム お問い合わ せ 歯科医院専門""}, {""url"": ""https://dental-web.jp/"", ""text"": ""科 インプラント フルオーダーサイト 基本/診療コンテンツ デンタルWebコラム お問い合わ せ 歯科医院専門ホームページ制作サービス 「デンタルウェブ」 なんと 初期費用無料! サクッ と 手軽 に ホームページ制作 for Dentist Webサイト を 通して 歯科医院様 の 集患 を ""}, {""url"": ""https://dental-web.jp/"", ""text"": "" せ 歯科医院専門ホームページ制作サービス 「デンタルウェブ」 なんと 初期費用無料! サクッ と 手軽 に ホームページ制作 for Dentist Webサイト を 通して 歯科医院様 の 集患 を サポート 次のような歯科医院様は、ぜひデンタルウェブをご利用ください 新規開業される 歯科医""}, {""url"": ""https://dental-web.jp/"", ""text"": ""をそのまま使うのではなく、歯科医院様のロゴや写真、イメージカラーを使用して制作します。そのため、テンプレート型ホームページ制作サービスにありがちな他医院とのデザイン被りが少なく、オリジナル性のあるきちんとしたWebサイトの制作が可能です。 東京都江東区 有馬デンタルクリニック西大島 様 http""}, {""url"": ""https://dental-web.jp/"", ""text"": ""ンプレート型ホームページ制作サービスにありがちな他医院とのデザイン被りが少なく、オリジナル性のあるきちんとしたWebサイトの制作が可能です。 東京都江東区 有馬デンタルクリニック西大島 様 https://dental-web.jp/works/3771/ 新潟県新潟市 本間歯科医院 様 http""}]",https://dental-web.jp/,,OVERFLOW_HUB,2026-08-27T15:34:40,,unknown,0962832600,signal_only,,EVIDENCE_CHECKED,,https://homepage-kimete.com/company/dentalweb/,MEOハブ候補,signal_only,https://dental-web.jp/,20260827-service-pages-v2,公式ページで「歯科医院専門ホームページ制作のデンタルウェブ HOME 制作事例紹介 追加プラン 矯正歯科 インプラント フルオーダーサイト 基本/診療コンテンツ デンタルWebコラム お問い合わ せ 歯科医院専門」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,Liberadiant,B,https://liberadiant-webpartner.com/contact/,,"[{""url"": ""https://liberadiant-webpartner.com/"", ""text"": ""千葉県船橋市、八千代市のホームページ制作事務所 Liberadiant – 個人事業主様・中小企業様向けホームページ制作とマーケティング メインコンテンツへ移動 Web制作とWeb集客で ビジネスの前進をサポー""}, {""url"": ""https://liberadiant-webpartner.com/"", ""text"": ""千葉県船橋市、八千代市のホームページ制作事務所 Liberadiant – 個人事業主様・中小企業様向けホームページ制作とマーケティング メインコンテンツへ移動 Web制作とWeb集客で ビジネスの前進をサポート TOP サービス 制作実績 制作の流れ 料金 お問い合わせ 検索 検索 TO""}, {""url"": ""https://liberadiant-webpartner.com/"", ""text"": ""beradiant – 個人事業主様・中小企業様向けホームページ制作とマーケティング メインコンテンツへ移動 Web制作とWeb集客で ビジネスの前進をサポート TOP サービス 制作実績 制作の流れ 料金 お問い合わせ 検索 検索 TOP サービス 制作実績 制作の流れ 料金 お問い合わ""}, {""url"": ""https://liberadiant-webpartner.com/"", ""text"": ""es with smart web solutions and design. Service 提供サービス ホームページ制作 ビジネスの顔となるホームページを、柔軟かつ良心的な価格で制作します。中小企業や個人事業主の課題に寄り添い、集客やブランド力向上に繋がるWebサイトをご提案します。 デザ""}, {""url"": ""https://liberadiant-webpartner.com/"", ""text"": ""し、生活インフラとして定着するLINEを活用することで、効率よく新規顧客の獲得やリピート率の改善が可能です。 MEO対策 地域での集客力を強化するMEO対策をご提供。Googleマップでの検索順位を最適化し、店舗や小規模事業の露出を効果的に高めます。 Strength 私たちの「強み」 安""}]",https://liberadiant-webpartner.com/,,OVERFLOW_HUB,2026-08-27T15:34:41,,unknown,,signal_only,,EVIDENCE_CHECKED,,https://homepage-kimete.com/company/liberadiant/,MEOハブ候補,signal_only,https://liberadiant-webpartner.com/,20260827-service-pages-v2,公式ページで「千葉県船橋市、八千代市のホームページ制作事務所 Liberadiant – 個人事業主様・中小企業様向けホームページ制作とマーケティング メインコンテンツへ移動 Web制作とWeb集客で ビジネスの前進をサポー」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,株式会社プラスディー,B,https://plus-d.co.jp/contact/,,"[{""url"": ""https://plus-d.co.jp/service/"", ""text"": ""サービス|ブランド構想から広告・PR・Web制作、コンテンツ運用まで一貫して並走・支援|PLUS-D(プラスディー) サービス 実績 会社情報 採用情報 お問い合わせ ホーム サービス 実績 会社情報 採用情報 お問い""}]",https://plus-d.co.jp/service/,,ADD_ON_HUB,2026-08-27T15:34:44,,unknown,,unknown,,EVIDENCE_CHECKED,,https://homepage-kimete.com/company/plusdinc/,MEOハブ候補,unknown,https://plus-d.co.jp/,20260827-service-pages-v2,公式ページで「サービス|ブランド構想から広告・PR・Web制作、コンテンツ運用まで一貫して並走・支援|PLUS-D(プラスディー) サービス 実績 会社情報 採用情報 お問い合わせ ホーム サービス 実績 会社情報 採用情報 お問い」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,ウィドック（WeDOK）,B,https://wedok.jp/aboutus/contact/,,"[{""url"": ""https://wedok.jp/"", ""text"": ""山形県寒河江市でホームページ企画・制作・管理サービスを提供するウィドック 山形県寒河江市を拠点に、ホームページ制作・SEO対策・商用写真撮影・運用支援を一括提供。中小企業・店舗の集客と業務効率化をサポートするウェブ""}, {""url"": ""https://wedok.jp/"", ""text"": ""山形県寒河江市でホームページ企画・制作・管理サービスを提供するウィドック 山形県寒河江市を拠点に、ホームページ制作・SEO対策・商用写真撮影・運用支援を一括提供。中小企業・店舗の集客と業務効率化をサポートするウェブパートナー ウェブ制作 制作フロー 制作プラン 制作事例 セキュリティ""}, {""url"": ""https://wedok.jp/"", ""text"": ""ル化を支える 心強い味方 ウィドックは、企業やお店の「デジタルのお悩み」を解決する 頼れるパートナー です! ホームページ制作 や写真撮影をはじめ、パソコン修理など、トータルサポートで安心!山形を拠点に培った経験を活かし、日本全国どこからでも気軽に利用できます。 相談しやすく頼れる対応 が、多く""}, {""url"": ""https://wedok.jp/"", ""text"": ""最新技術への対応力 SEO対策やセキュリティを重視した最新技術を活用し、ビジネスの成長を後押しします。効果的なウェブサイト制作で、オンラインでの競争力を高めます。 Clean Coding 正確で効率的なコーディング技術 SEOに強いコード設計で、検索エンジンに配慮した構造を採用。サーチエンジン""}, {""url"": ""https://wedok.jp/"", ""text"": ""撮影で魅力を引き出す プロ仕様のスタジオ撮影や山形県内の出張撮影に対応。商品の魅力を最大限に引き出し、印象的なウェブサイトを構築する高品質な写真をご提供します。 ホームページ制作無料相談・お申込 山形県寒河江市で地域に寄り添う、 ウェブ戦略の経験豊富なガイド ウィドックは、山形の事業者様の ウェブ""}]",https://wedok.jp/,,ADD_ON_HUB,2026-08-27T15:34:44,,unknown,02378521229,signal_only,,EVIDENCE_CHECKED,,https://homepage-kimete.com/company/wedok/,MEOハブ候補,signal_only,https://wedok.jp/,20260827-service-pages-v2,公式ページで「山形県寒河江市でホームページ企画・制作・管理サービスを提供するウィドック 山形県寒河江市を拠点に、ホームページ制作・SEO対策・商用写真撮影・運用支援を一括提供。中小企業・店舗の集客と業務効率化をサポートするウェブ」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,すみだホームページ制作所,B,https://sumida-hp.com/contact/,,"[{""url"": ""https://sumida-hp.com/"", ""text"": ""すみだホームページ制作所:WEB制作【東京墨田区】 個人事業主・フリーランスのためのホームページ制作 すみだホームページ制作所 サービス内容 料金とプラン 制作所について 制作実績 コラム お""}, {""url"": ""https://sumida-hp.com/"", ""text"": ""すみだホームページ制作所:WEB制作【東京墨田区】 個人事業主・フリーランスのためのホームページ制作 すみだホームページ制作所 サービス内容 料金とプラン 制作所について 制作実績 コラム お問い合わせ 個""}, {""url"": ""https://sumida-hp.com/"", ""text"": ""すみだホームページ制作所:WEB制作【東京墨田区】 個人事業主・フリーランスのためのホームページ制作 すみだホームページ制作所 サービス内容 料金とプラン 制作所について 制作実績 コラム お問い合わせ 個人事業主・フリーランスのホームページ制作 個人事業主・フリーラン""}, {""url"": ""https://sumida-hp.com/"", ""text"": ""すみだホームページ制作所:WEB制作【東京墨田区】 個人事業主・フリーランスのためのホームページ制作 すみだホームページ制作所 サービス内容 料金とプラン 制作所について 制作実績 コラム お問い合わせ 個人事業主・フリーランスのホームページ制作 個人事業主・フリーランス向けのホームページを中""}, {""url"": ""https://sumida-hp.com/"", ""text"": ""制作所 サービス内容 料金とプラン 制作所について 制作実績 コラム お問い合わせ 個人事業主・フリーランスのホームページ制作 個人事業主・フリーランス向けのホームページを中心に制作しています。 全国のご依頼に対応する東京都にあるWEBデザインの制作所です。 プラン一覧を見る コンセプト すみだ""}]",https://sumida-hp.com/,,ADD_ON_HUB,2026-08-27T15:34:46,,unknown,,signal_only,,EVIDENCE_CHECKED,,https://homepage-kimete.com/company/sumidahpoffice/,MEOハブ候補,signal_only,https://sumida-hp.com/,20260827-service-pages-v2,公式ページで「すみだホームページ制作所:WEB制作【東京墨田区】 個人事業主・フリーランスのためのホームページ制作 すみだホームページ制作所 サービス内容 料金とプラン 制作所について 制作実績 コラム お」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
東京都渋谷区代々木３丁目３８番１１号,株式会社創和エンタープライズ,B,,会社詳細の問い合わせリンク。公式性は別途確認必須,"[{""url"": ""https://sowa-e.co.jp/"", ""text"": ""株式会社 創和エンタープライズ | 総合広告代理店・ファッション・SNS運用 FREE: 0120-1000-68 SINCE 1978 SHIBUYA 感性を戦略で加速させる。 Philosophy デジタル主導の今だ""}, {""url"": ""https://sowa-e.co.jp/"", ""text"": ""株式会社 創和エンタープライズ | 総合広告代理店・ファッション・SNS運用 FREE: 0120-1000-68 SINCE 1978 SHIBUYA 感性を戦略で加速させる。 Philosophy デジタル主導の今だからこそ、 人と人とのつな""}, {""url"": ""https://sowa-e.co.jp/"", ""text"": ""サルティング スポーツ新聞社 様 マスメディア広告枠の最適化・プロモーション企画 ライフスタイルブランド 様 Instagram運用・クリエイティブ制作・広告配信 求人メディア 様 Webマーケティング戦略立案・アフィリエイト運用 ジュエリーブランド 様 ブランドサイト制作・Webプロデュース・撮影 ""}, {""url"": ""https://sowa-e.co.jp/"", ""text"": ""問い合わせ お問い合わせ項目(必須) 選択してください 広告戦略について ファッションクリエイティブについて SNS運用代行について その他 貴社名 お名前(必須) 電話番号(必須) メールアドレス(必須) お問い合わせ内容(必須) CONFIRM & SEND""}]",https://sowa-e.co.jp/,,ADD_ON_HUB,2026-08-27T15:34:47,,unknown,0120100068,signal_only,,EVIDENCE_CHECKED,200,https://houjin.goo.to/corporations/2011001012832,MEOハブ候補,unknown,https://sowa-e.co.jp/,20260827-service-pages-v2,公式ページで「株式会社 創和エンタープライズ | 総合広告代理店・ファッション・SNS運用 FREE: 0120-1000-68 SINCE 1978 SHIBUYA 感性を戦略で加速させる。 Philosophy デジタル主導の今だ」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,イグナルデザイン,B,https://igunaru-design.com/contact/,,"[{""url"": ""https://igunaru-design.com/"", ""text"": ""仙台のホームページ制作・宮城|イグナルデザイン 内容をスキップ TOP ホームページ制作 料金プラン 制作実績 企業情報 相談 お問合せ TOP ホームページ制作 料金プラン 制作実績 企業情""}, {""url"": ""https://igunaru-design.com/"", ""text"": ""仙台のホームページ制作・宮城|イグナルデザイン 内容をスキップ TOP ホームページ制作 料金プラン 制作実績 企業情報 相談 お問合せ TOP ホームページ制作 料金プラン 制作実績 企業情報 相談 お問合せ 仙台のホームページ制作 ホームページ制作をリー""}, {""url"": ""https://igunaru-design.com/"", ""text"": ""ルデザイン 内容をスキップ TOP ホームページ制作 料金プラン 制作実績 企業情報 相談 お問合せ TOP ホームページ制作 料金プラン 制作実績 企業情報 相談 お問合せ 仙台のホームページ制作 ホームページ制作をリーズナブルに作成します 宮城・仙台でホームページ作成を中心としたイグナルデザ""}, {""url"": ""https://igunaru-design.com/"", ""text"": ""績 企業情報 相談 お問合せ TOP ホームページ制作 料金プラン 制作実績 企業情報 相談 お問合せ 仙台のホームページ制作 ホームページ制作をリーズナブルに作成します 宮城・仙台でホームページ作成を中心としたイグナルデザイン。10年以上の実績による安心のリーズナブルな価格と品質、そしてWEB""}, {""url"": ""https://igunaru-design.com/"", ""text"": "" お問合せ TOP ホームページ制作 料金プラン 制作実績 企業情報 相談 お問合せ 仙台のホームページ制作 ホームページ制作をリーズナブルに作成します 宮城・仙台でホームページ作成を中心としたイグナルデザイン。10年以上の実績による安心のリーズナブルな価格と品質、そしてWEBサイト公開後の効果""}]",https://igunaru-design.com/,,ADD_ON_HUB,2026-08-27T15:34:47,,unknown,,signal_only,,EVIDENCE_CHECKED,,https://homepage-kimete.com/company/%e3%82%a4%e3%82%b0%e3%83%8a%e3%83%ab%e3%83%87%e3%82%b6%e3%82%a4%e3%83%b3/,MEOハブ候補,signal_only,https://igunaru-design.com/,20260827-service-pages-v2,公式ページで「仙台のホームページ制作・宮城|イグナルデザイン 内容をスキップ TOP ホームページ制作 料金プラン 制作実績 企業情報 相談 お問合せ TOP ホームページ制作 料金プラン 制作実績 企業情」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
東京都世田谷区成城９丁目１０番１３号,第七広告株式会社,B,https://7ad.co.jp/contact.html,会社詳細の問い合わせリンク。公式性は別途確認必須,"[{""url"": ""https://7ad.co.jp/"", ""text"": ""と満足を実現します。 実績集 ポスター・チラシ・リーフレット 広報紙 冊子・カタログ ノベルティ 伝票・封筒 WEB制作 ポスター 犯罪お悩み相談 【東京都】都民安全推進本部 ポスター 選手団ホストタウン 【世田谷区】 チラシ がん予防チラシ 【世田谷区】健康推進課 ポスター/チラシ 東京""}, {""url"": ""https://7ad.co.jp/about.html"", ""text"": ""y 1990年 第七広告株式会社 設立 1995年 調布市より世田谷区南烏山へ本店移転 1996年 飲食店向け販促物制作開始 2011年 世田谷区南烏山の自社所有物件へ本店移転 2016年 飲食専門販促物制作部門としてDelicious開始 2018年 業務拡大により世田谷区成城へ本店移転""}, {""url"": ""https://7ad.co.jp/about.html"", ""text"": ""1996年 飲食店向け販促物制作開始 2011年 世田谷区南烏山の自社所有物件へ本店移転 2016年 飲食専門販促物制作部門としてDelicious開始 2018年 業務拡大により世田谷区成城へ本店移転 情報セキュリティ基本方針 第七広告株式会社(以下、当社)における事業活動が顧客との信頼""}]",https://7ad.co.jp/ | https://7ad.co.jp/about.html,,ADD_ON_HUB,2026-08-27T15:34:48,,unknown,,unknown,,EVIDENCE_CHECKED,200,https://houjin.goo.to/corporations/2010901014590,MEOハブ候補,signal_only,https://7ad.co.jp/,20260827-service-pages-v2,公式ページで「と満足を実現します。 実績集 ポスター・チラシ・リーフレット 広報紙 冊子・カタログ ノベルティ 伝票・封筒 WEB制作 ポスター 犯罪お悩み相談 【東京都】都民安全推進本部 ポスター 選手団ホストタウン 【世田谷区】 チラシ がん予防チラシ 【世田谷区】健康推進課 ポ」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
東京都渋谷区代々木１丁目２９−５ＹＫビル５階,株式会社メディアシード,B,https://media-seed.info/contact/,会社詳細の問い合わせリンク。公式性は別途確認必須,"[{""url"": ""https://media-seed.info/"", ""text"": ""EDIA SEED BRANDING Media Seed Inc. 挑戦の種が 芽吹く社会へ 雑誌タイアップ広告の企画・制作・発行支援を通じて、企業と読者の新しい出会いを育てます。 事業案内を見る 掲載情報を見る Scroll services メディアの力で 選ばれる理由をつくる 企画、制作""}, {""url"": ""https://media-seed.info/"", ""text"": ""企画・発行 女性ファッション誌を中心に、媒体特性と読者心理を踏まえた企画を設計します。 branding 媒体広告の企画・制作 店舗や企業の魅力を言語化し、編集タイアップとして伝わる表現へ磨き込みます。 management 広告全般のマネジメント 掲載前後の進行、制作窓口、継続的な露出設計まで""}, {""url"": ""https://media-seed.info/"", ""text"": ""年の設立以来、メディアシードは雑誌媒体と企業・店舗をつなぎ、編集タイアップや広告企画を通じて継続的な顧客獲得のブランディングを支援してきました。 会社案内を見る data of media seed 数字で見る メディアシード 創業から積み重ねてきた媒体企画の知見を、成果につながる提案へ変えていきま""}, {""url"": ""https://media-seed.info/"", ""text"": ""おにぎり・お弁当のキッチンカー「HANABI」を展開しています。 web marketing COLLECT MEO対策、ホームページ保守管理、SEO、サイト制作、Instagram素材制作まで、店舗や企業のWEB活用をまとめて支援します。 サイトを見る kitchen car おにぎり ""}, {""url"": ""https://media-seed.info/"", ""text"": ""弁当のキッチンカー「HANABI」を展開しています。 web marketing COLLECT MEO対策、ホームページ保守管理、SEO、サイト制作、Instagram素材制作まで、店舗や企業のWEB活用をまとめて支援します。 サイトを見る kitchen car おにぎり 花火 HANABI お""}]",https://media-seed.info/,,OVERFLOW_HUB,2026-08-27T15:34:49,,unknown,,signal_only,,EVIDENCE_CHECKED,200,https://houjin.goo.to/corporations/2011001059683,MEOハブ候補,signal_only,https://media-seed.info/,20260827-service-pages-v2,公式ページで「EDIA SEED BRANDING Media Seed Inc. 挑戦の種が 芽吹く社会へ 雑誌タイアップ広告の企画・制作・発行支援を通じて、企業と読者の新しい出会いを育てます。 事業案内を見る 掲載情報を見る Scroll services メディアの力で 選ばれ」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,株式会社アンタイプ,B,https://www.untype.jp/contact/,,"[{""url"": ""https://www.untype.jp/"", ""text"": ""す。クライアントの事業課題を構造化し、AI時代に最適なコミュニケーション戦略を設計・実装するパートナーとして、Webサイト制作・AI対応支援・SEO・アプリ開発・ブランディングを一貫して提供しています。 初回の相談は無料ですか? expand_more はい、初回のご相談は無料です。お問い合わせ""}, {""url"": ""https://www.untype.jp/about/company/"", ""text"": ""竹ビル6F 勤務形態 フルリモートワーク 事業内容 AIコミュニケーションデザイン事業 (AI統合・活用支援、Web制作、SEO/アクセス解析、アプリ開発、ブランディング) History これまでの歩み 2007 株式会社アンタイプ設立。Web制作事業を開始 2019 南青山オフィスへ移""}, {""url"": ""https://www.untype.jp/about/company/"", ""text"": ""アクセス解析、アプリ開発、ブランディング) History これまでの歩み 2007 株式会社アンタイプ設立。Web制作事業を開始 2019 南青山オフィスへ移転 2024 フルリモート体制にて業務を開始 2026 AI統合・活用支援サービス本格開始。サイトリニューアル 私たちと一緒に、次""}, {""url"": ""https://www.untype.jp/about/company/"", ""text"": ""xpand_more 2007年に設立し、以来19年にわたってコミュニケーションデザイン事業を展開しています。Webサイト制作を起点に、現在はAI時代のコミュニケーション戦略設計まで支援領域を拡大しています。""}, {""url"": ""https://www.untype.jp/services/"", ""text"": ""bデザイン & 開発 ブランドの個性を最大限に引き出すデザインと、高速かつ堅牢な実装を両立。ユーザーの心に響くWebサイトを構築します。 詳しく見る arrow_right_alt SEO & アクセス解析 データに基づいた現状分析と改善施策の実行。検索エンジンでの可視性を高め、持続的な成長戦略を""}]",https://www.untype.jp/ | https://www.untype.jp/about/company/ | https://www.untype.jp/services/,,ADD_ON_HUB,2026-08-27T15:34:50,,unknown,,signal_only,,EVIDENCE_CHECKED,,https://homepage-kimete.com/company/untype/,MEOハブ候補,unknown,https://www.untype.jp/,20260827-service-pages-v2,公式ページで「す。クライアントの事業課題を構造化し、AI時代に最適なコミュニケーション戦略を設計・実装するパートナーとして、Webサイト制作・AI対応支援・SEO・アプリ開発・ブランディングを一貫して提供しています。 初回の相談は無料ですか? expand_more はい、初回のご相」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
