address,company_name,confidence,contact_url,discovery_note,evidence_detail,evidence_urls,generic_email,hub_type,last_verified_at,maps_url,margin_fit,phone,recurring_relationship,reject_reason,review_status,source_http_status,source_url,status,store_client_access,url,verification_version,why_fit
,(株)講談社,,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://ad.kodansha.net,,
,(株)講談社BECK,,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://www.kodansha-bc.com,,
,(株)インプレスホールディングス,B,https://www.impressholdings.com/contact/,,"[{""url"": ""https://www.impressholdings.com/"", ""text"": ""を発信しています。 S o l u t i o n 国内外における企業・自治体等と連携し、 SP・PRツール、Webサイト制作を通した ソリューションを提供します。 P l a t f o r m EC、電子コミック、出版流通における プラットフォーム等の企画開発・ 流通販売機能を提供します。 ""}]",https://www.impressholdings.com/,,ADD_ON_HUB,2026-08-27T15:17:01,,unknown,,unknown,,EVIDENCE_CHECKED,,,MEOハブ候補,unknown,https://www.impressholdings.com/,,公式ページで「を発信しています。 S o l u t i o n 国内外における企業・自治体等と連携し、 SP・PRツール、Webサイト制作を通した ソリューションを提供します。 P l a t f o r m EC、電子コミック、出版流通における プラットフォーム等の企画開発・ 流」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,(株)ゴルフダイジェスト社 ビジネスプロデュース部,,,,[],,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,http://www.golfdigest.co.jp/digest,,
,(株)主婦と生活社,,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://www.shufu.co.jp,,
,新美容出版(株),,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://www.shinbiyo.com,,
,(株)小学館メディアプロモーション,B,https://shogakukan-mp.co.jp/contact/,,"[{""url"": ""https://shogakukan-mp.co.jp/"", ""text"": ""学館 関係会社 MERY SNSメディア・コミュニティ・MERY \t\t\t\t\t\t\t\t\t\tZ世代研究所の運営に加えSNS運用・インフルエンサーアサイン・イベント企画設計など\""Z世代\""にフォーカスした効果的なブランドコミュニケーション及びプロモーションの立案から実行までをワンストップで提供。 V""}, {""url"": ""https://shogakukan-mp.co.jp/#works"", ""text"": ""学館 関係会社 MERY SNSメディア・コミュニティ・MERY \t\t\t\t\t\t\t\t\t\tZ世代研究所の運営に加えSNS運用・インフルエンサーアサイン・イベント企画設計など\""Z世代\""にフォーカスした効果的なブランドコミュニケーション及びプロモーションの立案から実行までをワンストップで提供。 V""}]",https://shogakukan-mp.co.jp/ | https://shogakukan-mp.co.jp/#works,,ADD_ON_HUB,2026-08-27T15:17:06,,unknown,,unknown,,EVIDENCE_CHECKED,,,MEOハブ候補,signal_only,https://shogakukan-mp.co.jp/,,"公式ページで「学館 関係会社 MERY SNSメディア・コミュニティ・MERY 										Z世代研究所の運営に加えSNS運用・インフルエンサーアサイン・イベント企画設計など""Z世代""にフォーカスした効果的なブランドコミュニケーション及びプロモーションの立案から実行までをワン」を確認。MEOの追加提案候補（外注意向・採算は未確認）。"
,(株)PHP研究所 東京本部,,,,[],,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://www.php.co.jp,,
,リンクタイズ(株),,,,[],,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://oceans.tokyo.jp,,
,(株)東京アドバタイジング,,,,[],,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://www.to-ad.co.jp,,
,(株)廣洋社,B,,,"[{""url"": ""https://www.kys-net.co.jp/brandbusiness/index.html"", ""text"": "" オーガニックデジタルマーケティング AIO、SEO、MEO、Google Business Profile SNSアカウント運用(AI×データテック) 指名検索向上施策 / サーチエンジンブランディング 風評被害対策 UGC対策(SNS、ユーザー評価、レビュー対策) ブランドリフトファクト キャス""}, {""url"": ""https://www.kys-net.co.jp/brandbusiness/index.html"", ""text"": ""P UP、SNS) 短期ROI貢献について詳しく見る 持続型集客基盤作り オーガニックデジタルマーケティング SNSアカウント運用(AI×データテック) 指名検索向上施策/サーチエンジンブランディング 風評被害対策 UGC対策 ブランドリフトファクト キャスティング WEB、リアル 各種製作 サステ""}]",https://www.kys-net.co.jp/brandbusiness/index.html,info@kys-net.co.jp,OVERFLOW_HUB,2026-08-27T15:17:13,,unknown,,signal_only,,EVIDENCE_CHECKED,,,MEOハブ候補,signal_only,https://www.kys-net.co.jp/,,公式ページで「 オーガニックデジタルマーケティング AIO、SEO、MEO、Google Business Profile SNSアカウント運用(AI×データテック) 指名検索向上施策 / サーチエンジンブランディング 風評被害対策 UGC対策(SNS、ユーザー評価、レビュー対策) 」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
,(株)ピー・アール・シー,,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://prcad.co.jp,,
,JAA広告賞バナー JAA広告賞バナー,,,,[],,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://www.jaa.or.jp/contest/adaward,,
,新聞広告データアーカイブバナー 新聞広告データアーカイブバナー,,,,[],,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://www.pressnet.or.jp/adarc,,
,おもしろ広いぞ、広告業界。,,,,[],,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,https://www.advertimes.com/special/koukokunomirai,,
,(株)パーティー,,,,[],,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,http://prty.jp,,
,(株)NTTドコモ,,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.nttdocomo.co.jp,,
,Omnicom Production Japan(株),,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://www.egplusww.jp,,
,江崎グリコ(株),,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.glico.co.jp,,
,(株)アール・ジーエー東京,,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,https://rga.co.jp,,
,花王(株),,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.kao.co.jp,,
,キリンビバレッジ(株),,,,[],,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,http://www.beverage.co.jp,,
,サントリーホールディングス(株),,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.suntory.co.jp,,
,大正製薬(株),,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.taisho.co.jp,,
,サンスター(株),,,,[],,,,,,,,,公式ページ本文と社名の一致を確認できない,RECHECK,,,,,http://www.sunstar.com,,
,セイコーウオッチ(株),,,,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,,,,http://www.seiko-watch.co.jp,,
,株式会社デジタルホールディングス,,,名簿ロゴ画像の配信元。公式性は別途確認必須,,,,,,,,,,公式サイト取得不能または別ドメインへ移動,RECHECK,,https://houjin.goo.to/corporations/4010001102162,,,https://digital-holdings.co.jp,,
