company_name,url,address,phone,categories
"（有）アイ・サポート","","静岡県掛川市横須賀721-108","","コンサルタント/マーケティング、DM/印刷関係"
"（株）アイジャスト","http://www.ijust.jp","東京都千代田区紀尾井町3-12紀尾井町ﾋﾞﾙ8階","","広告代理業・カタログ製作、DM/印刷関係、物流倉庫/配送会社/置き配、商品企画"
"（株）朝日広告社","http://www.asakonet.co.jp/","東京都中央区銀座7-16-12","","集客/分析/SEO/データフィード/CRM/広告・SNS運用、広告代理業・カタログ製作"
"（株）アテナ","http://www.atena.co.jp/","東京都江戸川区臨海町5-2-2","","DM/印刷関係、物流倉庫/配送会社/置き配、広告代理業・カタログ製作、AI/チャットボット/WEB接客/問い合わせ一元管理、コールセンター"
"（株）アド・ダイセン","http://www.ad-daisen.co.jp/","大阪府大阪市西区阿波座1-3-15関電不動産西本町ビル7Ｆ","","広告代理業・カタログ製作、DM/印刷関係、印刷関連/梱包/パッケージ/用紙、コールセンター、AI/チャットボット/WEB接客/問い合わせ一元管理、コンサルタント/マーケティング"
"アライドアーキテクツ（株）","http://www.aainc.co.jp/","東京都渋谷区恵比寿1-19-15ｳﾉｻﾜ東急ﾋﾞﾙ4F","","広告代理業・カタログ製作、集客/分析/SEO/データフィード/CRM/広告・SNS運用、コンサルタント/マーケティング"
"（株）ｅｃｂｅｉｎｇ","https://www.ecbeing.net/","東京都渋谷区渋谷2-15-1渋谷クロスタワー","","システム関連/一元管理/セキュリティ、サイト制作/カート/ASP/アプリ、クラウドソーシング/効率化・自動化ツール/ツール連携、コンサルタント/マーケティング、AI/チャットボット/WEB接客/問い合わせ一元管理、集客/分析/SEO/データフィード/CRM/広告・SNS運用、UGC/動画コマース"
"ｅＢａｙ　Ｊａｐａｎ（同）","https://www.qoo10.jp/gmkt.inc/Company/AboutCompany.aspx","108-0075 東京都港区元赤坂1丁目3-13赤坂センタービルディング13階","050-5840-9100","商品企画、市場/企業調査/メディア・情報収集、コンサルタント/マーケティング、システム関連/一元管理/セキュリティ、サイト制作/カート/ASP/アプリ、決済サービス/回収代行/提携クレジット、広告代理業・カタログ製作、集客/分析/SEO/データフィード/CRM/広告・SNS運用、UGC/動画コマース、AI/チャットボット/WEB接客/問い合わせ一元管理、コールセンター、在庫管理/返品対応、物流倉庫/配送会社/置き配"
"（株）インターファクトリー","https://www.interfactory.co.jp/","東京都千代田区富士見2丁目10番2号飯田橋ｸﾞﾗﾝ・ﾌﾞﾙｰﾑ4階","","サイト制作/カート/ASP/アプリ、システム関連/一元管理/セキュリティ、集客/分析/SEO/データフィード/CRM/広告・SNS運用"
"（株）ＡＤＫダイレクト","https://www.adk-direct.jp/","105-6312 東京都港区虎ノ門1-23-1虎ノ門ヒルズ森タワー12階","","集客/分析/SEO/データフィード/CRM/広告・SNS運用、コンサルタント/マーケティング"
