company_name,url,address,phone,maps_url
株式会社データプロリンクス,https://dataprolinx.co.jp/,徳島県徳島市城南町3丁目1-22,, 
株式会社AND,https://and-support.com/,徳島県徳島市万代町5丁目71番地 中央システム倉庫2F,088-652-3009,
株式会社Web Blending,https://www.web-blending.com/,香川県高松市東山崎町183-1,087-897-2841,
株式会社イープレス,https://www.e-press.co.jp/,愛媛県松山市,, 
セキ株式会社,https://www.seki.co.jp/,愛媛県松山市湊町7丁目7番地1,, 
株式会社カンマン,https://www.comman.co.jp/,徳島県徳島市中昭和町2丁目39番地5,088-611-2333,
株式会社シップス,https://www.shipss.jp/,愛媛県松山市朝生田6丁目3-28 2F,089-907-3690,
株式会社プロジエ,https://559.co.jp/,高知県高知市,, 
BLOOM WORKS株式会社,https://bloom-works.co.jp/,愛媛県松山市,, 
株式会社プラーナ,https://prana-kochi.com/,高知県高知市高須新木6番47-1,088-821-9671,
OpenDesign,https://open-design.jp/,愛媛県松山市堀江町1769-7,089-979-8475,
株式会社ヘルツ,https://www.hertz.ne.jp/,香川県高松市亀井町8-11 B-Z高松プライムビル4F,087-887-0160,
株式会社ゴーフィールド,https://www.gofield.com/,香川県高松市川島東町293-5,087-840-3611,
株式会社よんでんメディアワークス,https://www.ymw.co.jp/,香川県高松市,, 
株式会社ビザビ四国支社,https://www.vis-a-vis.co.jp/,香川県高松市,, 
