company_name,url,address,phone,maps_url,reason
株式会社データプロリンクス,https://dataprolinx.co.jp/,徳島県徳島市城南町3丁目1-22,, ,existing_domain
株式会社AND,https://and-support.com/,徳島県徳島市万代町5丁目71番地 中央システム倉庫2F,088-652-3009,,existing_domain
株式会社Web Blending,https://www.web-blending.com/,香川県高松市東山崎町183-1,087-897-2841,,existing_domain
株式会社イープレス,https://www.e-press.co.jp/,愛媛県松山市,, ,existing_name
株式会社カンマン,https://www.comman.co.jp/,徳島県徳島市中昭和町2丁目39番地5,088-611-2333,,existing_domain
株式会社シップス,https://www.shipss.jp/,愛媛県松山市朝生田6丁目3-28 2F,089-907-3690,,existing_domain
株式会社プロジエ,https://559.co.jp/,高知県高知市,, ,existing_domain
BLOOM WORKS株式会社,https://bloom-works.co.jp/,愛媛県松山市,, ,existing_domain
OpenDesign,https://open-design.jp/,愛媛県松山市堀江町1769-7,089-979-8475,,existing_domain
株式会社ゴーフィールド,https://www.gofield.com/,香川県高松市川島東町293-5,087-840-3611,,existing_domain
株式会社よんでんメディアワークス,https://www.ymw.co.jp/,香川県高松市,, ,existing_domain
