"行"	"業種判定"
"101"	"web_production"
"102"	"hybrid"
"103"	"hybrid"
"104"	"hybrid"
"105"	"hybrid"
"106"	"web_production"
"107"	"hybrid"
"108"	"hybrid"
"109"	"web_production"
"110"	"業種違い"
"111"	"hybrid"
"112"	"hybrid"
"113"	"web_marketing"
"114"	"業種違い"
"115"	"hybrid"
"116"	"hybrid"
"117"	"hybrid"
"118"	"web_marketing"
"119"	"web_production"
"120"	"web_production"
"121"	"hybrid"
"122"	"hybrid"
"123"	"業種違い"
"124"	"hybrid"
"125"	"hybrid"
"126"	"web_production"
"127"	"hybrid"
"128"	"業種違い"
"129"	"web_marketing"
"130"	"hybrid"
"131"	"業種違い"
"132"	"業種違い"
"133"	"hybrid"
"134"	"hybrid"
"135"	"業種違い"
"136"	"hybrid"
"137"	"hybrid"
"138"	"web_marketing"
"139"	"hybrid"
"140"	"hybrid"
"141"	"web_production"
"142"	"hybrid"
"143"	"web_marketing"
"144"	"web_production"
"145"	"hybrid"
"146"	"hybrid"
"147"	"web_production"
"148"	"hybrid"
"149"	"web_production"
"150"	"hybrid"
"151"	"hybrid"
"152"	"hybrid"
"153"	"hybrid"
"154"	"hybrid"
"155"	"hybrid"
"156"	"hybrid"
"157"	"web_marketing"
"158"	"業種違い"
"159"	"hybrid"
"160"	"web_production"
"161"	"web_production"
"162"	"hybrid"
"163"	"hybrid"
"164"	"hybrid"
"165"	"業種違い"
"166"	"hybrid"
"167"	"hybrid"
"168"	"業種違い"
"169"	"hybrid"
"170"	"hybrid"
"171"	"hybrid"
"172"	"hybrid"
"173"	"web_marketing"
"174"	"業種違い"
"175"	"hybrid"
"176"	"hybrid"
"177"	"web_production"
"178"	"web_production"
"179"	"web_production"
"180"	"業種違い"
"181"	"業種違い"
"182"	"hybrid"
"183"	"hybrid"
"184"	"hybrid"
"185"	"hybrid"
"186"	"web_production"
"187"	"hybrid"
"188"	"web_marketing"
"189"	"web_production"
"190"	"web_production"
"191"	"hybrid"
"192"	"web_production"
"193"	"hybrid"
"194"	"web_production"
"195"	"hybrid"
"196"	"web_production"
"197"	"hybrid"
"198"	"hybrid"
"199"	"hybrid"
"200"	"hybrid"
