№	エリア	企業名	代表者名	URL	問い合わせフォームURL	送信日	送信○×	送信不可理由						
1	東京都	株式会社HARAHARA	北原大輝	https://harahara-inc.com/	https://harahara-inc.com/contact		△	ページ変化あり（要手動確認）						web_marketing
2	東京都	株式会社ファクタードホールディングス	山口慎一郎	https://factord.co.jp/	https://factord.co.jp/form/	2025/12/01	×	送信エラー						web_marketing
3	東京都	株式会社がんばる	藤原花梨	https://gan-baru.com/	https://gan-baru.com/#contact	2025/12/01	×	業種違い						業種違い
4	東京都	株式会社APEX MARKETING	石川 和磨	https://apexmarketing.jp/	https://apexmarketing.jp/contactPHP/contact.php	2025/12/01	×	業種違い						業種違い
5	東京都	コムズ株式会社	櫛田 真吾	http://www.comb-s.jp/	http://www.comb-s.jp/contact/	2025/12/01	×	送信エラー						web_marketing
6	東京都	株式会社エバーグリーンクリエイター	河野 拓朗	https://evergreen-creator.com/	https://evergreen-creator.com/contact/		×	バリデーションエラー: エラーが発生						web_marketing
7	東京都	株式会社ROGYX	ご担当者	https://www.rogyx.co.jp/	https://www.rogyx.co.jp/contact		×	バリデーションエラー: 入力してください						web_marketing
8	東京都	株式会社ripples	清水 明義	https://ripples-inc.com/	https://ripples-inc.com/contact/	2026/05/05	〇							web_marketing
9	東京都	株式会社OS工芸社	落岩正泰	https://www.os-art.com/	https://www.os-art.com/contact/		×	用途限定: 採用に関する						web_production
10	東京都	ボールドライト株式会社	宮本 章弘	https://boldright.co.jp/	https://boldright.co.jp/contact/		未	送信結果判定不能（要手動確認）						web_production
11	東京都	株式会社ネギア	上竹博之	https://www.negia.co.jp/	https://www.negia.co.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/	2025/12/01	×	業種違い						業種違い
12	東京都	IINA株式会社	山本 篤治	https://ii-na.jp/	https://ii-na.jp/contact.html		×	営業お断り: ご遠慮ください						web_marketing
13	東京都	オールイン株式会社	前田優一	https://allhero.co.jp/	https://allhero.co.jp/contact/	2025/12/01	×	業種違い						業種違い
14	東京都	株式会社ナインメディア	朝倉 啓友	https://9media.co.jp/	https://9media.co.jp/contact/	2025/12/01	×	業種違い						業種違い
15	東京都	株式会社ＳＡＦＥＬＹ	ご担当者	https://corp.safely.co.jp/	https://corp.safely.co.jp/contact/	2026/05/05	〇							web_marketing
