№	エリア	企業名	代表者名	URL	問い合わせフォームURL	送信日	送信○×	送信不可理由
1	大阪府	株式会社源	孫源海	https://minamotojp.com/	https://minamotojp.com/#ly	2025/12/22	⚪︎	
2	大阪府	株式会社GreenHill	吉光 淳・梅本 健吾	https://g-hill.jp/	https://g-hill.jp/contact/	2025/12/22	⚪︎	
3	大阪府	株式会社リヴァイト	安国 由樹	https://re-vite.com/	https://re-vite.com/contact/	2025/12/22	×	文字数制限
4	大阪府	Apsell株式会社	ご担当者	https://apsell.jp/	https://apsell.jp/pages/contact	2025/12/22	⚪︎	
5	大阪府	ストレンジブレイン株式会社	岡田 大誠	https://strange-brain.co.jp/	https://strange-brain.co.jp/contact/	2025/12/22	⚪︎	
6	大阪府	株式会社メガホン	森 政敏	https://megafoon.co.jp/	https://megafoon.co.jp/contact/	2025/12/22	⚪︎	
7	大阪府	RounDesign	武田慎也	https://roundesign2021.com/	https://roundesign2021.com/contact	2025/12/22	⚪︎	
8	大阪府	株式会社ウエンズ	ご担当者	https://wednes-web.com/	https://wednes-web.com/contact/	2025/12/22	⚪︎	
9	大阪府	株式会社FEAT.	山岡 滉太郎	https://feat-co.ltd/	https://feat-co.ltd/contact/	2025/12/22	⚪︎	
10	大阪府	株式会社NORM	水野 なつみ	https://norm.co.jp/	https://norm.co.jp/	2025/12/22	⚪︎	
11	大阪府	合同会社Uzu	吉成 直樹	https://uzuinc.jp/	https://uzuinc.jp/contact/	2025/12/22	⚪︎	
12	大阪府	株式会社NOVEL	青戸勇貴・裵東儁	https://novel-group.co.jp/	https://novel-group.co.jp/contact/	2025/12/22	⚪︎	
13	大阪府	メイクイットプロジェクト	白波瀬 博文	https://makeit-p.com/	https://makeit-p.com/	2025/12/22	⚪︎	
14	大阪府	株式会社ZIPANGUworks	谷井 大地	https://www.zipanguworks.com/	https://www.zipanguworks.com/contact/	2025/12/22	⚪︎	
15	大阪府	ブレーメン株式会社	野口一仁・吹上開人	https://bre-men.jp/	https://bre-men.jp/contact/partnership/	2025/12/22	⚪︎	
16	大阪府	マカレル株式会社	服部生実	https://mackarel.jp/	https://mackarel.jp/	2025/12/22	⚪︎	
17	大阪府	株式会社gini	倉 将槙	https://gini.co.jp/	https://gini.co.jp/inqury	2025/12/22	⚪︎	
18	大阪府	株式会社アークス	平井 健太	https://arcuss-creation.com/	https://arcuss-creation.com/contact/	2025/12/22	⚪︎	
19	大阪府	株式会社ARUTEGA	平尾 誠	https://arutega.jp/	https://arutega.jp/contact/	2025/12/22	⚪︎	
20	大阪府	株式会社アドイディアル	青松 俊輝	https://a-dd-i-deal.com/	https://a-dd-i-deal.com/contact/	2025/12/22	⚪︎	
21	大阪府	株式会社BlurBra	平川 健史	https://blurbra.jp/	https://blurbra.jp/contact	2025/12/22	⚪︎	
22	大阪府	アカネ・テクノロジーズ株式会社	木嶋 凜太郎	https://akane-technologies.com/	https://akane-technologies.com/contact	2025/12/22	⚪︎	
