№	エリア	企業名	代表者名	URL	問い合わせフォームURL	送信日	送信○×	送信不可理由
1	愛媛県	株式会社クロスコミュニケーションズ	山口 智忠	https://crocomi.co.jp/portfolio/	https://crocomi.co.jp/contact			
2	愛媛県	CREATE STUDIO MATSUMOTO	松本大輝	https://diki-japan.com/	https://diki-japan.com/contact		×	ご遠慮ください
3	愛媛県	株式会社ナナサン	仙波 秀喜	https://nanasaninc.com/works/	https://nanasaninc.com/request/			
4	愛媛県	株式会社ラフスタイル	平岡 広章	https://laughstyle.net/works/	https://laughstyle.net/contact/			
5	愛媛県	株式会社BLOOM WORKS	北松 知美	https://bloom-works.co.jp/works/	https://bloom-works.co.jp/contact			
6	愛媛県	株式会社Weathercock	大野 淳	https://weathercock-web.com/category/creator	https://weathercock-web.com/otoiawase			
7	愛媛県	トエビス株式会社	富田 佳成	http://www.toebisu.jp/	https://www.toebisu.jp/contact			
8	愛媛県	合同会社decico	松本直樹	https://decico.net/	https://decico.net/contact/			
9	愛媛県	アウトライン	木戸　啓悟	https://outline-design.jp/				
10	愛媛県	株式会社illustrious	永木 貴幸	https://www.illustrious.co.jp/	https://illustrious.co.jp/contact/		×	営業・セールス
11	愛媛県	ハイグレードデザイン	嶋添 竜一	https://high-grade-design.com/	https://high-grade-design.com/contact			
12	愛媛県	株式会社アイムービック	森本 健一郎	https://www.eyemovic.com	https://www.eyemovic.com/contact/			
13	愛媛県	株式会社エス・ピー・シー	岡田 克志	https://www.kk-spc.co.jp/				
14	愛媛県	オープンデザイン株式会社	吉村 拓也	http://open-design.jp/portfolio/	https://open-design.jp/contact/			
15	愛媛県	有限会社エムジーエム	松尾 恵介	https://www.mgm-design.jp/web-works				
16	愛媛県	佐川印刷株式会社	佐川 正純	https://webehime.sakawa.jp/#cc-m-11411968374	https://www.sakawa.co.jp/site/		×	ご遠慮ください
17	愛媛県	福泉株式会社	福泉 秀人	https://www.netcrew.co.jp/site/portfolio/	https://www.netcrew.co.jp/ques/questionnaire.php?openid=2			
