company_name,url,address,phone,maps_url,status
（株）I-PRO,http://www.i-pro.gs,〒060-0001 札幌市中央区北1条西9丁目3-27 第3古久根ビル6F,011-232-1818,,
株式会社ADKマーケティング・ソリューションズ,https://www.adk.jp,〒060-0807 札幌市北区北7条西2丁目8-1 札幌北ビル4F,011-746-1311,,
株式会社朝日サービス,https://asahiservice-sapporo.com/,〒060-0001 札幌市中央区北1条西1丁目6番地 さっぽろ創世スクエア9F,011-231-1237,,
株式会社アド・ビューロー岩泉,http://www.iwaizumi.co.jp/,〒060-0808 札幌市北区北7条西4丁目4-1 第5北海道通信ビル3F,011-727-6001,,
（株）インサイト,http://www.ppi.jp,〒060-0808 札幌市北区北8条西1丁目3番地 さつきた8・1 2F,011-501-0015,,
株式会社えんれいしゃ,http://www.enleysha.co.jp,〒060-0001 札幌市中央区北1条西2丁目1番地 札幌時計台ビル9F,011-223-6626,,
（株）オリコム札幌支社,http://www.oricom.co.jp,〒060-0001 札幌市中央区北1条西3丁目3-33 リープロビル,011-221-5686,,
（株）北日本広告社,http://www.ad-kitanihon.co.jp,〒060-0001 札幌市中央区北1条西13丁目4番地,011-241-2314,,
（株）京橋エイジェンシー 札幌支社,http://www.kyobashi-ag.co.jp,〒060-0062 札幌市中央区南2条西6丁目 トシックス26ビル,011-271-5671,,
（株）近宣札幌支社,http://www.kinsen.co.jp/,〒060-0042 札幌市中央区大通西6丁目2-6 大樹生命札幌大通ビル,011-221-1731,,
廣告社株式会社,http://www.kokokusha.co.jp/,〒060-0005 札幌市中央区北5条西6丁目 札幌セン夕一ビル,011-271-4571,,
（株）弘報案内広告社,http://www.koho-an.com,〒060-0042 札幌市中央区大通西14丁目 北日本南大通ビル5F,011-231-7777,,
（株）サン広告社,http://www.3ad.co.jp/,〒060-0042 札幌市中央区南1条西11丁目1番地 コンチネンタルビル5階,011-242-5777,,
株式会社サンライズ社,http://www.snr.co.jp,〒060-0002 札幌市中央区北2条西3丁目 太陽生命ひまわり札幌ビル4F,011-241-6051,,
（株）新生,http://www.shinsei.com,〒060-0042 札幌市中央区大通西9丁目1-1 大通公園ビル7F,011-221-1141,,
株式会社創文,http://www.soubunn.co.jp,〒161-0061 札幌市中央区南１条西４丁目13番地 日之出ビル7Ｆ,011-200-8611,,
（株）DG コミュニケーションズ 北海道営業部,http://www.dg-c.co.jp,〒060-0001 札幌市中央区北4条東1丁目2-3 札幌フコク生命ビル3F,011-221-6881,,
（株）電通北海道,http://www.dentsu-hokkaido.jp/,〒060-8545 札幌市中央区大通西5丁目11-1,011-214-5111,,
株式会社東急エージェンシー,http://www.tokyu-agc.co.jp/,〒060-0003 札幌市中央区北3条西2丁目 NX札幌ビル10F,011-231-5841,,
株式会社道新サービスセンター,https://www.doshin-sc.jp/,〒060-0042 札幌市中央区大通西18丁目1番30号 道新西ビル,011-614-3942,,
（株）日本経済社 札幌支社,http://www.nks.co.jp,〒060-0001 札幌市中央区北1条西3丁目3 札幌MNビル,011-231-0541,,
（株）ノヴェロ,http://www.novello.co.jp,〒060-0052 札幌市中央区南2条東3丁目,011-281-6631,,
株式会社バリオン,http://varione.co.jp/,〒060-0051 札幌市中央区南1条東1丁目2-1 太平洋興発ビル5F,011-261-8100,,
株式会社ピーアールセンター,http://www.prc.ne.jp,〒060-0001 札幌市中央区北1条西8丁目 ピ一ア一ルセン夕一ビル,011-222-5555,,
株式会社北海道朝日広告社,http://www.h-asako.com,〒060-0003 札幌市中央区北3条西2丁目12-1 STV北3条ビル,011-231-3131,,
