"company_name","url","address","phone","maps_url","status"
"株式会社アイ・エス・エス","http://www.issjp.com/","〒107-6032 東京都港区赤坂1-12-32","03-6369-9991","",""
"株式会社アカネクリエーション","http://www.akane-ad.co.jp/","〒900-0004 沖縄県那覇市銘苅1-19-29 アカネビル","098-862-8280","",""
"株式会社アース・ワン・オフィス","https://earth1.co.jp/","〒160-0022 東京都新宿区新宿 2-5-10 アーバンセンター新宿 5F","03-5360-4334","",""
"株式会社イベントサービス","http://www.event-service.co.jp/","〒070-8002 北海道旭川市神楽2条6丁目3番13号","0166-60-1322","",""
"株式会社イベントサービス","https://eventservices.co.jp/","〒135-0053 東京都江東区辰巳3-19-14","03-3522-7511","",""
"株式会社インターグループ","https://www.intergroup.co.jp/","〒 107-0052 東京都港区赤坂三丁目３－３ 住友生命赤坂ビル6階","03-5549-6901","",""
"International Conference Services Pte. Ltd","https://www.icsevents.com/japan/","〒105-0013 東京都港区浜松町2-5-3 リブポート浜松町","050-1790-2068","",""
"有限会社ヴェント","https://www.vento.co.jp/","〒101-0032 東京都千代田区岩本町三丁目2番1号 ビリーフ岩本町901号室","03-5825-4449","",""
"株式会社沖縄コングレ","http://www.okinawa-congre.co.jp/","〒900-0015 沖縄県那覇市久茂地3-1-1 日本生命那覇ビル","098-869-4220","",""
"関西ビジネスインフォメーション株式会社","https://www.kbinfo.co.jp/","〒530-0005 大阪市北区中之島3-2-18","","",""
"株式会社キョードープラス","https://www.kwcs.jp/kyodo/","〒700-0976 岡山市北区辰巳20-110","086-250-7681","",""
"株式会社グローバルプロデュース","http://www.global-produce.jp/","〒150-0001 東京都渋谷区神宮前5-52-2 青山オーバルビル13階","03-5738-2117","",""
"株式会社コンベックス","http://www.convex.co.jp/","〒106-0041 東京都港区麻布台1-11-9","03-3505-3355","",""
"株式会社サンプラネット","https://www.sunplanet.co.jp/","〒112-0012 東京都文京区大塚3-5-10 住友成泉小石川ビル8階","0100-0107-3518","",""
"株式会社CAI","http://www.cai-ideas.biz/","〒111-0051 東京都台東区蔵前3丁目15-7蔵前酒井ビル1F・B1F","03-5835-5670","",""
"株式会社シグマコミュニケーションズ","https://www.sigma-com.co.jp/","〒141-0032 東京都品川区大崎4-1-2","03-4531-6571","",""
"株式会社スパイダー","https://sp-idea.co.jp/","〒135-0062 東京都江東区東雲2-9-12 AVCスクウェア 3F","03-3527-5227","",""
"株式会社セレスポ","https://www.cerespo.co.jp/","〒170-0004 東京都豊島区北大塚1-21-5 <br><a href=""tel:0359741111"">","","",""
"株式会社セントラルコンベンションサービス","http://www.ccs-net.co.jp/","〒460-0008 名古屋市中区栄三丁目19番28号","052-269-3181","",""
"TSP太陽株式会社","http://www.tsp-taiyo.co.jp","〒153-0043 東京都目黒区東山1-17-16","03-3719-3721","",""
"株式会社DMC沖縄","http://www.dmc-okinawa.co.jp/","〒902-0071 沖縄県那覇市繁多川3-7-1","098-943-6642","",""
"株式会社テレビ大阪エクスプロ","https://www.tvoe.co.jp/expro/","〒540-0008 大阪市中央区大手前1-1-7","06-6944-9914","",""
"東武トップツアーズ株式会社","http://www.tobutoptours.co.jp/","〒131-0045 東京都墨田区押上一丁目1番2号 東京スカイツリーイーストタワー","050-9001-6580","",""
"日本コンベンションサービス株式会社","http://www.convention.co.jp/","〒100-0013 東京都千代田区霞が関1-4-2","","",""
"株式会社バイリンガル・グループ","http://www.bilingualgroup.co.jp/","〒162-0055 東京都新宿区余丁町11-1 枝ビル2F","03-5315-0451","",""
"株式会社PCO","http://www.pcojapan.jp/","〒930-0004 富山県富山市桜橋通り2-25","076-471-0744","",""
"株式会社ピーシーオーワークス","http://www.pcoworks.jp/","〒101-0048 東京都千代田区神田司町2-4-2 神田アーバンビル2階","03-3291-3636","",""
"株式会社プランドゥ・ジャパン","http://www.plando.co.jp/","〒105-0012 東京都港区芝大門2-3-6大門アーバニスト401","03-5470-4401","",""
"株式会社ホットスケープ","http://www.hotscape.co.jp/","〒105-0001 東京都港区虎ノ門3-7-7 虎ノ門八束ビル5F","03-6205-7197","",""
"株式会社マッシュ","http://mash-japan.com","〒531-0072 大阪市北区豊崎5-6-10 商業ビル7F","06-6377-1230","",""
"株式会社ムラヤマ","http://www.murayama.co.jp/","〒135-0061 東京都江東区豊洲 3-2-24 豊洲フォレシア","03-6221-0808","",""
"株式会社メディプロデュース","http://www.mediproduce.com/","〒150-6090 東京都渋谷区恵比寿4-20-4 恵比寿ガーデンプレイス","","",""
