"company_name","url","address","phone","maps_url","status"
"株式会社 アイデム","https://www.aidem.co.jp/","〒160-0022 東京都新宿区新宿1-4-10","03-5269-8711","",""
"株式会社 アマナ","https://amana.jp/","108-0022 東京都港区海岸3-9-18","03-6774-7639","",""
"アンドブライト株式会社","https://andbright.co.jp/","〒104-0061 東京都中央区銀座7丁目13番6号 サガミビル2階","03-5050-2685","",""
"株式会社 unerry","https://www.unerry.co.jp/","〒105-6901 東京都港区虎ノ門 4-1-1 神谷町トラストタワー","","",""
"SMN株式会社","https://www.so-netmedia.jp/","〒141-0032 東京都品川区大崎2丁目11番1号 大崎ウィズタワー12階","","",""
"株式会社 NTTアド","https://www.ntt-ad.co.jp/","〒100-0004 東京都千代田区大手町1-5-1 大手町ファーストスクエアイーストタワー","","",""
"えびふらいレコーズ株式会社","https://ebifly-records.co.jp","〒540-0033 大阪府大阪市中央区石町２丁目２−２０ CHIKAMATSUBILD 3階西","090-1021-0124","",""
"株式会社 allview","https://allview.jp/","〒164-0014 東京都中野区南台2-13","","",""
"株式会社 ContentAge","https://contentage.co.jp/","〒150-0013 東京都渋谷区恵比寿1-19-15 ウノサワ東急ビル3階","","",""
"株式会社 CyberZ","https://cyber-z.co.jp/","〒150-6121 東京都渋谷区渋谷2丁目24番12号","","",""
"株式会社 ジーニー","https://geniee.co.jp/","〒163-6006 東京都新宿区西新宿6-8-1 住友不動産新宿オークタワー 6階","","",""
"株式会社 ジョシュアツリー","https://joshuatree.jp/","153-0063 東京都目黒区目黒1丁目4-16 目黒Gビル5階","","",""
"Supership株式会社","https://supership.jp/","〒105-0001 東京都港区虎ノ門2-10-1","","",""
"株式会社 データ・ワン","https://data-one.co.jp/","〒100-6005 東京都千代田区霞が関3-2-5 霞が関ビルディング 5階","","",""
"デジタルマーケティングイノベーションラボ株式会社","https://digima.co.jp/","〒733-0871 広島市西区高須2-3-39","082-576-0663","",""
"株式会社 電通エルフトアーキテクト","https://elfto.com/","〒107-0062 東京都港区南青山5丁目4-27 Barbizon104 402","03-6712-6981","",""
"株式会社 PTD","https://publisher-tradingdesk.jp/","〒150-0043 東京都渋谷区道玄坂1-12-1","050-5329-0798","",""
"株式会社 BitStar","https://bitstar.tokyo/corp/","〒150-0002 東京都渋谷区渋谷2-22-3 渋谷東口ビル 10F","","",""
"株式会社 フリークアウト","https://www.fout.co.jp/","〒106-0032 東京都港区六本木 7-15-9","","",""
"株式会社 プレイド","https://plaid.co.jp/","〒104-0061 東京都中央区銀座6-10-1 GINZA SIX 10F""},""item3"":{""header"":""設立"",""body"":""2011年10月""},""item4"":{""header"":""資本金"",""bo","03-4405-7597","",""
"株式会社 マイベスト","https://my-best.com/","〒104-0045 東京都中央区築地7-17-1\u003c/p\u003e\u003cp\u003e \u003c/p\u003e\u003cp style=\""text-align: start\""\u003e住友不","080-1186-6808","",""
"モードメディア・ジャパン株式会社","https://www.modemediacorp.jp/","〒103-0024 東京都中央区日本橋小舟町3-2 リブラビル5階","03-6402-5150","",""
"ログリー株式会社","https://corp.logly.co.jp/","〒150-0013 東京都渋谷区恵比寿一丁目19番15号 ウノサワ東急ビル 7階","","",""
