company_name,url,address,phone,maps_url,status
株式会社 アドウェイズ,https://www.adways.net/,〒160-0023 東京都新宿区西新宿五丁目1番1号 住友不動産新宿ファーストタワー5階,03-6771-8510,,
株式会社 イースト・デイリー,https://www.east-daily.jp/,〒060-0001 北海道札幌市中央区北1条西9丁目3-1 南大通ビルN1 6階,011-208-1351,,
株式会社 ndp group,https://www.ndpmarketing.co.jp/,〒060-0002 北海道札幌市中央区北二条西1-1-7 ORE札幌ビル7階,011-596-0509,,
株式会社 カルテットコミュニケーションズ,https://quartet-communications.com/,〒460-0003 愛知県名古屋市中区錦2-4-15,052-684-5841,,
株式会社 CyberACE,https://cyberace.co.jp/,〒150-6120 東京都渋谷区渋谷2丁目24番12号,,,
株式会社 DigiCon,https://dcon.co.jp/,〒101-0062 東京都千代田区神田駿河台2-3-6 CIRCLES御茶ノ水6F,03-6821-6301,,
株式会社 デジタルガレージ,https://www.garage.co.jp/ja/,〒150-0022 東京都渋谷区恵比寿南3-5-7 デジタルゲートビル,03-6367-1111,,
株式会社 電通グループ,https://www.group.dentsu.com/jp/about-us/data-location.html,〒105-7050 東京都港区東新橋1-8-1,03-6217-6600,,
株式会社 メディックス,https://www.medix-inc.co.jp/,〒101-0051 東京都千代田区神田神保町1-105 神保町三井ビルディング 19階,03-5280-9471,,
LINEヤフー株式会社,https://www.lycorp.co.jp/ja/,〒102-8282 東京都千代田区紀尾井町1-3,,,
