company_name,url,address,phone,maps_url,status
日本インフォメーション(株),https://www.n-info.co.jp,〒104-0061 東京都中央区銀座3-15-10 JRE銀座三丁目ビル4F,03-3542-9441,,
(株)インテージ,https://www.intage.co.jp/,〒101-8201 東京都千代田区神田練塀町3番地 インテージ秋葉原ビル,03-5294-0111,,
(株)ケーアンドリサーチデータ,https://www.k-and-rd.co.jp/,〒170-0005 東京都豊島区南大塚3-10-10 いちご南大塚ビル,03-5906-9880,,
イプソス(株),https://www.ipsos.com/ja-jp,〒530-0044 大阪府大阪市北区東天満1－12－12,06-6356-6556,,
(株)クロス・マーケティング,https://www.cross-m.co.jp,〒163-1424 東京都新宿区西新宿3-20-2 東京オペラシティタワー24F,03-6859-2251,,
(株)マクロミル,https://www.macromill.com/,〒108-0075 東京都港区港南2-16-1 品川イーストワンタワー 11F,03-6716-0700,,
ニールセン・アイキュー・ジャパン合同会社,https://nielseniq.com/global/ja/,〒164-0012 東京都中野区本町2-46-1 中野坂上サンブライトツイン 15F,,,
(株)シー・エンド・シー,https://candc.co.jp/,〒141-0022 東京都品川区東五反田1-7-6 藤和東五反田ビル3階,03-6431-8761,,
(株)ワンド,https://m-wand.co.jp,〒140-0013 東京都品川区南大井6-28-11 谷口ビル2F,03-6672-6797,,
(株)アスマーク,https://www.asmarq.co.jp/,〒150-0011 東京都渋谷区東1-32-12 渋谷プロパティータワー4F,03-5468-5101,,
(株)リサーチリンク,https://www.rlink.jp/,〒162-0843 東京都新宿区市谷田町2-19-1,03-6265-0691,,
(株)マーケッティング・サービス,http://www.marketingservice.co.jp,〒164-0012 東京都中野区中央1-13-8 大橋セントラルビル8F,03-3363-3111,,
サカーナ・ジャパン(株),https://www.npdjapan.com/,〒108-0023 東京都港区芝浦3-6-5 Biz Feel 田町 2F,03-5798-7663,,
(株)ショッパーファースト,https://www.shopper-first.com,〒161-0031 東京都新宿区西落合4-9-12 Ｕ-フラッツ303,03-6276-4531,,
(株)MSS,https://mssinc.jp/,〒105-0001 東京都港区虎ノ門4-1-40 江戸見坂森ビル,03-4500-6488,,
(株)スガタリサーチ,https://www.sugataresearch.com/jp/,〒151-0053 東京都渋谷区代々木1-58-1 石山ビル3F,03-5304-0339,,
(株)マクロミルケアネット,https://www.macromillcarenet.jp/,〒108-0075 東京都港区港南2-16-1 品川イーストワンタワー11F,03-3716-7108,,
(一社)中央調査社,https://www.crs.or.jp,〒104-8179 東京都中央区銀座5-15-8 時事通信ビル7F,03-3549-3121,,
(株)渋谷リサーチ,https://www.shibuya-research.co.jp/,〒113-0033 東京都文京区本郷3-6-9 エルデ本郷館2F,03-5615-8630（代）,,
(株)市場開発研究所,https://www.mdr-j.co.jp,〒141-0022 東京都品川区東五反田1-7-6 藤和東五反田ビル3階,03-5422-9466,,
(株)RJCリサーチ,https://www.rjc.co.jp,〒107-6023 東京都港区赤坂1-12-32 アーク森ビル23F,,,
(株)アーキテクト,https://www.architect.co.jp/,〒105-0012 東京都港区芝大門二丁目11番8号 住友不動産芝大門二丁目ビル８F,03-4213-7722,,
(株)バルク,https://www.vlcank.com/,〒105-0001 東京都港区虎ノ門四丁目1-40 江戸見坂森ビル,03-4500-6488,,
(株)インテージテクノスフィア,https://www.intage-technosphere.co.jp/,〒188-0001 東京都西東京市谷戸町2-14-11,042-423-1156,,
(株)社会情報サービス,https://www.ssri.com/,〒162-0067 東京都新宿区富久町10-5,03-6709-9575,,
