"company_name","url","address","phone","maps_url","area_hint","query"
"株式会社スカイハイプロダクション","https://www.sky-hi.jp/","木更津市 高柳１６４６−３","0438-53-8763","https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B9%E3%82%AB%E3%82%A4%E3%83%8F%E3%82%A4%E3%83%97%E3%83%AD%E3%83%80%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3/data=!4m7!3m6!1s0x6018735897ebe7f1:0xd910437c54fa8741!8m2!3d35.3981355!4d139.9359547!16s%2Fg%2F1tdyl5dv!19sChIJ8efrl1hzGGARQYf6VHxDENk?authuser=0&hl=ja&rclk=1","木更津市","木更津市 プロモーション会社"
"株式会社 千歳","https://www.chitose0901.com/","木更津市 木更津２丁目１−３","0438-97-5888","https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE+%E5%8D%83%E6%AD%B3/data=!4m7!3m6!1s0x60187547e4ec2aa7:0xab3e4f3aeb03f001!8m2!3d35.3825809!4d139.9286207!16s%2Fg%2F11g1s9yd00!19sChIJpyrs5Ed1GGARAfAD6zpPPqs?authuser=0&hl=ja&rclk=1","木更津市","木更津市 プロモーション会社"
"相模原市印刷広告協同組合","http://www.soin.or.jp/","相模原市 中央３丁目７−５","042-776-6100","https://www.google.com/maps/place/%E7%9B%B8%E6%A8%A1%E5%8E%9F%E5%B8%82%E5%8D%B0%E5%88%B7%E5%BA%83%E5%91%8A%E5%8D%94%E5%90%8C%E7%B5%84%E5%90%88/data=!4m7!3m6!1s0x6018fd7b6b40253f:0xd4573c2c7b5cda77!8m2!3d35.5713277!4d139.3715928!16s%2Fg%2F1wl4qnd4!19sChIJPyVAa3v9GGARd9pceyw8V9Q?authuser=0&hl=ja&rclk=1","相模原市","相模原市 販促支援会社"
"株式会社日相印刷/日相出版","https://www.print-nisso.com/","相模原市 麻溝台８丁目２−７ 日相印刷","042-748-6020","https://www.google.com/maps/place/%EF%BC%88%E6%A0%AA%EF%BC%89%E6%97%A5%E7%9B%B8%E5%8D%B0%E5%88%B7%2F%E6%97%A5%E7%9B%B8%E5%87%BA%E7%89%88/data=!4m7!3m6!1s0x6018fe64f9307947:0x4b07a1296a26cc08!8m2!3d35.5265975!4d139.398648!16s%2Fg%2F1vvyy3n6!19sChIJR3kw-WT-GGARCMwmaimhB0s?authuser=0&hl=ja&rclk=1","相模原市","相模原市 販促支援会社"
"ポスティングの町田広告 相模原支店","https://sagamihara-post.jimdofree.com/","相模原市 相模台団地１−１ 相模台団地１－１","042-794-7963","https://www.google.com/maps/place/%E3%83%9D%E3%82%B9%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%E3%81%AE%E7%94%BA%E7%94%B0%E5%BA%83%E5%91%8A+%E7%9B%B8%E6%A8%A1%E5%8E%9F%E6%94%AF%E5%BA%97/data=!4m7!3m6!1s0x6018fc2238ffbbbd:0x356bffa398ec4ef3!8m2!3d35.5187002!4d139.4074914!16s%2Fg%2F11c37y_933!19sChIJvbv_OCL8GGAR807smKP_azU?authuser=0&hl=ja&rclk=1","相模原市","相模原市 販促支援会社"
"共同印刷株式会社相模原工場","https://www.kyodoprinting.co.jp/company-profile/offices_plants/map_sagamihara.html","相模原市 大山町４−１","042-703-6177","https://www.google.com/maps/place/%E5%85%B1%E5%90%8C%E5%8D%B0%E5%88%B7%EF%BC%88%E6%A0%AA%EF%BC%89%E7%9B%B8%E6%A8%A1%E5%8E%9F%E5%B7%A5%E5%A0%B4/data=!4m7!3m6!1s0x601902b412400001:0x42553f69eb5545c1!8m2!3d35.5874989!4d139.3493801!16s%2Fg%2F11c74hbsyj!19sChIJAQBAErQCGWARwUVV62k_VUI?authuser=0&hl=ja&rclk=1","相模原市","相模原市 販促支援会社"
"ワンプロモーション株式会社","https://www.onepro.co.jp/","相模原市 東林間６丁目６−１５","042-815-1260","https://www.google.com/maps/place/%E3%83%AF%E3%83%B3%E3%83%97%E3%83%AD%E3%83%A2%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/data=!4m7!3m6!1s0x6018ff2ec1cadf81:0x75e4085a8d37fa24!8m2!3d35.518034!4d139.438456!16s%2Fg%2F1txfp5yn!19sChIJgd_KwS7_GGARJPo3jVoI5HU?authuser=0&hl=ja&rclk=1","相模原市","相模原市 プロモーション会社"
"株式会社メディア・プロモーション・ジャパン (M・P・J)","http://media-promotion-japan.info/","相模原市 鵜野森１丁目３０−３−５０５ 相模原リリエンハイム３号棟","","https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2%E3%83%BB%E3%83%97%E3%83%AD%E3%83%A2%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3+%28M%E3%83%BBP%E3%83%BBJ%29/data=!4m7!3m6!1s0x6018fea471f249e9:0xa68d0001694791dd!8m2!3d35.5452928!4d139.4319182!16s%2Fg%2F11h4by77k4!19sChIJ6UnycaT-GGAR3ZFHaQEAjaY?authuser=0&hl=ja&rclk=1","相模原市","相模原市 プロモーション会社"
"株式会社PLOOF","https://ploof-co.com/","相模原市 原宿３丁目７−７ ハイツセカンド 101","080-1361-6694","https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEPLOOF/data=!4m7!3m6!1s0x60191d519287bb3f:0x475682a2405a24da!8m2!3d35.5971679!4d139.3094355!16s%2Fg%2F11t81htgyl!19sChIJP7uHklEdGWAR2iRaQKKCVkc?authuser=0&hl=ja&rclk=1","相模原市","相模原市 プロモーション会社"
"株式会社 ダイプロ","https://diepro.co.jp/","相模原市 田名２３２７−２","042-713-1980","https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE+%E3%83%80%E3%82%A4%E3%83%97%E3%83%AD/data=!4m7!3m6!1s0x60190366c58f1065:0xb9546c9ed6efb247!8m2!3d35.5639288!4d139.3296693!16s%2Fg%2F11flzktq8l!19sChIJZRCPxWYDGWARR7Lv1p5sVLk?authuser=0&hl=ja&rclk=1","相模原市","相模原市 プロモーション会社"
