company_name,url,address,phone,maps_url
共同印刷株式会社相模原工場,https://www.kyodoprinting.co.jp/company-profile/offices_plants/map_sagamihara.html,相模原市 大山町４−１,,https://www.google.com/maps/place/%E5%85%B1%E5%90%8C%E5%8D%B0%E5%88%B7%EF%BC%88%E6%A0%AA%EF%BC%89%E7%9B%B8%E6%A8%A1%E5%8E%9F%E5%B7%A5%E5%A0%B4/data=!4m7!3m6!1s0x601902b412400001:0x42553f69eb5545c1!8m2!3d35.5874989!4d139.3493801!16s%2Fg%2F11c74hbsyj!19sChIJAQBAErQCGWARwUVV62k_VUI?authuser=0&hl=ja&rclk=1
ワンプロモーション株式会社,https://www.onepro.co.jp/,〒252-0311 神奈川県相模原市南区東林間6,042-815-1260,https://www.google.com/maps/place/%E3%83%AF%E3%83%B3%E3%83%97%E3%83%AD%E3%83%A2%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/data=!4m7!3m6!1s0x6018ff2ec1cadf81:0x75e4085a8d37fa24!8m2!3d35.518034!4d139.438456!16s%2Fg%2F1txfp5yn!19sChIJgd_KwS7_GGARJPo3jVoI5HU?authuser=0&hl=ja&rclk=1
株式会社PLOOF,https://ploof-co.com/,〒252-0102 神奈川県相模原市緑区原宿3,042-851-2250,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEPLOOF/data=!4m7!3m6!1s0x60191d519287bb3f:0x475682a2405a24da!8m2!3d35.5971679!4d139.3094355!16s%2Fg%2F11t81htgyl!19sChIJP7uHklEdGWAR2iRaQKKCVkc?authuser=0&hl=ja&rclk=1
株式会社 アイ・シー・エム,http://icm-net.com/,相模原市 相模原２丁目１３−２ 服部相模原ビル,042-758-0351,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE+%E3%82%A2%E3%82%A4%E3%83%BB%E3%82%B7%E3%83%BC%E3%83%BB%E3%82%A8%E3%83%A0/data=!4m7!3m6!1s0x6018fd611fa15555:0xb870354998fe7789!8m2!3d35.578397!4d139.3690235!16s%2Fg%2F11f54rkn81!19sChIJVVWhH2H9GGARiXf-mEk1cLg?authuser=0&hl=ja&rclk=1
株式会社オーサムプラネッツ,https://awesomeplanets-t.com/,相模原市 相南２丁目２６−５ 205,,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%AA%E3%83%BC%E3%82%B5%E3%83%A0%E3%83%97%E3%83%A9%E3%83%8D%E3%83%83%E3%83%84/data=!4m7!3m6!1s0x6018fedf4054603d:0xaea4ba93262cc0d5!8m2!3d35.514985!4d139.4302237!16s%2Fg%2F11vpzwzrt9!19sChIJPWBUQN_-GGAR1cAsJpO6pK4?authuser=0&hl=ja&rclk=1
株式会社スケロク,https://skrock.jp/,〒252-0205 神奈川県相模原市中央区小山2,0428-16-2725,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B9%E3%82%B1%E3%83%AD%E3%82%AF/data=!4m7!3m6!1s0x601902a42f9b3f0f:0x4c08ba97c7f53e66!8m2!3d35.5833769!4d139.3597372!16s%2Fg%2F11w20yjy39!19sChIJDz-bL6QCGWARZj71x5e6CEw?authuser=0&hl=ja&rclk=1
01 Marketing,https://01marketing.co.jp/,〒243-0032 神奈川県厚木市恩名2,046-225-6017,https://www.google.com/maps/place/01+Marketing/data=!4m7!3m6!1s0x6019aaa12cb4414b:0xd0c07d0707b440b5!8m2!3d35.4421674!4d139.3500726!16s%2Fg%2F11vrbqnp7v!19sChIJS0G0LKGqGWARtUC0Bwd9wNA?authuser=0&hl=ja&rclk=1
有限会社ラインドック,https://line-dock.com/,厚木市 栄町２丁目２−３０−１０４,,https://www.google.com/maps/place/%E6%9C%89%E9%99%90%E4%BC%9A%E7%A4%BE%E3%83%A9%E3%82%A4%E3%83%B3%E3%83%89%E3%83%83%E3%82%AF/data=!4m7!3m6!1s0x6019abef8e34b479:0xe47d48cdb4cf307!8m2!3d35.4404552!4d139.3565222!16s%2Fg%2F11n7wh6gzk!19sChIJebQ0ju-rGWARB_NM24zURw4?authuser=0&hl=ja&rclk=1
株式会社カナオリ,https://kanaori.com/profile/,〒243-0021 神奈川県厚木市岡田3,046-228-0339,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%AB%E3%83%8A%E3%82%AA%E3%83%AA/data=!4m7!3m6!1s0x6019aad20ab56aaf:0x392f02ed4e3ee75a!8m2!3d35.4220657!4d139.3620648!16s%2Fg%2F1tn018vf!19sChIJr2q1CtKqGWARWuc-Tu0CLzk?authuser=0&hl=ja&rclk=1
KINKO,https://kiitenet.jp/,〒410-0835 静岡県沼津市西島町2,055-932-8001,https://www.google.com/maps/place/KINKO/data=!4m7!3m6!1s0x60198f66b5d9b32b:0xe43bb484ad2ca33f!8m2!3d35.0888506!4d138.8632069!16s%2Fg%2F11px6skdhk!19sChIJK7PZtWaPGWARP6MsrYS0O-Q?authuser=0&hl=ja&rclk=1
