"company_name","url","address","phone","maps_url"
"株式会社アクティオ","https://www.actioinc.jp","〒150-0012 東京都渋谷区広尾1-6-1 ホーメックス広尾E棟","03-6712-5280",""
"株式会社ジョック","https://jock.co.jp","〒153-0043 東京都目黒区東山1-11-2 GranDuo中目黒Ⅱ 3階","03-5938-6767",""
"株式会社スコープ","https://www.scope-inc.co.jp","〒102-0071 東京都千代田区富士見2丁目10番2号 飯田橋グラン・ブルーム28階","03-3556-7610",""
"株式会社ジェイアール西日本コミュニケーションズ","https://www.jcomm.co.jp","〒530-0003 大阪府大阪市北区堂島1丁目6番20号 堂島アバンザ8F","06-6344-5138",""
"株式会社オズマピーアール","https://ozma.co.jp","〒102-8025 東京都千代田区紀尾井町3-23 文藝春秋新館","",""
"株式会社マテリアル","https://materialpr.jp","〒107-6035 東京都港区赤坂1-12-32 アーク森ビル35階","",""
"ビーンスター株式会社","https://beanstar.net","〒108-0074 東京都港区高輪1-5-20 井出ビル3F","03-3449-9988",""
"株式会社YC GROUP","https://yc-group.jp","〒107-0061 東京都港区北青山2-12-13 青山KYビル3階","",""
"株式会社PUKU","https://puku.co.jp","北海道札幌市北区北七条西4丁目1番地1 トーカン札幌第一キャステール607","",""
"株式会社ZAKU","https://zaku-sp.jp","〒062-0032 北海道札幌市豊平区西岡2条10丁目2-1","",""
"北海道クリエイティブ株式会社","https://www.do-cre.jp","北海道札幌市北区北10条西3丁目16番地 北10条スクエアビル4階","011-706-1050",""
"株式会社大広北陸","https://daiko-hokuriku.co.jp","〒930-0002 富山県富山市新富町1丁目1番12号 明治安田生命富山駅前ビル","076-431-8514",""
"株式会社PRリンク","https://www.prlink.co.jp","〒530-0028 大阪府大阪市北区万歳町4-12 浪速ビルディング西館401A号室","",""
"株式会社ECHO","https://echopr.co.jp","〒810-0001 福岡県福岡市中央区天神2丁目2番12号 T&Jビルディング7F","",""
"東海クロスメディア株式会社","https://www.tokai-crossmedia.com","〒468-0004 愛知県名古屋市天白区梅が丘五丁目905番地","052-808-2804",""
"株式会社ヒストリアル","https://www.historeal.jp","〒530-0036 大阪府大阪市北区与力町4-8 末広センタービル401","06-4801-8735",""
"株式会社すごいプロモーション","https://www.sugoipro.com","〒541-0047 大阪府大阪市中央区淡路町2-1-13 弘栄ビル7階","06-6229-8788",""
"株式会社ガーオン","https://gaaaon.jp","〒141-0021 東京都品川区上大崎4-3-14-6F","",""
"株式会社アテナエージェンシー","https://atena-a.com","〒150-6021 東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー15F","080-7261-9361",""
"株式会社D-rise","https://drise.jp","〒531-0072 大阪府大阪市北区豊崎3丁目11-12","",""
"今野印刷株式会社","https://www.konp.co.jp","〒984-0011 宮城県仙台市若林区六丁の目西町2-10","022-288-6123",""
"株式会社I-PRO","https://www.i-pro.gs/","〒060-0001 北海道札幌市中央区北1条西9丁目3番地27 第三古久根ビル6F","011-232-1818","https://www.google.com/maps/search/?api=1&query=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEI-PRO%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8C%971%E6%9D%A1%E8%A5%BF9%E4%B8%81%E7%9B%AE3%E7%95%AA%E5%9C%B027%20%E7%AC%AC%E4%B8%89%E5%8F%A4%E4%B9%85%E6%A0%B9%E3%83%93%E3%83%AB6F"
"株式会社アド・クロス","https://www.ad-xx.com/","〒064-0810 北海道札幌市中央区南10条西10丁目1-20 さくらビル2F","011-206-0338","https://www.google.com/maps/search/?api=1&query=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A2%E3%83%89%E3%83%BB%E3%82%AF%E3%83%AD%E3%82%B9%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%9710%E6%9D%A1%E8%A5%BF10%E4%B8%81%E7%9B%AE1-20%20%E3%81%95%E3%81%8F%E3%82%89%E3%83%93%E3%83%AB2F"
"株式会社メディアコミュニケーションズ","https://www.medcom-jam.com/","岩手県盛岡市向中野八丁目29-37-2F","019-681-9812","https://www.google.com/maps/search/?api=1&query=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%82%B1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%BA%20%E5%B2%A9%E6%89%8B%E7%9C%8C%E7%9B%9B%E5%B2%A1%E5%B8%82%E5%90%91%E4%B8%AD%E9%87%8E%E5%85%AB%E4%B8%81%E7%9B%AE29-37-2F"
"富山テレビ事業株式会社","https://www.tv-jigyo.jp/","〒939-8205 富山県富山市新根塚町1-8-14","076-421-1223","https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E3%83%86%E3%83%AC%E3%83%93%E4%BA%8B%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%E5%AF%8C%E5%B1%B1%E5%B8%82%E6%96%B0%E6%A0%B9%E5%A1%9A%E7%94%BA1-8-14"
"株式会社ゴング","https://www.gong.co.jp/","〒810-0022 福岡県福岡市中央区薬院1-6-9 福岡ニッセイビル5F","092-726-3300","https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%96%AC%E9%99%A21-6-9"
"株式会社マスプロ","https://www.ad-maspro.co.jp/","〒812-0022 福岡県福岡市博多区神屋町7-2 第2マスビル","092-291-2811","https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E5%8D%9A%E5%A4%9A%E5%8C%BA%E7%A5%9E%E5%B1%8B%E7%94%BA7-2"
"株式会社ジャリア","https://jarea.jp/","〒812-0038 福岡県福岡市博多区祇園町1-20 スタービル博多祇園9階","092-402-0699","https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E5%8D%9A%E5%A4%9A%E5%8C%BA%E7%A5%87%E5%9C%92%E7%94%BA1-20"
"沖縄広告株式会社","https://okikou.co.jp/","〒900-0005 沖縄県那覇市天久2丁目7番7号","098-860-0055","https://www.google.com/maps/search/?api=1&query=%E6%B2%96%E7%B8%84%E7%9C%8C%E9%82%A3%E8%A6%87%E5%B8%82%E5%A4%A9%E4%B9%852%E4%B8%81%E7%9B%AE7%E7%95%AA7%E5%8F%B7"
"株式会社真宣組","https://4093.jp/","〒900-0016 沖縄県那覇市前島3-7-22 RJビル3階","098-867-4093","https://www.google.com/maps/search/?api=1&query=%E6%B2%96%E7%B8%84%E7%9C%8C%E9%82%A3%E8%A6%87%E5%B8%82%E5%89%8D%E5%B3%B63-7-22"
