_row,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分
2,株式会社源,https://minamotojp.com/,,,,https://minamotojp.com/#ly,,,,,,,,,hybrid
3,株式会社GreenHill,https://g-hill.jp/,,,,https://g-hill.jp/contact/,,,,,,,,,hybrid
4,株式会社リヴァイト,https://re-vite.com/,,,,https://re-vite.com/contact/,,,,,,,,,web_production
5,Apsell株式会社,https://apsell.jp/,,,,https://apsell.jp/pages/contact,,,,,,,,,hybrid
6,ストレンジブレイン株式会社,https://strange-brain.co.jp/,,,,https://strange-brain.co.jp/contact/,,,,,,,,,hybrid
7,株式会社メガホン,https://megafoon.co.jp/,,,,https://megafoon.co.jp/contact/,,,,,,,,,web_production
8,RounDesign,https://roundesign2021.com/,,,,https://roundesign2021.com/contact,,,,,,,,,hybrid
9,株式会社ウエンズ,https://wednes-web.com/,,,,https://wednes-web.com/contact/,,,,,,,,,hybrid
10,株式会社FEAT.,https://feat-co.ltd/,,,,https://feat-co.ltd/contact/,,,,,,,,,hybrid
11,株式会社NORM,https://norm.co.jp/,,,,https://norm.co.jp/,,,,,,,,,hybrid
12,合同会社Uzu,https://uzuinc.jp/,,,,https://uzuinc.jp/contact/,,,,,,,,,web_marketing
13,株式会社NOVEL,https://novel-group.co.jp/,,,,https://novel-group.co.jp/contact/,,,,,,,,,hybrid
14,メイクイットプロジェクト,https://makeit-p.com/,,,,https://makeit-p.com/,,,,,,,,,hybrid
15,株式会社ZIPANGUworks,https://www.zipanguworks.com/,,,,https://www.zipanguworks.com/contact/,,,,,,,,,業種違い
16,ブレーメン株式会社,https://bre-men.jp/,,,,https://bre-men.jp/contact/partnership/,,,,,,,,,hybrid
17,マカレル株式会社,https://mackarel.jp/,,,,https://mackarel.jp/,,,,,,,,,web_production
18,株式会社gini,https://gini.co.jp/,,,,https://gini.co.jp/inqury,,,,,,,,,web_production
19,株式会社アークス,https://arcuss-creation.com/,,,,https://arcuss-creation.com/contact/,,,,,,,,,hybrid
20,株式会社ARUTEGA,https://arutega.jp/,,,,https://arutega.jp/contact/,,,,,,,,,web_marketing
21,株式会社アドイディアル,https://a-dd-i-deal.com/,,,,https://a-dd-i-deal.com/contact/,,,,,,,,,hybrid
22,株式会社BlurBra,https://blurbra.jp/,,,,https://blurbra.jp/contact,,,,,,,,,業種違い
23,アカネ・テクノロジーズ株式会社,https://akane-technologies.com/,,,,https://akane-technologies.com/contact,,,,,,,,,業種違い
24,株式会社フレイバーズ,https://www.flavours.ac/,,,,https://www.flavours.ac/inquiry/,,,,,,,,,業種違い
25,スパイディア,https://spidea-labo.com/,,,,https://spidea-labo.com/contact/,,,,,,,,,hybrid
26,YYM株式会社,https://yym.co.jp/,,,,https://yym.co.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,,,,,,,,,web_production
27,株式会社ゼクノ,https://zekno.co.jp/,,,,https://zekno.co.jp/contact/,,,,,,,,,hybrid
28,株式会社ノベル,https://novel2020.co.jp/,,,,https://novel2020.co.jp/contact/,,,,,,,,,hybrid
29,株式会社 Project Echoes,https://www.projectechoes.com/,,,,https://www.projectechoes.com/contact,,,,,,,,,業種違い
30,株式会社 Crisp Code,https://crispcode.co.jp/,,,,https://crispcode.co.jp/inquiry,,,,,,,,,web_production
31,株式会社フリージア,https://www.ifour.co.jp/,,,,https://www.ifour.co.jp/contact/,,,,,,,,,web_marketing
32,株式会社ファイコム,https://www.faycom.net/,,,,https://www.faycom.net/contact,,,,,,,,,hybrid
33,合同会社エゴワークス,https://ego-nostalger.com/wp/,,,,https://ego-nostalger.com/wp/drop-us-a-note/,,,,,,,,,hybrid
