_row,_row,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分,検出ワード,official_name,name_source,audit_state,audit_reason,category,evidence,resolved_url
2,2,株式会社クイックリー,https://quickly.co.jp,〒513-0027 三重県鈴鹿市岡田3,06-6770-9895,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%AF%E3%82%A4%E3%83%83%E3%82%AF%E3%83%AA%E3%83%BC+%E4%B8%89%E9%87%8D%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9/data=!4m7!3m6!1s0x60038b947a555a1b:0x2b775078ff984f53!8m2!3d34.8796923!4d136.5503969!16s%2Fg%2F11fnbd7s0y!19sChIJG1pVepSLA2ARU0-Y_3hQdys?authuser=0&hl=ja&rclk=1,https://quickly.co.jp/contact/,,,,,,,,,,,株式会社クイックリー,company_label,exclude,direct_meo_competitor,,,https://quickly.co.jp
3,3,㈱ティーコネクト,https://tct-connect.com,〒064-0809 北海道札幌市中央区南９,011-206-6717,https://www.google.com/maps/place/%E3%88%B1%E3%83%86%E3%82%A3%E3%83%BC%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88/data=!4m7!3m6!1s0x5f0b29c12951caa7:0xa71b3f4f0e1ab1aa!8m2!3d43.0482559!4d141.3524434!16s%2Fg%2F11ty52557r!19sChIJp8pRKcEpC18RqrEaDk8_G6c?authuser=0&hl=ja&rclk=1,https://tct-connect.com/contact/,,,,,,,,,,,株式会社ティーコネクト,company_label,exclude,direct_meo_competitor,,,https://tct-connect.com
4,4,株式会社 LAM COMPANY,https://www.moji-lamcompany.com,〒801-0863 福岡県北九州市門司区栄町2,093-342-7321,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE+LAM+COMPANY/data=!4m7!3m6!1s0x3543bf7f628ed251:0xb1a7ccb88c6b4353!8m2!3d33.9447457!4d130.9650354!16s%2Fg%2F11ffv3p7jn!19sChIJUdKOYn-_QzURU0NrjLjMp7E?authuser=0&hl=ja&rclk=1,https://www.moji-lamcompany.com#contact,,,,,,,,,,,株式会社 LAM,company_label,exclude,target_service_unconfirmed,,,https://www.moji-lamcompany.com
5,5,株式会社ogawa.,https://www.ogawa-cnct.com,〒431-3752 静岡県浜松市天竜区小川1,080-5117-1286,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEogawa./data=!4m7!3m6!1s0xa15bd168e25f1231:0xfa67269192e81554!8m2!3d32.9998961!4d138.4293072!16s%2Fg%2F11msb8b2m2!19sChIJMRJf4mjRW6ERVBXokpEmZ_o?authuser=0&hl=ja&rclk=1,https://www.ogawa-cnct.com,,,,,,,,,,,株式会社ogawa,root_jsonld,exclude,target_service_unconfirmed,,,https://www.ogawa-cnct.com
6,6,株式会社 CAPサービス,https://cap-service.jp,〒541-0047 大阪府大阪市中央区淡路町3,0120-14-4551,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE+CAP%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/data=!4m7!3m6!1s0x6000e7c39cd4ec91:0x16c574318640c1c7!8m2!3d34.6871413!4d135.5012215!16s%2Fg%2F11h6x6147l!19sChIJkezUnMPnAGARx8FAhjF0xRY?authuser=0&hl=ja&rclk=1,https://cap-service.jp/contact/,,,,,,,,,,,株式会社 CAP,company_label,exclude,target_service_unconfirmed,,,https://cap-service.jp
7,7,株式会社Heart Seed（ハートシード） 相模原,https://heart-seed.jp,〒194-0021 東京都町田市中町3,042-850-9249,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEHeart+Seed%EF%BC%88%E3%83%8F%E3%83%BC%E3%83%88%E3%82%B7%E3%83%BC%E3%83%89%EF%BC%89+%E7%9B%B8%E6%A8%A1%E5%8E%9F/data=!4m7!3m6!1s0x8107c0bdb7c05d6f:0x28b1549bdae3c771!8m2!3d35.5783565!4d139.3716854!16s%2Fg%2F11t6p3qptg!19sChIJb13At73AB4ERccfj2ptUsSg?authuser=0&hl=ja&rclk=1,https://heart-seed.jp/contact/,,,,,,,,,,,株式会社Heart,existing,exclude,target_service_unconfirmed,,,https://heart-seed.jp
8,8,イツモスマイルデジタルソリューションズ株式会社,https://itsumo-app.net,〒770-0022 徳島県徳島市佐古二番,088-677-8866,https://www.google.com/maps/place/%E3%82%A4%E3%83%84%E3%83%A2%E3%82%B9%E3%83%9E%E3%82%A4%E3%83%AB%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%BD%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%BA%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/data=!4m7!3m6!1s0x3553730051124cb7:0xdb04409a2e397bd0!8m2!3d34.0775506!4d134.538559!16s%2Fg%2F11z15h4dnl!19sChIJt0wSUQBzUzUR0Hs5LppABNs?authuser=0&hl=ja&rclk=1,https://itsumo-app.net/itsumo-app.net/contact/,,,,,,,,,,,イツモスマイルデジタルソリューションズ株式会社,existing_english,exclude,target_service_unconfirmed,,,https://itsumo-app.net
9,9,株式会社Next Vision,https://www.nextvisionjp.net,〒663-8004 兵庫県西宮市下大市東町4,080-2527-3115,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BENext+Vision/data=!4m7!3m6!1s0x842c5fe48f543c53:0x67e989f1f34d9863!8m2!3d34.7570081!4d135.358472!16s%2Fg%2F11z7p7b941!19sChIJUzxUj-RfLIQRY5hN8_GJ6Wc?authuser=0&hl=ja&rclk=1,https://www.nextvisionjp.net/blank-3,,,,,,,,,,,株式会社Next,existing,exclude,duplicate_company_name,Web制作・クリエイティブ,動画制作 / 映像制作,https://www.nextvisionjp.net
10,10,岡山人材採用コンサルティング株式会社,https://ojs-consulting.com,岡山市 川入９５７−２４,050-5362-8177,https://www.google.com/maps/place/%E5%B2%A1%E5%B1%B1%E4%BA%BA%E6%9D%90%E6%8E%A1%E7%94%A8%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%28%E6%A0%AA%29/data=!4m7!3m6!1s0x3553ff069ae44d15:0x819d3d9f6edc71a2!8m2!3d34.6549412!4d133.8447963!16s%2Fg%2F11j0yccc0p!19sChIJFU3kmgb_UzURonHcbp89nYE?authuser=0&hl=ja&rclk=1,https://ojs-consulting.com/youtube,,,,,,,,,,,岡山人材採用コンサルティング株式会社,existing_english,exclude,target_service_unconfirmed,,,https://ojs-consulting.com
11,11,株式会社and.W、and.M,https://www.andw.jp,〒887-2359 広島県福山市霞町一丁目,050-8887-2358,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEand.W%E3%80%81and.M/data=!4m7!3m6!1s0x3551110014a9bd35:0xfb052a739b1935fa!8m2!3d34.4879982!4d133.3624212!16s%2Fg%2F11yv_3w9f5!19sChIJNb2pFAARUTUR-jUZm3MqBfs?authuser=0&hl=ja&rclk=1,https://www.andw.jp/複製-相続コンサルティング,,,,,,,,,,,株式会社and.W,existing,exclude,target_service_unconfirmed,,,https://www.andw.jp
12,12,株式会社 TOKINO,https://tokino-fudousan.com,那覇市 久米２丁目３−１５ 5階,098-880-6126,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE+TOKINO/data=!4m7!3m6!1s0x34e569ca3631335b:0xda52c6634d85f299!8m2!3d26.2152154!4d127.6773632!16s%2Fg%2F11y5ftblv6!19sChIJWzMxNspp5TQRmfKFTWPGUto?authuser=0&hl=ja&rclk=1,https://tokino-fudousan.com/contact,,,,,,,,,,,株式会社 TOKINO,existing,exclude,target_service_unconfirmed,,,https://tokino-fudousan.com
13,13,株式会社スカイライトマーケティング,https://skylightmarketing.co.jp,〒530-0001 大阪府大阪市北区梅田2,06-7878-5697,https://www.google.com/maps/place/%E3%82%B9%E3%82%AB%E3%82%A4%E3%83%A9%E3%82%A4%E3%83%88%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%E4%BB%99%E5%8F%B0%E4%BA%8B%E5%8B%99%E6%89%80/data=!4m7!3m6!1s0x5f8a29006162e007:0x31dee141e8b1961f!8m2!3d38.2703005!4d140.8686363!16s%2Fg%2F11njrvzmn4!19sChIJB-BiYQApil8RH5ax6EHh3jE?authuser=0&hl=ja&rclk=1,https://skylightmarketing.co.jp/wp/contact,,,,,,,,,,,株式会社スカイライトマーケティング,company_label,exclude,direct_meo_competitor,,,https://skylightmarketing.co.jp
14,14,eBIZ CREATE Inc.,https://ebiz-create.co.jp,〒963-8861 福島県郡山市鶴見坦3,050-5830-3593,,https://ebiz-create.co.jp#contact,,,,,,,,,,,eBIZ CREATE Inc,existing_english,exclude,direct_meo_competitor,,,https://ebiz-create.co.jp
