_row,_row,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分,検出ワード,official_name,name_source,audit_state,audit_reason,category,evidence,resolved_url
2,2,株式会社日相印刷,https://www.print-nisso.com,〒252-0328 神奈川県相模原市南区麻溝台8,042-748-6020,https://www.google.com/maps/place/%EF%BC%88%E6%A0%AA%EF%BC%89%E6%97%A5%E7%9B%B8%E5%8D%B0%E5%88%B7%2F%E6%97%A5%E7%9B%B8%E5%87%BA%E7%89%88/data=!4m7!3m6!1s0x6018fe64f9307947:0x4b07a1296a26cc08!8m2!3d35.5265975!4d139.398648!16s%2Fg%2F1vvyy3n6!19sChIJR3kw-WT-GGARCMwmaimhB0s?authuser=0&hl=ja&rclk=1,https://www.print-nisso.com/contact/postmail.html,,,,,,,,,,,株式会社日相印刷,existing,review,official_domain_unconfirmed,,,https://www.print-nisso.com
3,3,人にやさしいクリエイション,https://hitoniyasashii.com,〒064-0804 北海道札幌市中央区南4,011-600-0174,https://www.google.com/maps/place/%E4%BA%BA%E3%81%AB%E3%82%84%E3%81%95%E3%81%97%E3%81%84%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%82%B7%E3%83%A7%E3%83%B3/data=!4m7!3m6!1s0x5f0b29e72e223e11:0xe1f147bcb5288b71!8m2!3d42.9961379!4d141.4535288!16s%2Fg%2F11x16_cj6z!19sChIJET4iLucpC18RcYsotbxH8eE?authuser=0&hl=ja&rclk=1,https://hitoniyasashii.com/contact/,,,,,,,,,,,,unresolved,review,official_name_unresolved,,,https://hitoniyasashii.com
4,4,合同会社テンシステム,http://ten-system.com,下関市 秋根東町３−３９,083-250-6616,https://www.google.com/maps/place/%E5%90%88%E5%90%8C%E4%BC%9A%E7%A4%BE%E3%83%86%E3%83%B3%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0/data=!4m7!3m6!1s0x3543a2bb2feaff49:0x8db6cc6919f759be!8m2!3d34.010836!4d130.9537899!16s%2Fg%2F1pyqhbmsy!19sChIJSf_qL7uiQzURvln3GWnMto0?authuser=0&hl=ja&rclk=1,,,,,,,,,,,,合同会社テンシステム,existing,review,official_domain_unconfirmed,,,http://ten-system.com
5,5,望月正明広告事務所,https://mocchy5.sakura.ne.jp,〒486-0856 愛知県春日井市梅ヶ坪町6,090-6591-8855,https://www.google.com/maps/place/%E6%9C%9B%E6%9C%88%E6%AD%A3%E6%98%8E%E5%BA%83%E5%91%8A%E4%BA%8B%E5%8B%99%E6%89%80/data=!4m7!3m6!1s0x6003736a2e8c221b:0x288ca2b4750385cd!8m2!3d35.2535233!4d136.97881!16s%2Fg%2F11p9wmk7cl!19sChIJGyKMLmpzA2ARzYUDdbSijCg?authuser=0&hl=ja&rclk=1,https://mocchy5.sakura.ne.jp#sec005,,,,,,,,,,,,unresolved,review,official_name_unresolved,,,https://mocchy5.sakura.ne.jp
6,6,Pasolack -パソラック-,https://pasolack.salty.style,水戸市 東原３丁目６−４４,090-4748-8643,https://www.google.com/maps/place/Pasolack+-%E3%83%91%E3%82%BD%E3%83%A9%E3%83%83%E3%82%AF-/data=!4m7!3m6!1s0xa44d44eff1e2bc7:0x49567f6c277b2a22!8m2!3d36.3858771!4d140.4460593!16s%2Fg%2F11krgc76v7!19sChIJxyse_07URAoRIip7J2x_Vkk?authuser=0&hl=ja&rclk=1,https://pasolack.salty.style/contact/,,,,,,,,,,,,unresolved,review,official_name_unresolved,,,https://pasolack.salty.style
7,7,特定非営利活動法人 木更CoN,https://kisacon.com,木更津市 太田４丁目３−７,0438-25-1377,https://www.google.com/maps/place/%E7%89%B9%E5%AE%9A%E9%9D%9E%E5%96%B6%E5%88%A9%E6%B4%BB%E5%8B%95%E6%B3%95%E4%BA%BA+%E6%9C%A8%E6%9B%B4CoN/data=!4m7!3m6!1s0x60180b14df9e41e1:0x74245c1ee230ccc9!8m2!3d35.3736054!4d139.9583461!16s%2Fg%2F11c3trkf2n!19sChIJ4UGe3xQLGGARycww4h5cJHQ?authuser=0&hl=ja&rclk=1,https://kisacon.com/contact/,,,,,,,,,,,,unresolved,review,official_name_unresolved,,,https://kisacon.com
8,8,ハンドルワークス 広告デザイン・ホームページ制作,https://handl-works.com,宇都宮市 台新田１丁目１−３,090-6787-2890,https://www.google.com/maps/place/%E3%83%8F%E3%83%B3%E3%83%89%E3%83%AB%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%B9+%E5%BA%83%E5%91%8A%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3%E3%83%BB%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8%E5%88%B6%E4%BD%9C/data=!4m7!3m6!1s0x4f1ee690e139c39f:0x4f293e12a75dcdd9!8m2!3d36.5204701!4d139.8820546!16s%2Fg%2F11kbk_yydt!19sChIJn8M54ZDmHk8R2c1dpxI-KU8?authuser=0&hl=ja&rclk=1,,,,,,,,,,,,,unresolved,review,official_name_unresolved,,,https://handl-works.com
9,9,㈱財産コンサルティング,https://www.zaisan-consulting.co.jp,〒010-0904 秋田県秋田市保戸野原の町8,018-824-0234,https://www.google.com/maps/place/%E3%88%B1%E8%B2%A1%E7%94%A3%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0/data=!4m7!3m6!1s0x5f8fc2b9adea3c87:0xf15ff7e6b4b5687d!8m2!3d39.725615!4d140.1142606!16s%2Fg%2F11b7y82qkg!19sChIJhzzqrbnCj18RfWi1tOb3X_E?authuser=0&hl=ja&rclk=1,https://www.zaisan-consulting.co.jp/contact/,,,,,,,,,,,,unresolved,review,official_name_unresolved,,,https://www.zaisan-consulting.co.jp
10,10,ベストリンク株式会社,https://bestlnk.jp,〒004-0803 北海道札幌市清田区里塚３,011-887-3735,,https://bestlnk.jp/contact.html,,,,,,,,,,,ベストリンク株式会社,existing_english,review,official_domain_unconfirmed,,,https://bestlnk.jp
11,11,プラスIT,https://service.plus-it.biz,長野市 高田五分一４２０,,https://www.google.com/maps/place/%E3%83%97%E3%83%A9%E3%82%B9IT/data=!4m7!3m6!1s0x601d870957c252f3:0x5484062f43517f2b!8m2!3d36.647544!4d138.2130778!16s%2Fg%2F11xktl3_mr!19sChIJ81LCVwmHHWARK39RQy8GhFQ?authuser=0&hl=ja&rclk=1,,,,,,,,,,,,,,review,fetch_failed,,,
