_row,company_name,url,old_contact_url,resolved_contact_url,contact_state,contact_evidence,page_title,attempts,browser_contact_url,browser_state,browser_evidence,browser_attempts
5,株式会社モノクロマーケティング,https://monochro-marketing.co.jp,https://monochro-marketing.co.jp/contact/,,unresolved,general_contact_form_unconfirmed,,https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form,https://monochro-marketing.co.jp/contact/,valid,browser_form_iframe,https://monochro-marketing.co.jp/contact/:browser_form_iframe
10,株式会社THUMB,https://thumbsup-marketing.com,https://thumbsup-marketing.com/work/docker-workstylereform/,,unresolved,general_contact_form_unconfirmed,,https://thumbsup-marketing.com/work/docker-workstylereform/:no_form,,unresolved,browser_general_form_unconfirmed,https://thumbsup-marketing.com/work/docker-workstylereform/:browser_no_form
26,WEBブランド戦略Arts株式会社,https://arts-web.co.jp,https://arts-web.co.jp,,unresolved,general_contact_form_unconfirmed,,https://arts-web.co.jp/:no_form | https://arts-web.co.jp/:no_form | https://arts-web.co.jp/:no_form,,unresolved,browser_general_form_unconfirmed,https://arts-web.co.jp/:browser_no_form | https://arts-web.co.jp/:browser_no_form | https://arts-web.co.jp/:browser_no_form | https://arts-web.co.jp/:browser_no_form | https://arts-web.co.jp/:browser_no_form | https://arts-web.co.jp/:browser_no_form
27,SATORI株式会社,https://www.marketing-unit.jp,https://www.marketing-unit.jp/contact/online/,,unresolved,general_contact_form_unconfirmed,,https://www.marketing-unit.jp/contact/:no_form | https://www.marketing-unit.jp/contact/online/:no_form,,unresolved,browser_general_form_unconfirmed,https://www.marketing-unit.jp/contact/:browser_no_form | https://www.marketing-unit.jp/contact/online/:browser_no_form
28,株式会社DEEM,https://deem.co.jp,https://deem.co.jp/contact-3/,,unresolved,general_contact_form_unconfirmed,,https://deem.co.jp/contact-3/:no_form | https://deem.co.jp/contact-3/:no_form | https://deem.co.jp/contact-3/:no_form | https://deem.co.jp/contact-3/:no_form | https://deem.co.jp/contact-3/:no_form | https://deem.co.jp/contact-3/:no_form,,unresolved,browser_general_form_unconfirmed,https://deem.co.jp/contact-3/:browser_no_form | https://deem.co.jp/contact-3/:browser_no_form | https://deem.co.jp/contact-3/:browser_no_form | https://deem.co.jp/contact-3/:browser_no_form | https://deem.co.jp/contact-3/:browser_no_form | https://deem.co.jp/contact-3/:browser_no_form
32,株式会社アイ・ステップ,https://www.istepkanazawa.co.jp,https://www.istepkanazawa.co.jp/lightning-ja/contact/,,unresolved,general_contact_form_unconfirmed,,https://www.istepkanazawa.co.jp/contact/:http_404 | https://www.istepkanazawa.co.jp/lightning-ja/contact/:http_404 | https://www.istepkanazawa.co.jp/?page_id=19:http_404,,unresolved,browser_general_form_unconfirmed,https://www.istepkanazawa.co.jp/contact/:browser_no_form | https://www.istepkanazawa.co.jp/contact/#main:browser_no_form | https://www.istepkanazawa.co.jp/contact/#vk-mobile-nav:browser_no_form | https://www.istepkanazawa.co.jp/?page_id=19:browser_no_form | https://www.istepkanazawa.co.jp/contact/:browser_no_form | https://www.istepkanazawa.co.jp/contact/:browser_no_form | https://www.istepkanazawa.co.jp/lightning-ja/contact/:browser_no_form | https://www.istepkanazawa.co.jp/lightning-ja/contact/#main:browser_no_form | https://www.istepkanazawa.co.jp/lightning-ja/contact/#vk-mobile-nav:browser_no_form | https://www.istepkanazawa.co.jp/?page_id=19:browser_no_form | https://www.istepkanazawa.co.jp/contact/:browser_no_form | https://www.istepkanazawa.co.jp/lightning-ja/contact/:browser_no_form | https://www.istepkanazawa.co.jp/?page_id=19:browser_no_form | https://www.istepkanazawa.co.jp/?page_id=19:browser_no_form | https://www.istepkanazawa.co.jp/contact/:browser_no_form | https://www.istepkanazawa.co.jp/contact/:browser_no_form | https://www.istepkanazawa.co.jp/lightning-ja/contact/:browser_no_form | https://www.istepkanazawa.co.jp/?page_id=19:browser_no_form
57,株式会社SHUHARI,https://www.shuhari.work,https://www.shuhari.work,,unresolved,general_contact_form_unconfirmed,,https://www.shuhari.work/:no_form | https://www.shuhari.work/:no_form | https://www.shuhari.work/:no_form,,unresolved,browser_general_form_unconfirmed,https://www.shuhari.work/:browser_no_form | https://www.shuhari.work/:browser_no_form
62,イー・ガーディアン株式会社,https://www.e-guardian.co.jp,https://www.e-guardian.co.jp/inquiry/,,unresolved,general_contact_form_unconfirmed,,https://www.e-guardian.co.jp/inquiry/:no_form | https://www.e-guardian.co.jp/inquiry/:no_form | https://www.e-guardian.co.jp/inquiry/:no_form | https://www.e-guardian.co.jp/inquiry/service/:no_form | https://www.e-guardian.co.jp/inquiry/ir/:no_form | https://www.e-guardian.co.jp/inquiry/press/:no_form,https://www.e-guardian.co.jp/inquiry/service/,valid,browser_form_iframe,https://www.e-guardian.co.jp/inquiry/:browser_no_form | https://www.e-guardian.co.jp/inquiry/:browser_no_form | https://www.e-guardian.co.jp/inquiry/:browser_no_form | https://www.e-guardian.co.jp/inquiry/service/:browser_form_iframe
69,株式会社Xcuu,https://xcuu.jp,https://xcuu.jp/contact/,,unresolved,general_contact_form_unconfirmed,,https://xcuu.jp/contact/:no_form | https://xcuu.jp/contact/:no_form | https://xcuu.jp/contact/:no_form | https://xcuu.jp/contact/:no_form | https://xcuu.jp/contact/:no_form,https://xcuu.jp/contact/,valid,browser_form_iframe,https://xcuu.jp/contact/:browser_form_iframe
73,株式会社バラクーダ,https://barracuda-japan.com,https://barracuda-japan.com/service/lp.php,,unresolved,general_contact_form_unconfirmed,,https://barracuda-japan.com/service/line.php:no_form | https://barracuda-japan.com/service/lp.php:no_form,,unresolved,browser_general_form_unconfirmed,https://barracuda-japan.com/service/line.php:browser_no_form | https://barracuda-japan.com/service/lp.php:browser_no_form
