_row,company_name,url,old_contact_url,resolved_contact_url,contact_state,contact_evidence,page_title,attempts
2,株式会社メディアインパクト,https://www.mediaimpact.co.jp,https://www.mediaimpact.co.jp/contact/,https://www.mediaimpact.co.jp/contact/,valid,html_form:controls=11,ご相談・ご依頼 | 株式会社メディアインパクト | 京都のWeb制作・ブラウザゲーム開発（すごろく、研修ゲーム）,
3,テコハブ株式会社,https://teco-hub.com,https://teco-hub.com/contact/,https://teco-hub.com/contact/,valid,html_form:controls=33,お問い合わせ – テコハブ株式会社,
4,株式会社火燵,https://kotatsu.info,https://kotatsu.info/contact/form/,https://kotatsu.info/contact/form/,valid,html_form:controls=26,お客様専用 お問い合わせフォーム - 株式会社火燵（こたつ）,
5,株式会社モノクロマーケティング,https://monochro-marketing.co.jp,https://monochro-marketing.co.jp/contact/,,unresolved,general_contact_form_unconfirmed,,https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form | https://monochro-marketing.co.jp/contact/:no_form
6,Gastroduce Japan株式会社,https://gastroduce-japan.co.jp,https://gastroduce-japan.co.jp/contact/,https://gastroduce-japan.co.jp/contact/,valid,html_form:controls=9,お問い合わせ - 【ガストロ】食品 EC特化サポートGastroduceJapan株式会社,
7,株式会社UHB,https://uhbank.co.jp,https://uhbank.co.jp/contact/,https://uhbank.co.jp/contact/,valid,html_form:controls=19,お問い合わせ - 株式会社UHB｜千葉県千葉市の求人広告代理店なら｜千葉県千葉市,
8,株式会社ラボーラ・クリエイト,https://lbl-c.com,https://lbl-c.com/form/,https://lbl-c.com/form/,valid,html_form:controls=8,お問い合わせ - 株式会社ラボーラ・クリエイト,
9,株式会社ARISEARISE,https://www.arise-y.com,https://www.arise-y.com/contact,https://www.arise-y.com/contact,valid,html_form:controls=5,Contact | ARISE,
10,株式会社THUMB,https://thumbsup-marketing.com,https://thumbsup-marketing.com/work/docker-workstylereform/,,unresolved,general_contact_form_unconfirmed,,https://thumbsup-marketing.com/work/docker-workstylereform/:no_form
11,株式会社 トゥエルブ,https://twelve-edit.jp,https://twelve-edit.jp/contact,https://twelve-edit.jp/contact,valid,html_form:controls=13,お問い合わせ | 株式会社 トゥエルブ(TWELVE)｜取材／撮影／ 編集・ライティング・コンテンツ制作・WEBディレクション・動画編集｜長野県松本市,
12,株式会社AgentStock,https://www.agentstock.net,https://www.agentstock.net/contact/,https://www.agentstock.net/contact/,valid,html_form:controls=10,CONTACT – Agent Stock,
13,株式会社EIGHTS,https://eightsmarketing.com,https://eightsmarketing.com/contact,https://eightsmarketing.com/contact/,valid,html_form:controls=6,お問い合わせ | 株式会社EIGHTS | 新潟のSNSマーケティング | Meta広告のプロ,
14,株式会社りみぽ,https://kanazawa-rimipo.com,https://kanazawa-rimipo.com/contact/,https://kanazawa-rimipo.com/contact/,valid,html_form:controls=17,お問い合わせ | 北陸（石川・福井・富山）のSNS運用ならりみぽ｜想いを届けるSNSマーケティング,
15,株式会社mood,https://www.mood-inc.jp,https://www.mood-inc.jp/blank-4,https://www.mood-inc.jp/blank-4,valid,html_form:controls=4,CONTACT | Mood Inc.,
