_row,company_name,url,old_contact_url,final_contact_url,state,evidence_or_reason
2,株式会社メディアインパクト,https://www.mediaimpact.co.jp,https://www.mediaimpact.co.jp/contact/,https://www.mediaimpact.co.jp/contact/,valid,html_form:controls=11
3,テコハブ株式会社,https://teco-hub.com,https://teco-hub.com/contact/,https://teco-hub.com/contact/,valid,html_form:controls=33
4,株式会社火燵,https://kotatsu.info,https://kotatsu.info/contact/form/,https://kotatsu.info/contact/form/,valid,html_form:controls=26
5,株式会社モノクロマーケティング,https://monochro-marketing.co.jp,https://monochro-marketing.co.jp/contact/,https://monochro-marketing.co.jp/contact/,valid,browser_form_iframe
6,Gastroduce Japan株式会社,https://gastroduce-japan.co.jp,https://gastroduce-japan.co.jp/contact/,https://gastroduce-japan.co.jp/contact/,valid,html_form:controls=9
7,株式会社UHB,https://uhbank.co.jp,https://uhbank.co.jp/contact/,https://uhbank.co.jp/contact/,valid,html_form:controls=19
8,株式会社ラボーラ・クリエイト,https://lbl-c.com,https://lbl-c.com/form/,https://lbl-c.com/form/,valid,html_form:controls=8
9,株式会社ARISEARISE,https://www.arise-y.com,https://www.arise-y.com/contact,https://www.arise-y.com/contact,valid,html_form:controls=5
10,株式会社THUMB,https://thumbsup-marketing.com,https://thumbsup-marketing.com/work/docker-workstylereform/,,excluded,general_contact_form_unconfirmed
11,株式会社 トゥエルブ,https://twelve-edit.jp,https://twelve-edit.jp/contact,https://twelve-edit.jp/contact,valid,html_form:controls=13
12,株式会社AgentStock,https://www.agentstock.net,https://www.agentstock.net/contact/,https://www.agentstock.net/contact/,valid,html_form:controls=10
13,株式会社EIGHTS,https://eightsmarketing.com,https://eightsmarketing.com/contact,https://eightsmarketing.com/contact/,valid,html_form:controls=6
14,株式会社りみぽ,https://kanazawa-rimipo.com,https://kanazawa-rimipo.com/contact/,https://kanazawa-rimipo.com/contact/,valid,html_form:controls=17
15,株式会社mood,https://www.mood-inc.jp,https://www.mood-inc.jp/blank-4,https://www.mood-inc.jp/blank-4,valid,html_form:controls=4
16,株式会社AandI,https://8-aandi-8.co.jp,https://8-aandi-8.co.jp/contact/,https://8-aandi-8.co.jp/contact/,valid,html_form:controls=12
17,有限会社レディバグ,https://ladybug8.jp,https://ladybug8.jp/contact/,https://docs.google.com/forms/d/e/1FAIpQLScLgFGZ3u92JKg6yR1EDpugtHpYbaHFd_Z37vSsJpTAfcAflQ/viewform?usp=send_form,valid,external_form_open
18,株式会社ラッシュビズ,https://rushbiz.co.jp,https://rushbiz.co.jp/contact,https://rushbiz.co.jp/contact,valid,html_form:controls=12
19,株式会社シロカラ,https://shirokara.co.jp,https://shirokara.co.jp/seo-contact,https://shirokara.co.jp/contact/,valid,html_form:controls=9
20,株式会社モノモード,https://monomode.co.jp,https://monomode.co.jp/contact,https://monomode.co.jp/contact,valid,html_form:controls=26
21,株式会社エイチ・エル・シー,https://humanlink.biz,https://humanlink.biz/contact/,https://humanlink.biz/contact/,valid,html_form:controls=13
22,株式会社クイック福岡,https://quickfukuoka.com,https://quickfukuoka.com/contact/,https://quickfukuoka.com/contact/,valid,html_form:controls=9
23,株式会社エターナル,http://eternal-inc.jp,http://eternal-inc.jp/work/work_l/,http://eternal-inc.jp/renraku/,valid,html_form:controls=9
24,合同会社ディーパス,https://d-pass.jp,https://d-pass.jp/contact/,https://d-pass.jp/contact/,valid,html_form:controls=4
25,株式会社Anyglo,https://anyglo.co.jp,https://anyglo.co.jp/contact/,https://anyglo.co.jp/contact/,valid,html_form:controls=10
26,WEBブランド戦略Arts株式会社,https://arts-web.co.jp,https://arts-web.co.jp,,excluded,general_contact_form_unconfirmed
27,SATORI株式会社,https://www.marketing-unit.jp,https://www.marketing-unit.jp/contact/online/,,excluded,general_contact_form_unconfirmed
28,株式会社DEEM,https://deem.co.jp,https://deem.co.jp/contact-3/,,excluded,general_contact_form_unconfirmed
29,株式会社アビリブベトナム,https://www.abilive.vn,https://www.abilive.vn/contact/,https://www.abilive.vn/contact/,valid,html_form:controls=8
30,株式会社 GACO,https://www.gaco.jp,https://www.gaco.jp/contact,https://www.gaco.jp/contact,valid,html_form:controls=4
31,株式会社ワールドチェンジアナリシス,https://wca11.net,https://wca11.net/contact-2/,https://wca11.net/contact-2/,valid,html_form:controls=28
32,株式会社アイ・ステップ,https://www.istepkanazawa.co.jp,https://www.istepkanazawa.co.jp/lightning-ja/contact/,,excluded,general_contact_form_unconfirmed
33,合同会社ガーベン,https://gaben.co.jp,https://gaben.co.jp/contact,https://gaben.co.jp/contact/,valid,html_form:controls=9
34,株式会社メディ・プランニング,https://i-m-c.biz,https://i-m-c.biz/contact-01/,https://i-m-c.biz/contact-01/,valid,html_form:controls=8
35,デジマール株式会社,https://digimarl.com,https://digimarl.com/contact/,https://digimarl.com/service/hubspot/,valid,external_form_open
36,カンパーニュ株式会社,https://campagne.life,https://campagne.life/contact/,https://campagne.life/contact,valid,html_form:controls=6
37,株式会社ROC,https://www.rocinc.co.jp,https://www.rocinc.co.jp/contact/,https://www.rocinc.co.jp/contact/,valid,html_form:controls=10
38,株式会社バオリン,https://baolinh.co.jp,https://baolinh.co.jp/contact/,https://baolinh.co.jp/contact/,valid,html_form:controls=5
39,株式会社SBMコンサルティング,https://sbmconsul.co.jp,https://sbmconsul.co.jp/sogyoyushi/contact/,https://sbmconsul.co.jp/contact/,valid,html_form:controls=13
40,ONEDAYS株式会社,https://onedays.co.jp,https://onedays.co.jp#inquiry,https://onedays.co.jp/,valid,html_form:controls=7
41,株式会社NOVASTRA,https://novastra.co.jp,https://novastra.co.jp/contact/,https://novastra.co.jp/contact/,valid,html_form:controls=11
42,株式会社BELL,https://bell-co.jp,https://bell-co.jp/contact/,https://bell-co.jp/contact/,valid,html_form:controls=7
43,スタジオコンチーゴ株式会社,https://www.nihon-aiken.jp,https://www.nihon-aiken.jp/form/inquiry,https://www.nihon-aiken.jp/form/inquiry,valid,html_form:controls=14
