company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分,検出ワード
株式会社メディアインパクト,https://www.mediaimpact.co.jp,京都市 甲斐守町９７ 2F,075-406-1349,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2%E3%82%A4%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88/data=!4m7!3m6!1s0x60010876358172a5:0xdf92be212ccb0b20!8m2!3d35.0248989!4d135.7533519!16s%2Fg%2F1hc3vfmkq!19sChIJpXKBNXYIAWARIAvLLCG-kt8?authuser=0&hl=ja&rclk=1,https://www.mediaimpact.co.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS広告 / SNS運用
テコハブ株式会社,https://teco-hub.com,熊本市 迎町１丁目４−１４ 石橋ビル 202,096-240-3217,https://www.google.com/maps/place/%E3%83%86%E3%82%B3%E3%83%8F%E3%83%96%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/data=!4m7!3m6!1s0x3540f391f05d9909:0x7f1e13b0ca741e43!8m2!3d32.7915759!4d130.7020472!16s%2Fg%2F11gy68bjph!19sChIJCZld8JHzQDURQx50yrATHn8?authuser=0&hl=ja&rclk=1,https://teco-hub.com/contact/,,,,,,,,,SNS運用・SNS広告,インスタグラム運用代行 / インスタグラム運用 / YouTube運用代行
株式会社火燵,https://kotatsu.info,〒112-0004 東京都文京区後楽2,03-6822-5629,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E7%81%AB%E7%87%B5%EF%BC%88%E3%81%93%E3%81%9F%E3%81%A4%EF%BC%89/data=!4m7!3m6!1s0x3553df2edcde018b:0x23b2f422502e40b!8m2!3d34.2981109!4d133.8349974!16s%2Fg%2F11_rqby07!19sChIJiwHe3C7fUzURC-QCJUIvOwI?authuser=0&hl=ja&rclk=1,https://kotatsu.info/contact/form/,,,,,,,,,SNS運用・SNS広告,SNS運用 / TikTok運用代行 / TikTok運用
株式会社モノクロマーケティング,https://monochro-marketing.co.jp,横浜市 金港町5−１４ クアドリフォリオ 8階,050-1807-1567,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%A2%E3%83%8E%E3%82%AF%E3%83%AD%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0/data=!4m7!3m6!1s0x60185de03f299fed:0x13b4c8bcb902eaaa!8m2!3d35.4681882!4d139.625026!16s%2Fg%2F11x2xfgdjy!19sChIJ7Z8pP-BdGGARquoCubzItBM?authuser=0&hl=ja&rclk=1,https://monochro-marketing.co.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用 / SNS広告
Gastroduce Japan株式会社,https://gastroduce-japan.co.jp,〒812-0027 福岡県福岡市博多区下川端町１,092-292-3104,https://www.google.com/maps/place/%E9%A3%9F%E5%93%81EC%E7%89%B9%E5%8C%96%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88-GastroduceJapan%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE/data=!4m7!3m6!1s0x354191efd81fd4b3:0xc49c013df286e6ac!8m2!3d33.5862907!4d130.4177899!16s%2Fg%2F11vjkz2svf!19sChIJs9Qf2O-RQTURrOaG8j0BnMQ?authuser=0&hl=ja&rclk=1,https://gastroduce-japan.co.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用 / SNS広告
株式会社UHB,https://uhbank.co.jp,千葉市 中央３丁目９−９ エレル千葉中央ビル ３階,043-306-5001,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEUHB/data=!4m7!3m6!1s0x602284cb20e2ac25:0xaf956808bff0a656!8m2!3d35.6087251!4d140.1242477!16s%2Fg%2F11c58qzdg7!19sChIJJaziIMuEImARVqbwvwhola8?authuser=0&hl=ja&rclk=1,https://uhbank.co.jp/contact/,,,,,,,,,SNS運用・SNS広告,SNSアカウント運用 / SNS運用
株式会社ラボーラ・クリエイト,https://lbl-c.com,〒980-0021 宮城県仙台市青葉区中央4,050-6883-9320,,https://lbl-c.com/form/,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用
株式会社ARISEARISE,https://www.arise-y.com,〒990-0064 山形県山形市和合町2,023-674-0902,,https://www.arise-y.com/contact,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング
株式会社 トゥエルブ,https://twelve-edit.jp,〒390-0811 長野県松本市中央1,0263-87-1205,,https://twelve-edit.jp/contact,,,,,,,,,SNS運用・SNS広告,SNS運用
株式会社AgentStock,https://www.agentstock.net,〒929-1314 石川県羽咋郡宝達志水町紺屋町ホ3,080-8992-0222,,https://www.agentstock.net/contact/,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用代行
