"company_name","url","address","phone","maps_url","area_hint","query"
"ＪＵＮ代行","https://www.jun-daikou.com/","つくば市 大角豆２０１２−７５８","029-858-2300","https://www.google.com/maps/place/%EF%BC%AA%EF%BC%B5%EF%BC%AE%E4%BB%A3%E8%A1%8C/data=!4m7!3m6!1s0x602273284a215c59:0xaec3546d9be2a8c2!8m2!3d36.048591!4d140.140697!16s%2Fg%2F1tcvj63_!19sChIJWVwhSihzImARwqjim21Uw64?authuser=0&hl=ja&rclk=1","つくば市","つくば市 SNS運用代行会社"
"運転代行安心","http://daikou-ansin.com/","川崎市 下新城２丁目３−２３ ドリームハウス","0120-850-200","https://www.google.com/maps/place/%E9%81%8B%E8%BB%A2%E4%BB%A3%E8%A1%8C%E5%AE%89%E5%BF%83/data=!4m7!3m6!1s0x6018f595f4c58d81:0xe98c8a8447473c!8m2!3d35.577571!4d139.633775!16s%2Fg%2F1tftl7q4!19sChIJgY3F9JX1GGARPEdHhIqM6QA?authuser=0&hl=ja&rclk=1","川崎市","川崎市 SNS運用代行会社"
"N代行 岡崎","http://n-daikou.com/","岡崎市 橋目町竹之内５９−１ C号","090-2570-2313","https://www.google.com/maps/place/N%E4%BB%A3%E8%A1%8C+%E5%B2%A1%E5%B4%8E/data=!4m7!3m6!1s0x6004a3304d741263:0x5738adcfbdb3b12d!8m2!3d34.9814128!4d137.1391778!16s%2Fg%2F11xmzb7k3s!19sChIJYxJ0TTCjBGARLbGzvc-tOFc?authuser=0&hl=ja&rclk=1","岡崎市","岡崎市 SNS運用代行会社"
"運転代行の中日本サービス","https://nakanihon-service.com/","岡崎市 井田南町９−４","0564-25-3600","https://www.google.com/maps/place/%E9%81%8B%E8%BB%A2%E4%BB%A3%E8%A1%8C%E3%81%AE%E4%B8%AD%E6%97%A5%E6%9C%AC%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/data=!4m7!3m6!1s0x6004a2c45f695f5d:0xe537e51f999a5f0e!8m2!3d34.9741664!4d137.16295!16s%2Fg%2F1tmxfhqk!19sChIJXV9pX8SiBGARDl-amR_lN-U?authuser=0&hl=ja&rclk=1","岡崎市","岡崎市 SNS運用代行会社"
"運転代行 葉山","https://department-of-transportation-155.business.site/","石巻市 須江しらさぎ台３丁目17番地4","090-9831-9838","https://www.google.com/maps/place/%E9%81%8B%E8%BB%A2%E4%BB%A3%E8%A1%8C+%E8%91%89%E5%B1%B1/data=!4m7!3m6!1s0x5f89a1fdbb21733f:0xcef82d21944cb81c!8m2!3d38.463715!4d141.2451227!16s%2Fg%2F11hzm4qz_j!19sChIJP3Mhu_2hiV8RHLhMlCEt-M4?authuser=0&hl=ja&rclk=1","石巻市","石巻市 SNS運用代行"
"１００えん代行本店","https://100yen-daikou.jp/","松本市 島立６３８−３","090-5303-2468","https://www.google.com/maps/place/%EF%BC%91%EF%BC%90%EF%BC%90%E3%81%88%E3%82%93%E4%BB%A3%E8%A1%8C%E6%9C%AC%E5%BA%97/data=!4m7!3m6!1s0x601d0f65b590afdb:0x76a190cd4b50ef5a!8m2!3d36.2359136!4d137.9487267!16s%2Fg%2F11x85gn0jx!19sChIJ26-QtWUPHWARWu9QS82QoXY?authuser=0&hl=ja&rclk=1","松本市","松本市 SNS運用代行"
"中信運転代行","https://www.chushin-untendaikou.com/","松本市 野溝東１丁目５−４４","0120-263-290","https://www.google.com/maps/place/%E4%B8%AD%E4%BF%A1%E9%81%8B%E8%BB%A2%E4%BB%A3%E8%A1%8C/data=!4m7!3m6!1s0x601d0fa97a118d01:0x95905fa2d353f0f0!8m2!3d36.201066!4d137.9585653!16s%2Fg%2F1v3khl95!19sChIJAY0ReqkPHWAR8PBT06JfkJU?authuser=0&hl=ja&rclk=1","松本市","松本市 SNS運用代行"
"オレンジ運転代行","https://www.orangedesignateddriverservice.com/","春日井市 東野町５丁目12番地12","0568-50-2670","https://www.google.com/maps/place/%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%E9%81%8B%E8%BB%A2%E4%BB%A3%E8%A1%8C/data=!4m7!3m6!1s0x60036d15712425df:0xfce4c5bb5a63711b!8m2!3d35.2677653!4d136.9892341!16s%2Fg%2F11fs4_yzb_!19sChIJ3yUkcRVtA2ARG3FjWrvF5Pw?authuser=0&hl=ja&rclk=1","春日井市","春日井市 SNS運用代行"
"ドライバーズ愛知 名古屋尾張支店","http://drivers-nagoya.com/","春日井市 鳥居松町２丁目２３８","0120-557-879","https://www.google.com/maps/place/%E3%83%89%E3%83%A9%E3%82%A4%E3%83%90%E3%83%BC%E3%82%BA%E6%84%9B%E7%9F%A5+%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B0%BE%E5%BC%B5%E6%94%AF%E5%BA%97/data=!4m7!3m6!1s0x6003721b5cc5f769:0x9e477b70aa7e198b!8m2!3d35.2425463!4d136.9697865!16s%2Fg%2F11vwdwcm8_!19sChIJaffFXBtyA2ARixl-qnB7R54?authuser=0&hl=ja&rclk=1","春日井市","春日井市 SNS運用代行"
"刈谷代行","https://daikonavi.com/aichi/t012158/","刈谷市 若松町３丁目9番地 YFBLD3階","070-2164-7000","https://www.google.com/maps/place/%E5%88%88%E8%B0%B7%E4%BB%A3%E8%A1%8C/data=!4m7!3m6!1s0x60049dcf3c96849b:0xb274dd5b264c965!8m2!3d34.9877214!4d137.0070004!16s%2Fg%2F11n0dvwnzf!19sChIJm4SWPM-dBGARZclkstVNJws?authuser=0&hl=ja&rclk=1","刈谷市","刈谷市 SNS運用代行"
"エヌ･エス㈱ 旭川支店","http://www.ns-es.com/","旭川市 忠和５条７丁目３−１８","0166-62-1911","https://www.google.com/maps/place/%E3%82%A8%E3%83%8C%EF%BD%A5%E3%82%A8%E3%82%B9%E3%88%B1+%E6%97%AD%E5%B7%9D%E6%94%AF%E5%BA%97/data=!4m7!3m6!1s0x5f0cef561cc2a537:0x41153b4e58244fbd!8m2!3d43.7708529!4d142.3244607!16s%2Fg%2F1xfsnk2m!19sChIJN6XCHFbvDF8RvU8kWE47FUE?authuser=0&hl=ja&rclk=1","旭川市","旭川市 SNSマーケティング会社"
"旭川地域情報ポータルサイト""いいあさひかわ""｜㈱ニムリス","http://www.nmrs.jp/","旭川市 本町３丁目４３７−２７５","0166-59-5555","https://www.google.com/maps/place/%E6%97%AD%E5%B7%9D%E5%9C%B0%E5%9F%9F%E6%83%85%E5%A0%B1%E3%83%9D%E3%83%BC%E3%82%BF%E3%83%AB%E3%82%B5%E3%82%A4%E3%83%88%22%E3%81%84%E3%81%84%E3%81%82%E3%81%95%E3%81%B2%E3%81%8B%E3%82%8F%22%EF%BD%9C%E3%88%B1%E3%83%8B%E3%83%A0%E3%83%AA%E3%82%B9/data=!4m7!3m6!1s0x5f0ce5d9477ab393:0x491f97edc8d1ad70!8m2!3d43.7817089!4d142.35785!16s%2Fg%2F1tct8j4s!19sChIJk7N6R9nlDF8RcK3RyO2XH0k?authuser=0&hl=ja&rclk=1","旭川市","旭川市 SNSマーケティング会社"
"ランドリーム俱楽部","https://www.laundream.co.jp/membership","旭川市 ７条通５丁目２５００−７７","0166-68-5121","https://www.google.com/maps/place/%E3%83%A9%E3%83%B3%E3%83%89%E3%83%AA%E3%83%BC%E3%83%A0%E4%BF%B1%E6%A5%BD%E9%83%A8/data=!4m7!3m6!1s0xa50fc5b04bc42c4b:0x20cef8a5d759ac2e!8m2!3d43.7739769!4d142.3591626!16s%2Fg%2F11zcvwx1xc!19sChIJSyzES7DFD6URLqxZ16X4ziA?authuser=0&hl=ja&rclk=1","旭川市","旭川市 SNSマーケティング会社"
"マークネクスト㈱","http://www.h-maneki.net/","函館市 桔梗町３７９−２７","0138-84-1231","https://www.google.com/maps/place/%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%8D%E3%82%AF%E3%82%B9%E3%83%88%E3%88%B1/data=!4m7!3m6!1s0x5f9ef793ee61e987:0xbefb2a6cd095dcb8!8m2!3d41.8376306!4d140.731821!16s%2Fg%2F11qg0f6p28!19sChIJh-lh7pP3nl8RuNyV0Gwq-74?authuser=0&hl=ja&rclk=1","函館市","函館市 SNSマーケティング会社"
"㈱S 函館支社","http://s12.co.jp/","函館市 五稜郭町１−１４ 五稜郭114ビル 7F・8F","0120-030-561","https://www.google.com/maps/place/%E3%88%B1S+%E5%87%BD%E9%A4%A8%E6%94%AF%E7%A4%BE/data=!4m7!3m6!1s0x5f9ef5f919ce0827:0x375ae300ba6c66b1!8m2!3d41.7925261!4d140.7513483!16s%2Fg%2F11f62stl2f!19sChIJJwjOGfn1nl8RsWZsugDjWjc?authuser=0&hl=ja&rclk=1","函館市","函館市 SNSマーケティング会社"
"株式会社MSK 盛岡営業所","https://mskweb.net/company/","盛岡市 内丸６−１５ 3階 302号","019-656-0672","https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEMSK+%E7%9B%9B%E5%B2%A1%E5%96%B6%E6%A5%AD%E6%89%80/data=!4m7!3m6!1s0x5f85771275283113:0xb9a2210b63b5b497!8m2!3d39.7023253!4d141.1507885!16s%2Fg%2F11xl64y28j!19sChIJEzEodRJ3hV8Rl7S1Ywshork?authuser=0&hl=ja&rclk=1","盛岡市","盛岡市 SNSマーケティング会社"
"㈱エヌエスシー 盛岡事業所","http://www.nsc-inc.co.jp/","盛岡市 盛岡駅前北通４−９","019-653-0777","https://www.google.com/maps/place/%E3%88%B1%E3%82%A8%E3%83%8C%E3%82%A8%E3%82%B9%E3%82%B7%E3%83%BC+%E7%9B%9B%E5%B2%A1%E4%BA%8B%E6%A5%AD%E6%89%80/data=!4m7!3m6!1s0x5f8576305d67174b:0xcee06dc14532dde3!8m2!3d39.7040589!4d141.1355199!16s%2Fg%2F1ptxqtc9s!19sChIJSxdnXTB2hV8R490yRcFt4M4?authuser=0&hl=ja&rclk=1","盛岡市","盛岡市 SNSマーケティング会社"
"㈱SST","http://www.sst-ltd.co.jp/","仙台市 中央２丁目８−１３","022-355-7945","https://www.google.com/maps/place/%E3%88%B1SST/data=!4m7!3m6!1s0x5f8a281c329ee467:0xf1df6e63157d3533!8m2!3d38.2617486!4d140.8748121!16s%2Fg%2F1tm887jh!19sChIJZ-SeMhwoil8RMzV9FWNu3_E?authuser=0&hl=ja&rclk=1","仙台市","仙台市 SNSマーケティング会社"
"エヌエス・テック株式会社 秋田事業所","https://www.nstec.co.jp/","秋田市 東通３丁目１−６ プラザワイズ 101号室","018-884-0145","https://www.google.com/maps/place/%E3%82%A8%E3%83%8C%E3%82%A8%E3%82%B9%E3%83%BB%E3%83%86%E3%83%83%E3%82%AF%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE+%E7%A7%8B%E7%94%B0%E4%BA%8B%E6%A5%AD%E6%89%80/data=!4m7!3m6!1s0x5f8fc31c0897c399:0x350433afce105dac!8m2!3d39.7171276!4d140.1416933!16s%2Fg%2F11f9zr889_!19sChIJmcOXCBzDj18RrF0Qzq8zBDU?authuser=0&hl=ja&rclk=1","秋田市","秋田市 SNSマーケティング会社"
"㈱CNS 秋田営業所","https://www.cns-s.biz/company-1","秋田市 泉北４丁目６−１","018-893-3941","https://www.google.com/maps/place/%E3%88%B1CNS+%E7%A7%8B%E7%94%B0%E5%96%B6%E6%A5%AD%E6%89%80/data=!4m7!3m6!1s0x5f8fc2ad3c9ea8cd:0x144a11cbc74b5924!8m2!3d39.7361546!4d140.1133894!16s%2Fg%2F11s0sv1qmv!19sChIJzaiePK3Cj18RJFlLx8sRShQ?authuser=0&hl=ja&rclk=1","秋田市","秋田市 SNSマーケティング会社"
"株式会社スプリングス","http://springs-web.co.jp/","山形市 流通センター２丁目３","023-679-3360","https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B9%E3%83%97%E3%83%AA%E3%83%B3%E3%82%B0%E3%82%B9/data=!4m7!3m6!1s0x5f8bc8e5cb5d8513:0x495949cab48fca37!8m2!3d38.2899858!4d140.3557637!16s%2Fg%2F11kfjrhp9h!19sChIJE4Vdy-XIi18RN8qPtMpJWUk?authuser=0&hl=ja&rclk=1","山形市","山形市 SNSマーケティング会社"
"SKソリューションズ","http://sk-solutions.org/","山形市 西田１丁目１２−１０","","https://www.google.com/maps/place/SK%E3%82%BD%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%BA/data=!4m7!3m6!1s0x5f8bb626414a2d15:0x7842a02871dced25!8m2!3d38.2643223!4d140.3190672!16s%2Fg%2F11gd39vjgf!19sChIJFS1KQSa2i18RJe3ccSigQng?authuser=0&hl=ja&rclk=1","山形市","山形市 SNSマーケティング会社"
