_row,removal_reason,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分,検出ワード,resolved_name,name_source,name_source_url,name_state,name_reason
14,blank_contact_url,株式会社西村,https://24mura.co.jp,福岡市 大名２丁目１−１３ 3F,092-260-5424,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E8%A5%BF%E6%9D%91/data=!4m7!3m6!1s0x354191872bf83d09:0x60c33f077442930f!8m2!3d33.5883521!4d130.3950766!16s%2Fg%2F11j13lyhp8!19sChIJCT34K4eRQTURD5NCdAc_w2A?authuser=0&hl=ja&rclk=1,,,,,,,,,,SNS運用・SNS広告,SNSマーケティング / SNS広告,,,,skip,blank_contact_url
38,blank_contact_url,株式会社AQUA,https://aqua-715.com,〒552-0007 大阪府大阪市港区弁天1,080-6126-3556,,,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作 / ブランディング,,,,skip,blank_contact_url
39,blank_contact_url,ADK Digital Operations Inc,https://adk-digital-operations.jp,〒031-0042 青森県八戸市十三日町1,,,,,,,,,,,,Web広告・デジタル集客,デジタルマーケティング / インターネット広告 / 広告運用,,,,skip,blank_contact_url
42,blank_contact_url,Win Win Line株式会社,https://winwinline.net,〒455-0822 愛知県名古屋市港区甚兵衛通3,052-383-5600,,,,,,,,,,,Web制作・クリエイティブ,ホームページ制作 / ブランディング,,,,skip,blank_contact_url
68,blank_contact_url,株式会社ヒトクセ,https://hitokuse.com,〒160-0023 東京都新宿区西新宿 六丁目,03-6279-4421,,,,,,,,,,,SNS運用・SNS広告,SNSマーケティング,,,,skip,blank_contact_url
108,blank_contact_url,A Inc,https://acetokyo.com,〒150-6139 東京都渋谷区渋谷2,,,,,,,,,,,,Web広告・デジタル集客,Web広告 / 広告運用,,,,skip,blank_contact_url
109,blank_contact_url,株式会社エムペグ,https://www.m-peg.net,〒213-0015 神奈川県川崎市高津区 梶ヶ谷2,070-2654-7944,,,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / TikTok運用,,,,skip,blank_contact_url
112,blank_contact_url,株式会社オメリージャパン,https://omerry-sns.jp,〒221-0052 神奈川県横浜市神奈川区栄町5,045-900-9715,,,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用,,,,skip,blank_contact_url
119,blank_contact_url,エントランス株式会社,https://entrance.jpn.com,〒418-0014 静岡県富士宮市富士見ヶ丘1,0544-29-6643,,,,,,,,,,,Web広告・デジタル集客,Webマーケティング / Web広告,,,,skip,blank_contact_url
133,blank_contact_url,株式会社元倶楽部,https://moto-club.jp,〒336-0025 埼玉県さいたま市南区文蔵 ４,048-606-3504,,,,,,,,,,,Web制作・クリエイティブ,動画制作 / 映像制作 / ブランディング,,,,skip,blank_contact_url
135,blank_contact_url,株式会社Ａｍｐｌａｎ（アンプラン,https://amplan.jp,〒327-0844 栃木県佐野市富岡町1,0283-55-8151,,,,,,,,,,,SNS運用・SNS広告,インスタグラム運用,,,,skip,blank_contact_url
141,blank_contact_url,株式会社東京写真工房,https://tokyo-shashin-kobo.jp,〒111-0051 東京都台東区蔵前4,03-3862-9969,,,,,,,,,,,Web制作・クリエイティブ,動画制作,,,,skip,blank_contact_url
168,blank_contact_url,株式会社Genome,https://genome-factory.com,〒460-0011 愛知県名古屋市中区大須２,,,,,,,,,,,,SNS運用・SNS広告,SNS運用代行 / SNS運用,,,,skip,blank_contact_url
