company_name,url,address,phone,maps_url,service_evidence,pages_checked,affinity_grade,affinity_score,local_hits,competitor_hits
Aidma Holdings Inc. All Rights Reserved.,https://kei-do.com,〒141-0021 東京都 品川区上大崎 2,03-6455-7935,,SNS運用支援 / Instagram運用 / SNS運用 / SNSマーケティング,https://kei-do.com/interview2/02737/ | https://kei-do.com/interview2/company_size/company-size01/ | https://kei-do.com/interview2/company_size/company-size02/ | https://kei-do.com/interview2/sector/sector04/,A,18,67,0
オーパスプラン有限会社,https://opus-plan.net,〒020-8507 岩手県盛岡市清水町１,,,SNS運用代行,https://opus-plan.net/area/iwate/ | https://opus-plan.net/aboutus/ | https://opus-plan.net/services/,A,18,6,7
運営: 株式会社ユウスタイル,https://ibaraki-yorozu.com,〒101-0026 東京都千代田区神田佐久間河岸4,050-7117-9318,,SNS platform + operation service,https://ibaraki-yorozu.com/company.html | https://ibaraki-yorozu.com/ | https://ibaraki-yorozu.com/contact.html,A,18,31,0
株式会社ディーアイシー,https://www.d-ic.com,〒373-0026 群馬県太田市東本町2,0276-60-5440,,SNS platform + operation service,https://www.d-ic.com/service | https://www.d-ic.com/company | https://www.d-ic.com/service/home-page | https://www.d-ic.com/service/renewal,A,18,26,0
LINEヤフー株式会社が認定する,https://line-sm.com,〒261-8550 千葉県千葉市美浜区中瀬2,043-296-0001,,SNS platform + operation service,https://line-sm.com/news/20241011.html | https://line-sm.com/about.html | https://line-sm.com/contact/,A,18,9,0
Curiver Inc.,https://curiver.com,〒329-1305 栃木県さくら市狭間田1,,,SNS運用 / SNS運用代行,https://curiver.com/service/ | https://curiver.com/service/seo/ | https://curiver.com/service/sns/ | https://curiver.com/service/web-marketing/,A,18,10,0
"2026 Influencerforce, Inc. All rights reserved.",https://lp.influencerforce.me,〒140-0002 東京都品川区東品川2,,,SNSマーケティング,https://lp.influencerforce.me/%E8%A4%87%E8%A3%BD-%E3%83%9B%E3%83%BC%E3%83%A0 | https://lp.influencerforce.me/%E8%A4%87%E8%A3%BD-%E3%83%9B%E3%83%BC%E3%83%A0 | https://lp.influencerforce.me/%E8%A4%87%E8%A3%BD-%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81 | https://lp.influencerforce.me/,A,18,4,0
商号 株式会社EXIDEA （英文表記：EXIDEA Inc.）,https://cine-mato.com,〒104-0061 東京都中央区銀座一丁目,03-5579-9934,,SNS platform + operation service,https://cine-mato.com/company/ | https://cine-mato.com/service/ | https://cine-mato.com/service/service-promotional-videos/ | https://cine-mato.com/service/webcm/,A,18,5,0
"CREATIVEHOPE, INC. All rights reserved.",https://www.creativehope.co.jp,〒160-0023 東京都 新宿区 西新宿7,,,SNS platform + operation service,https://www.creativehope.co.jp/service/hubspot_line | https://www.creativehope.co.jp/company/aboutus/ | https://www.creativehope.co.jp/company/ | https://www.creativehope.co.jp/recruit/,A,18,10,0
ソラノデザイン合同会社,https://kanazawa-homepage.jp,〒920-0852 石川県金沢市此花町5,050-6883-9715,,SNSマーケティング,https://kanazawa-homepage.jp/column/column-367/ | https://kanazawa-homepage.jp/service/ | https://kanazawa-homepage.jp/contact/ | https://kanazawa-homepage.jp/web%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/,A,18,8,1
s © UNIIDEO inc. all rights reserved.,https://uniideo.com,〒153-0042 東京都目黒区青葉台1,03-6712-7958,,Instagram運用,https://uniideo.com/fiveuniideo/ | https://uniideo.com/about/message/ | https://uniideo.com/about/team/ | https://uniideo.com/about/member/,A,18,81,0
株式会社シーエムエー,https://www.akindo2000.net,〒430-7715 静岡県浜松市中央区板屋町1,053-459-1510,,SNS platform + operation service,https://www.akindo2000.net/internetad/ | https://www.akindo2000.net/internetad/partner-support.php | https://www.akindo2000.net/company/ | https://www.akindo2000.net/company/about.php,A,18,9,0
株式会社cantik,https://cantik.co.jp,〒252-0314 神奈川県相模原市南区南台5,080-7084-3102,,SNS運用 / SNS運用代行 / SNSマーケティング,https://cantik.co.jp/areas/shizuoka/ | https://cantik.co.jp/about/ | https://cantik.co.jp/contact/ | https://cantik.co.jp/contact/?service=web,A,18,97,17
合同会社ジェイライン,https://www.jdoga.net,〒380-0803 長野県長野市三輪2,026-252-5540,,SNS platform + operation service,https://www.jdoga.net/company/outline/ | https://www.jdoga.net/service/ | https://www.jdoga.net/service/ai-cm/ | https://www.jdoga.net/service/live/,A,18,4,0
株式会社インフォデザイン,https://info-de.co.jp,〒451-0042 愛知県名古屋市西区那古野2,050-3717-0758,,SNS platform + operation service,https://info-de.co.jp/service/contentsmarketingsupport.html | https://info-de.co.jp/service/pr_services.html | https://info-de.co.jp/About_us.html | https://info-de.co.jp/contact.html,A,18,10,0
株式会社グッドラフ,https://goodlaugh.co.jp,〒651-0087 兵庫県神戸市中央区御幸通２,,,SNS platform + operation service,https://goodlaugh.co.jp/about/ | https://goodlaugh.co.jp/contact/ | https://goodlaugh.co.jp/contact/ | https://goodlaugh.co.jp/access/,A,18,9,2
