company_name,url,address,phone,maps_url,service_evidence,pages_checked
プライバシーポリシー,https://www.lycorp.co.jp/ja/company/privacypolicy/,〒102-8282 東京都千代田区紀尾井町1,,,SNS platform + operation service,https://www.lycorp.co.jp/ja/company/privacypolicy/ | https://www.lycorp.co.jp/ja/company/ | https://www.lycorp.co.jp/en/company/privacypolicy/ | https://www.lycorp.co.jp/ko/company/privacypolicy/
飲食 事業,https://graphic-hd.co.jp/business/food/,〒060-0032 北海道札幌市中央区北2,011-200-1100,,SNS platform + operation service,https://graphic-hd.co.jp/business/food/ | https://graphic-hd.co.jp/corporate/message/ | https://graphic-hd.co.jp/corporate/message/ | https://graphic-hd.co.jp/corporate/philosophy/
株式 会社 ミルコム,https://www.faaj.or.jp/adviser/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%9F%E3%83%AB%E3%82%B3%E3%83%A0/,〒105-0022 東京都港区海岸1,011-881-1326,,SNS platform + operation service,https://www.faaj.or.jp/adviser/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%9F%E3%83%AB%E3%82%B3%E3%83%A0/ | https://www.faaj.or.jp/outline/ | https://www.faaj.or.jp/about/
札幌 ・仙台でホームページ制作・作成なら、株式会社MIRAIZUへ,https://www.miraizu-inc.jp/about/,〒060-0004 北海道札幌市中央区北４,050-5897-0413,,SNS platform + operation service,https://www.miraizu-inc.jp/about/ | https://www.miraizu-inc.jp/contact/ | https://www.miraizu-inc.jp/company/ | https://www.miraizu-inc.jp/contact
ホームページ制作（オリジナルプラン）,https://www.visca-hp.jp/homepage-design/original/,〒160-0022 東京都新宿区新宿 6,0120-12-7716,,SNS platform + operation service,https://www.visca-hp.jp/homepage-design/original/ | https://www.visca-hp.jp/homepage-design/ | https://www.visca-hp.jp/web-marketing/ | https://www.visca-hp.jp/web-marketing/seo/
医院盛業支援サービス,https://hhd-mp.com/service/doctor/consulting/,〒101-0044 東京都千代田区鍛冶町1,011-200-7555,,SNS platform + operation service,https://hhd-mp.com/service/doctor/consulting/ | https://hhd-mp.com/company/ | https://hhd-mp.com/company/about/ | https://hhd-mp.com/company/history/
会社案内,https://replan.co.jp/about,〒983-0036 宮城県仙台市宮城野区苦竹3,011-641-7855,,SNS platform + operation service,https://replan.co.jp/about | https://replan.co.jp/about | https://replan.co.jp/contact | https://replan.co.jp/contact-ad
(株)GENOVA【東証プライム上場】・スマート クリニック コース,https://job.mynavi.jp/28/pc/search/corp262718/outline.html,〒150-8510 東京都渋谷区渋谷2,03-5774-0325,,SNS platform + operation service,https://job.mynavi.jp/28/pc/search/corp262718/outline.html | https://job.mynavi.jp/28/pc/search/corp1621/outline.html?func=corpinfo | https://job.mynavi.jp/28/pc/search/corp64879/outline.html?func=corpinfo | https://job.mynavi.jp/28/pc/search/corp285108/outline.html?func=corpinfo
「選ばれる理由」を再定義せよ 工務店 ブランディング 成功企業 ...,https://sumus-inc.co.jp/seminars/6524,〒105-0014 東京都港区芝3,03-4405-6686,,SNS運用,https://sumus-inc.co.jp/seminars/6524 | https://sumus-inc.co.jp/contact/ | https://sumus-inc.co.jp/about/ | https://sumus-inc.co.jp/services/
合同 会社 アズーロ,https://azzuro.jp/,〒060-0062 北海道札幌市中央区南2,,,SNS platform + operation service,https://azzuro.jp/
株式 会社 DGコミュニケーションズのご進出が決定しました。,https://www4.city.sapporo.jp/invest/information/20180201.php,〒100-0006 東京都千代田区有楽町2,011-211-2362,,SNS platform + operation service,https://www4.city.sapporo.jp/invest/information/20180201.php
About-us,https://www.doukoubussan.jp/about-us,〒064-0806 北海道札幌市中央区南六条西1,011-561-3399,,SNS platform + operation service,https://www.doukoubussan.jp/about-us | https://www.doukoubussan.jp/contact
