company_name,url,address,phone,maps_url,service_evidence,pages_checked,affinity_grade,affinity_score,local_hits,competitor_hits
Aidma Holdings Inc. All Rights Reserved.,https://biz-maps.com,〒062-0053 北海道札幌市豊平区月寒東三条1,,,SNS広告運用,https://biz-maps.com/s/prefs/1/b-inds/55 | https://biz-maps.com/contact,A,18,15,0
2023 one purpose inc.,https://onepurpose-pr.com,〒231-0021 神奈川県横浜市中区日本大通3,,,SNS platform + operation service,https://onepurpose-pr.com/profile/ | https://onepurpose-pr.com/company/ | https://onepurpose-pr.com/company/related-companies/ | https://onepurpose-pr.com/contact/,A,18,4,0
オーパスプラン有限会社,https://opus-plan.net,〒020-8507 岩手県盛岡市清水町１,,,SNS運用代行,https://opus-plan.net/area/iwate/ | https://opus-plan.net/aboutus/ | https://opus-plan.net/services/,A,18,6,7
株式会社ディーアイシー,https://www.d-ic.com,〒373-0026 群馬県太田市東本町2,0276-60-5440,,SNS platform + operation service,https://www.d-ic.com/works/6860 | https://www.d-ic.com/company | https://www.d-ic.com/service | https://www.d-ic.com/service/home-page,A,18,20,0
Lamplan Inc.,https://www.lamplan.jp,〒361-0056 埼玉県行田市持田2,048-507-8840,,SNS platform + operation service,https://www.lamplan.jp/,A,18,26,0
2025 SEESAW INC.,https://seesaw-design.co.jp,〒150-6019 東京都渋谷区恵比寿4,,,SNS platform + operation service,https://seesaw-design.co.jp/ | https://seesaw-design.co.jp/service/ | https://seesaw-design.co.jp/service/uiux-strategy/ | https://seesaw-design.co.jp/service/uiux-scope/,A,18,27,0
株式会社ビックス,https://bicsgroup.co.jp,〒150-0001 東京都渋谷区神宮前2,,,SNSマーケティング / SNS運用,https://bicsgroup.co.jp/company/index.html | https://bicsgroup.co.jp/aboutus/index.html | https://bicsgroup.co.jp/access/index.html | https://bicsgroup.co.jp/contact/index.html,A,18,7,1
株式会社Barbara Pool,https://www.barbarapool.com,〒170-0004 東京都豊島区北大塚２,03-6659-9858,,SNS platform + operation service,https://www.barbarapool.com/works_tag/tag01/page/2 | https://www.barbarapool.com/company | https://www.barbarapool.com/contact,A,18,7,0
株式会社Awake,https://www.awakeinc.co.jp,〒207-0013 東京都東大和市向原5,070-3976-0284,,SNS platform + operation service,https://www.awakeinc.co.jp/blog/tachikawa-homepage-production-20260518 | https://www.awakeinc.co.jp/services/ai | https://www.awakeinc.co.jp/services/dev | https://www.awakeinc.co.jp/services/web,A,18,9,0
株式会社cantik,https://cantik.co.jp,〒252-0314 神奈川県相模原市南区南台5,080-7084-3102,,SNS運用 / SNS運用代行 / SNSマーケティング,https://cantik.co.jp/areas/tokyo/ | https://cantik.co.jp/about/ | https://cantik.co.jp/contact/ | https://cantik.co.jp/contact/?service=web,A,18,97,17
"2023 by Voleur, Inc.",https://www.voleur.co.jp,〒243-0018 神奈川県厚木市中町2,046-259-8701,,SNS運用,https://www.voleur.co.jp/blog/categories/notice | https://www.voleur.co.jp/solutions | https://www.voleur.co.jp/about-mission | https://www.voleur.co.jp/about-company,A,18,7,0
ソラノデザイン合同会社,https://kanazawa-homepage.jp,〒920-0852 石川県金沢市此花町5,050-6883-9715,,SNS platform + operation service,https://kanazawa-homepage.jp/service/ | https://kanazawa-homepage.jp/ | https://kanazawa-homepage.jp/contact/ | https://kanazawa-homepage.jp/service/corporate_site/,A,18,14,1
s © UNIIDEO inc. all rights reserved.,https://uniideo.com,〒153-0042 東京都目黒区青葉台1,03-6712-7958,,Instagram運用,https://uniideo.com/fiveuniideo/ | https://uniideo.com/about/message/ | https://uniideo.com/about/team/ | https://uniideo.com/about/member/,A,18,81,0
林原商店 合同会社,https://www.hayashibara-shouten.com,〒933-0231 富山県射水市海老江浜開1,080-4255-5865,,SNS platform + operation service,https://www.hayashibara-shouten.com/2026/07/09/hibari-nest/ | https://www.hayashibara-shouten.com/profile/ | https://www.hayashibara-shouten.com/service-other/ | https://www.hayashibara-shouten.com/about/,A,18,20,0
"ゴーウェルキャリア株式会社 Gowell Co.,Ltd. All Rights Reserved.",https://gowell-hr.com,〒104-0061 東京都中央区銀座3,03-6272-9659,,SNS platform + operation service,https://gowell-hr.com/okb/ | https://gowell-hr.com/service/ | https://gowell-hr.com/corp/ | https://gowell-hr.com/corp/company/,A,18,13,0
株式会社 ゼンリン東海,https://zenrinweb.com,〒411-0907 静岡県駿東郡清水町伏見6,055-975-6699,,SNS platform + operation service,https://zenrinweb.com/package/ | https://zenrinweb.com/company/ | https://zenrinweb.com/contact/ | https://zenrinweb.com/contact/?%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%E9%A0%85%E7%9B%AE=TERESA%E3%83%91%E3%83%83%E3%82%B1%E3%83%BC%E3%82%B8%E3%83%97%E3%83%A9%E3%83%B3%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,A,18,14,0
株式会社シーエムエー,https://www.akindo2000.net,〒430-7715 静岡県浜松市中央区板屋町1,053-459-1510,,SNS platform + operation service,https://www.akindo2000.net/portfolio/dowametanix/ | https://www.akindo2000.net/internetad/partner-support.php | https://www.akindo2000.net/company/ | https://www.akindo2000.net/company/about.php,A,18,9,0
株式会社サンロフト,https://ods.or.jp,〒105-7529 東京都港区海岸一丁目,054-626-3366,,SNS platform + operation service,https://ods.or.jp/example/2630/ | https://ods.or.jp/about/ | https://ods.or.jp/contact/,A,18,15,0
ALBA inc.,https://albajpn.com,〒906-0013 沖縄県宮古島市平良下里3,,,SNS広告運用 / Instagram広告運用 / SNSマーケティング / SNS運用,https://albajpn.com/about-us/tt/ | https://albajpn.com/service/ | https://albajpn.com/service/web-consulting/ | https://albajpn.com/service/web-consulting/seo/,A,18,39,11
株式会社ツナグデザイン.,https://tsunagudesign.co.jp,〒411-0942 静岡県駿東郡長泉町中土狩7,055-989-4070,,SNS運用 / SNS運用代行 / SNS広告運用,https://tsunagudesign.co.jp/mishima-mv/ | https://tsunagudesign.co.jp/abt/ | https://tsunagudesign.co.jp/svc/ | https://tsunagudesign.co.jp/company/,A,18,8,1
株式会社エンルーツ,https://enroots.co.jp,〒444-0802 愛知県岡崎市美合町五反田7,000-0000-0000,,SNS platform + operation service,https://enroots.co.jp/case/460/ | https://enroots.co.jp/about/ | https://enroots.co.jp/services/ | https://enroots.co.jp/company/,A,18,4,0
コインタックス株式会社,https://corp.coin-tax.net,〒530-0003 大阪府大阪市北区堂島2,,,SNS platform + operation service,https://corp.coin-tax.net/si/ | https://corp.coin-tax.net/company/ | https://corp.coin-tax.net/contact/,A,18,6,0
株式会社 ジャパンフードカンパニー,https://jfood-c.jp,〒564-0063 大阪府吹田市江坂町2,06-4400-6978,,SNS platform + operation service,https://jfood-c.jp/company-profiles/ | https://jfood-c.jp/our-service/ | https://jfood-c.jp/contact/,A,18,5,0
