company_name,url,address,phone,maps_url,service_evidence,pages_checked,affinity_grade,affinity_score,local_hits,competitor_hits
株式会社DARUMA,https://daruma-creative.com,〒422-8016 静岡県静岡市駿河区西平松4,,,SNS運用 / SNS運用代行 / Instagram運用代行,https://daruma-creative.com/ | https://daruma-creative.com/about.html | https://daruma-creative.com/service-content.html | https://daruma-creative.com/service-web.html,A,18,24,0
株式会社ヲワリウェブ,https://wowari-web.jp,〒494-0003 愛知県一宮市三条字道東8,0586-82-2196,,SNS platform + operation service,https://wowari-web.jp/ | https://wowari-web.jp/company/ | https://wowari-web.jp/contact/,A,18,6,0
Aidma Holdings Inc. All Rights Reserved.,https://biz-maps.com,〒491-0115 愛知県一宮市浅井町西海戸4,,,SNS広告運用,https://biz-maps.com/item/WQ18n82yZ7 | https://biz-maps.com/contact | https://biz-maps.com/item/B2lv8JqRYV | https://biz-maps.com/s/b-inds/100,A,18,16,0
株式会社ピースウェブの概要をご紹介,https://pieceweb.com,〒171-0031 東京都豊島区目白3,03-6908-0316,,SNSマーケティング / Instagram運用,https://pieceweb.com/service/web_consulting.php | https://pieceweb.com/service/sns.php | https://pieceweb.com/service/new_consulting.php | https://pieceweb.com/service/saas.php,A,18,8,0
株式会社サイドスペース,https://side-space.com,〒448-0855 愛知県刈谷市大正町3,,,YouTube運用代行 / SNS広告運用,https://side-space.com/company/ | https://side-space.com/service/ | https://side-space.com/contact/,A,18,4,0
シナジーマーケティング株式会社,https://corp.synergy-marketing.co.jp,〒530-0003 大阪府大阪市北区堂島1,080-4104-7711,,SNS platform + operation service,https://corp.synergy-marketing.co.jp/press/2021/0327030021_7359.html | https://corp.synergy-marketing.co.jp/aboutus | https://corp.synergy-marketing.co.jp/business | https://corp.synergy-marketing.co.jp/company,A,18,6,0
株式会社アビリブ,https://localdirect.jp,〒150-0041 東京都渋谷区神南1,052-262-8041,,SNS platform + operation service,https://localdirect.jp/contact/ | https://localdirect.jp/,A,18,26,0
株式会社船井総合研究所 （Funai Consulting Incorporated）,https://www.funaisoken.co.jp,〒104-0028 東京都中央区八重洲2,0120-958-270,,SNS platform + operation service,https://www.funaisoken.co.jp/seminar/132470 | https://www.funaisoken.co.jp/solution/vi-shared_service_704_S074 | https://www.funaisoken.co.jp/solution/vi-newbusiness-subsidy_807_S087 | https://www.funaisoken.co.jp/solution/vi-contactcenter-strategy_802_S105,A,18,111,0
J-WORLD Inc.,https://jworld-web.co.jp,〒530-0001 大阪府大阪市北区梅田１,090-6675-8161,,Meta広告運用 / Instagram広告運用,https://jworld-web.co.jp/ | https://jworld-web.co.jp/mail/ | https://jworld-web.co.jp/company/,A,18,8,0
株式会社ファンフェアファンファーレ,https://funfairfanfare.com,〒522-0043 滋賀県彦根市小泉町2,0749-24-5131,,SNS platform + operation service,https://funfairfanfare.com/%E4%BC%9A%E7%A4%BE%E8%A8%AD%E7%AB%8B-ma-%E4%BA%8B%E6%A5%AD%E6%89%BF%E7%B6%99-%E5%8F%B8%E6%B3%95%E6%9B%B8%E5%A3%AB%E6%B3%95%E4%BA%BA-%E6%B3%95%E5%8B%99/ | https://funfairfanfare.com/pricelist-website/ | https://funfairfanfare.com/pricelist-website/support-research/ | https://funfairfanfare.com/corporate-profile/,A,18,15,0
オーパスプラン有限会社,https://opus-plan.net,〒514-0004 三重県津市栄町１,,,SNS運用代行,https://opus-plan.net/area/mie/ | https://opus-plan.net/aboutus/ | https://opus-plan.net/services/,A,18,6,7
ナチュラルウーマン株式会社,https://naturalwoman.jp,〒569-0805 大阪府高槻市上田辺町6,072-200-2924,,SNS運用支援 / SNS運用,https://naturalwoman.jp/aboutus/ | https://naturalwoman.jp/page-shopify-service/ | https://naturalwoman.jp/page-video-service/ | https://naturalwoman.jp/page-company/,A,18,9,0
ブラザーズ株式会社,https://br-others.jp,〒530-0001 大阪府大阪市北区梅田1,06-7166-3209,,SNS platform + operation service,https://br-others.jp/ | https://br-others.jp/contact | https://br-others.jp/contact,A,18,4,0
TAKEC INC.,https://webru55.com,〒861-8038 熊本県熊本市東区長嶺東1,096-200-8603,,SNS運用代行,https://webru55.com/column/2025/02/18/%E4%BD%8F%E5%AE%85%E4%BC%9A%E7%A4%BE%E3%81%AB%E3%81%A8%E3%81%A3%E3%81%A6%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%9A%E3%83%BC%E3%82%B8%E3%81%AF%E5%BF%85%E8%A6%81%E4%B8%8D%E5%8F%AF%E6%AC%A0%EF%BC%81%E3%81%9D/ | https://webru55.com/about/ | https://webru55.com/contact/,A,18,40,15
2026 TOGL inc.,https://togl.co.jp,〒661-0043 兵庫県尼崎市武庫元町1,,,SNS platform + operation service,https://togl.co.jp/company/ | https://togl.co.jp/service/ | https://togl.co.jp/contact/,A,18,7,0
