"company_name","url","address","phone","maps_url","service_evidence","pages_checked"
"Ｙ＆Ｉ株式会社","http://www.y-and-i.co.jp","〒033-0021 青森県三沢市岡三沢8","0176-58-7920","","SNS platform + operation service","http://www.y-and-i.co.jp/company/ | http://www.y-and-i.co.jp/contact/index.html"
"有限会社 リンゴミュージック","https://ringomusic.com","〒036-8051 青森県弘前市宮川2","","","SNS platform + operation service","https://ringomusic.com/consultant/ | https://ringomusic.com/company/ | https://ringomusic.com/contact/"
"加賀電子株式会社","https://www.taxan.co.jp","〒101-0023 東京都千代田区神田松永町2","0739-42-5260","","SNS platform + operation service","https://www.taxan.co.jp/jp/company/group/index.php | https://www.taxan.co.jp/jp/company/index.html | https://www.taxan.co.jp/jp/company/vision.html | https://www.taxan.co.jp/jp/company/founder.html"
"ノストレア合同会社","https://nostrea.jp","〒036-8183 青森県弘前市品川町2","","","SNS運用","https://nostrea.jp/service/ | https://nostrea.jp/company/ | https://nostrea.jp/contact/"
"株式会社ウィット","https://wi-t.co.jp","〒569-0071 大阪府高槻市城北町一丁目","072-668-3275","","SNS platform + operation service","https://wi-t.co.jp/jichitai/ | https://wi-t.co.jp/company/ | https://wi-t.co.jp/outline/ | https://wi-t.co.jp/contact/"
"株式会社エム・ティーサポート","https://mt-support.co.jp","〒494-0001 愛知県⼀宮開明東新規道4","0586-43-7197","","SNS platform + operation service","https://mt-support.co.jp/company.html | https://mt-support.co.jp/contact.html | https://mt-support.co.jp/service.html"
"株式会社コネクト","https://www.ni-connect.co.jp","〒024-0081 岩手県北上市有田町9","0197-62-7790","","SNS運用","https://www.ni-connect.co.jp/service/ | https://www.ni-connect.co.jp/service/network/ | https://www.ni-connect.co.jp/service/software/ | https://www.ni-connect.co.jp/service/printer/"
"アイエステクノ株式会社","https://istechno.co.jp","〒021-0881 岩手県一関市大町4","0191-48-3861","","SNS platform + operation service","https://istechno.co.jp/SERVICES/ | https://istechno.co.jp/COMPANY/ | https://istechno.co.jp/COMPANY/Link.php | https://istechno.co.jp/CONTACT/"
"あべ印刷株式会社","https://abe-print.jp","〒023-0003 岩手県奥州市水沢佐倉河字東広町6","0197-24-8303","","SNS platform + operation service","https://abe-print.jp/service/ | https://abe-print.jp/access/ | https://abe-print.jp/contact/ | https://abe-print.jp/service/print/"
"株式会社虎徹（Kotetsu Co., Ltd.）","https://ishipos.com","〒986-0861 宮城県石巻市門脇字浦屋敷4","090-6624-8809","","SNS platform + operation service","https://ishipos.com/phantomtone/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81/ | https://ishipos.com/company/?utm_source=chatgpt.com | https://ishipos.com/phantomtone/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/"
"オーパスプラン有限会社","https://opus-plan.net","〒020-8507 岩手県盛岡市清水町１","","","SNS運用代行","https://opus-plan.net/area/iwate/ | https://opus-plan.net/aboutus/ | https://opus-plan.net/services/"
"CIN GROUP Inc.","https://asnaro7676.com","〒141-0032 東京都品川区大崎1","03-4329-2278","","Instagram運用代行 / TikTok運用代行 / SNS運用","https://asnaro7676.com/service/cosme-logistics/ | https://asnaro7676.com/service/ | https://asnaro7676.com/service/ecsite-production/ | https://asnaro7676.com/service/ec-consulting/"
"株式会社アビリブ","https://www.localdirect.jp","〒150-0041 東京都渋谷区神南1","052-262-8041","","SNS platform + operation service","https://www.localdirect.jp/blog/?page=13 | https://localdirect.jp/service/ | https://localdirect.jp/contact/"
"株式会社SENBIZ","https://senbiz.co.jp","〒989-6162 宮城県大崎市古川駅前大通 2","","","SNS platform + operation service","https://senbiz.co.jp/"
"株式会社Reskill Japan","https://reskill-japan.com","〒141-0021 東京都品川区上大崎三丁目","03-5050-4498","","SNS運用代行 / SNS運用 / SNSマーケティング / SNS広告運用","https://reskill-japan.com/service/snsservice/ | https://reskill-japan.com/service/ | https://reskill-japan.com/company/ | https://reskill-japan.com/contact/"
"株式会社YEEELL","https://yeeell.co.jp","〒141-0021 東京都品川区上大崎3","","","SNSマーケティング / Instagram運用代行","https://yeeell.co.jp/news/4770/ | https://yeeell.co.jp/service/ | https://yeeell.co.jp/contact/ | https://yeeell.co.jp/company/"
"nahato inc.","https://nahato.co.jp","〒150-0043 東京都渋谷区道玄坂1","03-5422-3370","","SNS広告運用","https://nahato.co.jp/company/ | https://nahato.co.jp/aboutus/ | https://nahato.co.jp/service/pay-for-perf-influencer-ads/ | https://nahato.co.jp/service/budget-influencer-ads/"
"テンポアド株式会社","https://tenpoad.com","〒811-1311 福岡県福岡市南区横手2","","","SNS platform + operation service","https://tenpoad.com/company/ | https://tenpoad.com/about/ | https://tenpoad.com/services/ | https://tenpoad.com/services/rakuten-operation-agency/"
"クールジャパン機構 (株式会社海外需要開拓支援機構)","https://www.cj-fund.co.jp","〒106-6117 東京都港区六本木6","03-6406-7500","","SNS platform + operation service","https://www.cj-fund.co.jp/investment/deal_list/vol42/ | https://www.cj-fund.co.jp/about/ | https://www.cj-fund.co.jp/about/cjfund.html | https://www.cj-fund.co.jp/about/message.html"
"エコービジネスソフトウエア株式会社","https://echo-pro.com","〒640-8221 和歌山県和歌山市湊紺屋町1","","","SNS運用代行","https://echo-pro.com/wakayama/ | https://echo-pro.com/company/ | https://echo-pro.com/contact-2/ | https://echo-pro.com/contact/"
"株式会社第一エージェンシー","https://daiichi-ag.co.jp","〒810-0004 福岡県福岡市中央区渡辺通4","092-741-6585","","SNS platform + operation service","https://daiichi-ag.co.jp/contact/ | https://daiichi-ag.co.jp/contact/ | https://daiichi-ag.co.jp/company/ | https://daiichi-ag.co.jp/company/logo/"
"株式会社ジグザグ","https://www.zig-zag.co.jp","〒150-0031 東京都渋谷区桜丘町1","03-6777-7189","","SNS platform + operation service","https://www.zig-zag.co.jp/service/202306-tatenokawa/ | https://www.zig-zag.co.jp/service/ | https://www.zig-zag.co.jp/ | https://www.zig-zag.co.jp/contact/"
"株式会社ルシダス","https://www2.lucidas.co.jp","〒078-8382 北海道旭川市西神楽2","","","SNS platform + operation service","https://www2.lucidas.co.jp/success-with-content-marketing-and-ma.html | https://www2.lucidas.co.jp/inquiry.html"
"合同会社dano","https://tryand.dano.co.jp","〒998-0864 山形県酒田市新橋2","0234-43-6858","","SNS platform + operation service","https://tryand.dano.co.jp/tryand_service/"
"麓井酒造株式会社","https://fumotoi.co.jp","〒999-8231 山形県酒田市麓字横道3","0234-64-2002","","SNS運用","https://fumotoi.co.jp/%E6%8E%A1%E7%94%A8%E6%83%85%E5%A0%B1/ | https://fumotoi.co.jp/contact/ | https://fumotoi.co.jp/contact/ | https://fumotoi.co.jp/company/"
"有限会社 エーアイティ研究所","https://web.ait-labo.com","〒969-1169 福島県本宮市本宮字小原田2","0243-33-5538","","SNS platform + operation service","https://web.ait-labo.com/services/ | https://web.ait-labo.com/services/web-consulting/ | https://web.ait-labo.com/services/web-design/ | https://web.ait-labo.com/services/hojokin-support/"
"2026 True Data Inc. All Rights Reserved","https://www.truedata.co.jp","〒105-0012 東京都港区芝大門1","","","SNS platform + operation service","https://www.truedata.co.jp/release20250912/ | https://www.truedata.co.jp/contact/ | https://www.truedata.co.jp/about/ | https://www.truedata.co.jp/service/"
"株式会社ネクスト情報はましん","https://next-hamashin.co.jp","〒970-8032 福島県いわき市平下荒川字諏訪下3","0246-25-0111","","SNS platform + operation service","https://next-hamashin.co.jp/service/service-web.html | https://next-hamashin.co.jp/about_us.html | https://next-hamashin.co.jp/service.html | https://next-hamashin.co.jp/service/service-printing.html"
"有限会社オフィス・ポート","https://officeport.net","〒970-8051 福島県いわき市平六町目2","0246-25-2465","","SNS運用代行","https://officeport.net/company/ | https://officeport.net/contact/ | https://officeport.net/service/ | https://officeport.net/service-original/"
"株式会社 電算情報技研","https://densanjoho.co.jp","〒550-0015 大阪府大阪市西区南堀江1","06-6541-0601","","SNS platform + operation service","https://densanjoho.co.jp/business/ | https://densanjoho.co.jp/about/ | https://densanjoho.co.jp/company/ | https://densanjoho.co.jp/recruit-contact/"
"ブリヂストンタイヤ会津販売株式会社 All Rights Reserved.","https://bst-aizu.com","〒965-0005 福島県会津若松市一箕町大字亀賀字郷之原2","0242-22-5544","","SNS platform + operation service","https://bst-aizu.com/company/ | https://bst-aizu.com/service/ | https://bst-aizu.com/contact/ | https://bst-aizu.com/company/message/"
"株式会社トモプラン","https://tomoplan.jimdofree.com","〒140-0001 東京都品川区北品川1","090-7811-4066","","SNS platform + operation service","https://tomoplan.jimdofree.com/ | https://tomoplan.jimdofree.com/%E6%B5%B7%E5%A4%96%E9%96%A2%E9%80%A3%E4%BA%8B%E6%A5%AD%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9-1/ | https://tomoplan.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/ | https://tomoplan.jimdofree.com/tomoplan-global/service-flow/"
"株式会社","https://www.connect-and-y.com","〒305-0008 茨城県つくば市流星台 4","029-856-3435","","SNS platform + operation service","https://www.connect-and-y.com/digital-content | https://www.connect-and-y.com/contact-us | https://www.connect-and-y.com/service | https://www.connect-and-y.com/about-us"
"有限会社 明光印刷","https://d-square.jp","〒306-0235 茨城県古河市下辺見2","0280-33-0035","","SNS platform + operation service","https://d-square.jp/flow.html | https://d-square.jp/web_service.html | https://d-square.jp/dtp_service.html | https://d-square.jp/company.html"
"株式会社イデアエンタープライズ","https://idea-ep.com","〒371-0857 群馬県前橋市高井町1","027-255-1158","","SNS platform + operation service","https://idea-ep.com/hp-creation/works/t%E3%83%BBa%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9/ | https://idea-ep.com/hp-creation/"
"株式会社アサイン","https://www.assign.co.jp","〒312-0011 茨城県ひたちなか市中根8","029-273-7811","","SNS platform + operation service","https://www.assign.co.jp/company/index.html | https://www.assign.co.jp/service/index.html | https://www.assign.co.jp/contact/index.html"
"(c) 2011 Dream Keeper,inc.","https://dreamkeeper.co.jp","〒329-0201 栃木県小山市粟宮2","0285-38-7229","","SNS platform + operation service","https://dreamkeeper.co.jp/dk/about.html | https://dreamkeeper.co.jp/dk/company.html | https://dreamkeeper.co.jp/dk/contact.html | https://dreamkeeper.co.jp/about.html"
"株式会社ディーアイシー","https://www.d-ic.com","〒373-0026 群馬県太田市東本町2","0276-60-5440","","SNS platform + operation service","https://www.d-ic.com/contact | https://www.d-ic.com/company | https://www.d-ic.com/service | https://www.d-ic.com/service/home-page"
"TS Service.Inc","https://ts-service.biz","〒329-0214 栃木県小山市乙女1","0285-41-5851","","SNS platform + operation service","https://ts-service.biz/about/ | https://ts-service.biz/ | https://ts-service.biz/about/ | https://ts-service.biz/service/"
"株式会社フォイス Web制作部門","https://fois-web.com","〒450-0002 愛知県名古屋市中村区名駅5","052-569-5750","","SNS platform + operation service","https://fois-web.com/portfolios/167/ | https://fois-web.com/service/ | https://fois-web.com/contact-form/ | https://fois-web.com/service/"
"FIC 株式会社福島情報処理センター","https://fic.co.jp","〒963-8025 福島県郡山市桑野三丁目","024-923-2116","","SNS platform + operation service","https://fic.co.jp/products/ | https://fic.co.jp/about/ | https://fic.co.jp/about/?id=msg-wrap | https://fic.co.jp/about/gaiyo/"
"株式会社 川又感光社","https://www.k-kawamata.co.jp","〒310-0063 茨城県水戸市五軒町1","029-221-7781","","SNS platform + operation service","https://www.k-kawamata.co.jp/business/webdesign/ | https://www.k-kawamata.co.jp/business/ | https://www.k-kawamata.co.jp/company/ | https://www.k-kawamata.co.jp/contact/"
"株式会社シアポート","https://siaport.net","〒326-0021 栃木県足利市山川町9","0284-22-7650","","SNS platform + operation service","https://siaport.net/company/ | https://siaport.net/contact/"
"株式会社ナカハラ","https://kknakahara.co.jp","〒370-0018 群馬県高崎市新保町2","027-362-3857","","SNS platform + operation service","https://kknakahara.co.jp/sitemap/ | https://kknakahara.co.jp/business/ | https://kknakahara.co.jp/corporate/ | https://kknakahara.co.jp/contact/"
"株式会社サクシード","https://tgnr.jp","〒998-0023 山形県酒田市幸町1","","","SNS platform + operation service","https://tgnr.jp/company/sunliqur/ | https://tgnr.jp/about-tgnr/ | https://tgnr.jp/contact/ | https://tgnr.jp/company/"
"2026 Helpfeel Inc.","https://www.helpfeel.com","〒602-0023 京都府京都市上京区御所八幡町1","","","SNS platform + operation service","https://www.helpfeel.com/works/ashikaga-bank | https://www.helpfeel.com/company | https://www.helpfeel.com/download_resource/helpfeel_service_guide?bannername=header-cta | https://www.helpfeel.com/cntct?bannername=header-cta"
"株式会社 桐生産業","http://kiryu-sangyo.jp","〒530-0043 大阪府大阪市北区天満2","06-6357-6816","","SNS platform + operation service","http://kiryu-sangyo.jp/greeting.html | http://kiryu-sangyo.jp/about.html | http://kiryu-sangyo.jp/contact.html"
"株式会社ワーク","https://work1997.co.jp","〒372-0006 群馬県伊勢崎市太田町1","0270-30-3335","","SNS platform + operation service","https://work1997.co.jp/business/advertising/ | https://work1997.co.jp/company/ | https://work1997.co.jp/business/internet-access/"
"株式会社ハートクリエイト","https://www.sfkoutori.or.jp","〒102-0083 東京都千代田区麹町1","03-3261-3811","","SNS運用","https://www.sfkoutori.or.jp/sanjokaiin/%E6%A0%AA%E3%83%8F%E3%83%BC%E3%83%88%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%88/ | https://www.sfkoutori.or.jp/about/ | https://www.sfkoutori.or.jp/contact_information/ | https://www.sfkoutori.or.jp/access/"
"Prosper inc.","https://prosper-inc.net","〒360-0815 埼玉県熊谷市本石1","","","SNS platform + operation service","https://prosper-inc.net/contact/ | https://prosper-inc.net/company/"
"OXYGY株式会社","https://oxygyconsulting.jp","〒150-0001 東京都渋谷区神宮前5","","","SNS platform + operation service","https://oxygyconsulting.jp/%E5%BC%8A%E7%A4%BE%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%82%BF%E3%83%B3%E3%83%88%E3%81%AB%E3%82%88%E3%82%8B%E3%82%A6%E3%82%A7%E3%83%96%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0/ | https://oxygyconsulting.jp/about/ | https://oxygyconsulting.jp/contact/"
"株式会社エクスプロード（英語表記 explowd Co.,Ltd.）","http://kandamyoujin.info","〒113-0034 東京都文京区湯島1","03-6279-4843","","SNS platform + operation service","http://kandamyoujin.info/agency/ | http://kandamyoujin.info/company/"
"株式会社 東建ビルダー(栃木県知事(般-27)第18735号)","https://www.tooken-b.co.jp","〒326-0337 栃木県足利市島田町8","0120-474-414","","SNS platform + operation service","https://www.tooken-b.co.jp/contact/ | https://www.tooken-b.co.jp/company/"
"株式会社ツインバード","https://www.twinbird.jp","〒959-0292 新潟県燕市吉田西太田2","03-3663-8778","","SNS platform + operation service","https://www.twinbird.jp/support/inquiry/ | https://www.twinbird.jp/company/ | https://www.twinbird.jp/company/businesslocation/ | https://www.twinbird.jp/company/outline/"
"株式会社sizebook","https://sizebook.co.jp","〒108-0022 東京都港区海岸3","","","SNS platform + operation service","https://sizebook.co.jp/contact.html | https://sizebook.co.jp/company.html | https://sizebook.co.jp/service_consulting.html | https://sizebook.co.jp/service_ADafi.html"
"株式会社ナツメスタジオワークス","https://natsumestudioworks.com","〒101-0032 東京都千代田区 岩本町1","03-6240-9294","","SNS platform + operation service","https://natsumestudioworks.com/contact.html | https://natsumestudioworks.com/service.html | https://natsumestudioworks.com/about.html"
"株式会社COMARS","https://www.comars-ltd.com","〒525-0059 滋賀県草津市野路二丁目","","","SNS運用代行","https://www.comars-ltd.com/contact | https://www.comars-ltd.com/info | https://www.comars-ltd.com/business/creative/shot"
"合同会社アイデアル","https://idl.jp","〒344-8533 埼玉県春日部市粕壁東2","070-6474-5255","","SNS運用 / SNSマーケティング / SNS運用代行","https://idl.jp/blog/sns-marketing-3keys-for-sme | https://idl.jp/about | https://idl.jp/services | https://idl.jp/contact"
"ソウシンク株式会社","https://sothink.jp","〒103-0024 東京都中央区日本橋小舟町7","03-5643-7067","","SNS platform + operation service","https://sothink.jp/service/ | https://sothink.jp/en/company/ | https://sothink.jp/company/ | https://sothink.jp/service/system/"
"株式会社ウスイデンタル","https://www.usuid.com","〒343-0845 埼玉県越谷市南越谷１","048-986-5227","","SNS運用","https://www.usuid.com/saitama-kasukabe-no002483/ | https://www.usuid.com/service/ | https://www.usuid.com/aboutus/ | https://www.usuid.com/contact/"
"unou-jikenn, inc. ALL Rights Reserved.","https://www.unou-jikenn.co.jp","〒151-0051 東京都渋谷区千駄ヶ谷2","03-3405-2061","","SNS platform + operation service","https://www.unou-jikenn.co.jp/contact/ | https://www.unou-jikenn.co.jp/about/ | https://www.unou-jikenn.co.jp/service/ | https://www.unou-jikenn.co.jp/download/"
"ニコ株式会社","https://nico.tokyo","〒359-0037 埼玉県所沢市くすのき台1","","","SNS platform + operation service","https://nico.tokyo/company/ | https://nico.tokyo/services/ | https://nico.tokyo/services/services1/ | https://nico.tokyo/services/services002/"
