company_name,url,address,phone,maps_url,service_evidence,pages_checked
株式会社サンロフト,https://www.sunloft.co.jp,〒425-0074 静岡県焼津市柳新屋4,054-626-3366,,SNSマーケティング,https://www.sunloft.co.jp/dx/ | https://www.sunloft.co.jp/dx/about/ | https://www.sunloft.co.jp/dx/contact/ | https://www.sunloft.co.jp/dx/download/
株式会社リック,https://www.lic-mydo.com,〒417-0826 静岡県富士市中里2,0120-69-5365,,SNS platform + operation service,https://www.lic-mydo.com/news/detail/117 | https://www.lic-mydo.com/service/ | https://www.lic-mydo.com/service/posting_service/ | https://www.lic-mydo.com/service/posting_service/posting/
令和3年10月 株式会社フジFPパートナーズを 「株式会社アークウェルス」 に商号変更,https://www.tax-iwasaki.com,〒410-0022 静岡県沼津市大岡9,055-922-9870,,SNS platform + operation service,https://www.tax-iwasaki.com/efficiency/ | https://www.tax-iwasaki.com/inquiry/ | https://www.tax-iwasaki.com/service/ | https://www.tax-iwasaki.com/outline/
株式会社サービスマーケティング,https://s-mkg.com,〒112-0012 東京都文京区大塚２,03-3941-5639,,SNS platform + operation service,https://s-mkg.com/solution.html | https://s-mkg.com/ | https://s-mkg.com/contact.html
株式会社DARUMA,https://daruma-creative.com,〒422-8016 静岡県静岡市駿河区西平松4,,,SNS運用 / SNS運用代行 / Instagram運用代行,https://daruma-creative.com/ | https://daruma-creative.com/about.html | https://daruma-creative.com/service-content.html | https://daruma-creative.com/service-web.html
合同会社 BLESSING,https://blessing-llc.com,〒426-0067 静岡県藤枝市 前島2,,,SNS platform + operation service,https://blessing-llc.com/ | https://blessing-llc.com/company/ | https://blessing-llc.com/inquiry/ | http://blessing-llc.com/inquiry/
株式会社 島村謄文堂,https://toubundou.co.jp,〒426-0061 静岡県藤枝市田沼一丁目,054-635-1305,,SNS platform + operation service,https://toubundou.co.jp/service/ | https://toubundou.co.jp/ | https://toubundou.co.jp/company/ | https://toubundou.co.jp/contact/
株式会社ヲワリウェブ,https://wowari-web.jp,〒494-0003 愛知県一宮市三条字道東8,0586-82-2196,,SNS platform + operation service,https://wowari-web.jp/ | https://wowari-web.jp/company/ | https://wowari-web.jp/contact/
株式会社エスプリ 会社概要,https://info.esprit.co.jp,〒494-0004 愛知県一宮市北今字再鳥一3,050-3612-7860,,SNS platform + operation service,https://info.esprit.co.jp/
（株式会社サンロフト内）,https://www.fujiedamirai.jp,〒426-0067 静岡県 藤枝市 前島1,054-626-3366,,SNS platform + operation service,https://www.fujiedamirai.jp/
