company_name,url,address,phone,maps_url,service_evidence,pages_checked
プライバシーポリシー,https://www.lycorp.co.jp/ja/company/privacypolicy/,〒102-8282 東京都千代田区紀尾井町1,,,SNS platform + operation service,https://www.lycorp.co.jp/ja/company/privacypolicy/ | https://www.lycorp.co.jp/ja/company/ | https://www.lycorp.co.jp/en/company/privacypolicy/ | https://www.lycorp.co.jp/ko/company/privacypolicy/
北海道上富良野町公式（行政）,https://www.town.kamifurano.hokkaido.jp/index.php?id=2137,〒071-0596 北海道空知郡上富良野町大町2,0167-45-6983,,SNS platform + operation service,https://www.town.kamifurano.hokkaido.jp/index.php?id=2137 | https://www.town.kamifurano.hokkaido.jp/index.php?id=39
会社 概要,https://www.redstarcompany.co.jp/company,〒047-0154 北海道小樽市朝里川温泉1,,,SNS platform + operation service,https://www.redstarcompany.co.jp/company | https://www.redstarcompany.co.jp/contact
"デザイン, 広告 代理店, 印刷, 映像・CM 制作 , 市場調査・リサーチ ...",https://biz-maps.com/s/prefs/1/b-inds/55,〒062-0053 北海道札幌市豊平区月寒東三条1,,,SNS広告運用,https://biz-maps.com/s/prefs/1/b-inds/55 | https://biz-maps.com/contact
有限 会社 スダ工芸,https://baseconnect.in/companies/ab1029ff-3ee5-4aad-9729-b1b9be8d943d,〒048-2671 北海道小樽市オタモイ１,03-1234-5678,,SNS platform + operation service,https://baseconnect.in/companies/ab1029ff-3ee5-4aad-9729-b1b9be8d943d | https://baseconnect.in/search/company
株式 会社 KTラボ様 パーパス策定,https://northgenius.co.jp/6050/,〒003-0809 北海道札幌市白石区菊水9,0134-28-2100,,SNS platform + operation service,https://northgenius.co.jp/6050/ | https://northgenius.co.jp/service/ | https://northgenius.co.jp/company/ | https://northgenius.co.jp/contact/
グループ紹介,https://katsuki-holdings.co.jp/about/,〒071-8101 北海道旭川市東鷹栖1,011-209-8090,,SNS platform + operation service,https://katsuki-holdings.co.jp/about/ | https://katsuki-holdings.co.jp/company/ | https://katsuki-holdings.co.jp/history/ | https://katsuki-holdings.co.jp/sq_form/
主要業務内容 札幌で キャンペーン 事務局の代行ならザイオン ...,https://www.zion-s.com/service/index.htm,〒005-0812 北海道札幌市南区川沿1,011-200-0750,,SNS platform + operation service,https://www.zion-s.com/service/index.htm | https://www.zion-s.com/company/index.htm | https://www.zion-s.com/accessmap/index.htm
石井印刷,https://www.otaru-gathering.com/%E8%A4%87%E8%A3%BD-%E7%9F%B3%E4%BA%95%E5%8D%B0%E5%88%B7,〒047-0028 北海道小樽市相生町8,0134-23-8484,,SNS platform + operation service,https://www.otaru-gathering.com/%E8%A4%87%E8%A3%BD-%E7%9F%B3%E4%BA%95%E5%8D%B0%E5%88%B7 | https://www.otaru-gathering.com/contact | https://www.otaru-gathering.com/about-us
【社長の右腕求ム】 小樽 産イチゴのファンコミュニティを創出し ...,https://www.project-index.jp/intern/24678?fbclid=IwAR069NlLRcES0FrPJXKUDvruSnx-Huwq92sioNY6AYnkjpgqywKiltNNGIM,〒150-0011 東京都渋谷区東1,050-1743-6743,,SNS platform + operation service,https://www.project-index.jp/intern/24678?fbclid=IwAR069NlLRcES0FrPJXKUDvruSnx-Huwq92sioNY6AYnkjpgqywKiltNNGIM | https://www.project-index.jp/contact | https://www.project-index.jp/about
