_row,company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分
2,株式会社ドゥビィ,https://do-be1.com/works/,,,,https://do-be1.com/works/?page_id=32,,,,,,,Web制作,,web_production
3,ソールドアウト株式会社,https://soldout.jp/works/web/,,,,https://soldout.jp/contact/,,,,,,,Web制作,,web_production
4,アイテクサス株式会社,https://ffc.tokyo/,,,,https://ffc.tokyo/#contform,,,,,,,Webマーケ,,web_marketing
5,株式会社 ゴーフォワード,https://gofw.jp/,,,,https://form.run/@info-1658633077,,,,,,,Web制作,,web_production
6,ミライズ株式会社,https://meraise.com/results/,,,,https://meraise.com/contact/,,,,,,,Web制作,,web_production
7,株式会社ナインワーカーズ,https://nineworkers.co.jp/works/,,,,https://nineworkers.co.jp/contact/,,,,,,,Web制作,,web_production
8,株式会社イディー,http://idee-kobe.com/works,,,,https://idee-kobe.com/contact,,,,,,,Web制作,,web_marketing
9,R-web株式会社,https://www.r-web.jp/work,,,,https://www.r-web.jp/consultation,,,,,,,Web制作,,web_production
10,株式会社ワールドブレイン,https://service.world-brain.co.jp/,,,,https://service.world-brain.co.jp/contact,,,,,,,Web制作,,web_production
11,Ambition株式会社,http://ambitionweb.jp/,,,,https://ambitionweb.jp/contact,,,,,,,制作マーケ複合,,web_production
12,株式会社Rit2,http://rit2.com/service.html,,,,http://rit2.com/mail.html,,,,,,,Web制作,,web_production
13,株式会社だいずらぼ,https://www.daizu-lab.jp/service/webproduction/,,,,https://www.daizu-lab.jp/contact/,,,,,,,Web制作,,web_production
14,株式会社ポータルズ,https://www.portals.co.jp/portfolio/,,,,https://www.portals.co.jp/contactus/,,,,,,,Web制作,,web_marketing
15,株式会社デジテック,https://digitec.jp/hp.htm,,,,http://digitec.jp/inquire/,,,,,,,Web制作,,web_production
16,株式会社内藤広告社,http://naito-koukoku.com/,,,,http://naito-koukoku.com/contact/,,,,,,,Web制作,,web_production
17,有限会社アシストアドシステムズ,http://www.assist-ad.com/,,,,http://www.assist-ad.com/contact/,,,,,,,Web制作,,web_marketing
18,株式会社エアグラウンド,https://air-ground.jp/,,,,https://air-ground.jp/contact/,,,,,,,Web制作,,web_production
19,フルタニシステム株式会社,https://www.fulltani.co.jp/homepage/index.html,,,,https://www.fulltani.co.jp/homepage/contact_top.html,,,,,,,Web制作,,web_production
20,8points合同会社,https://8points.co.jp/website/,,,,https://8points.co.jp/contact/,,,,,,,制作マーケ複合,,web_production
21,株式会社ブンカ,https://e-bunka.biz/,,,,https://contact.e-bunka.biz/recruit/,,,,,,,制作マーケ複合,,web_marketing
22,株式会社プランユーケー,http://www.planuk.gr.jp/,,,,https://www.planuk.gr.jp/informaker/,,,,,,,Web制作,,web_production
