batch_no,sample_position,sheet_row,company_name,url,contact_url,proposal_class,existing_evidence,classification,reason,official_status,contact_status,form_exists,service_hits,client_hits,weak_only_hits,enterprise_review_term,final_url,contact_final_url,evidence_pages
1,1,2,D-Style,https://www.dental-hp.net/,https://www.dental-hp.net/info/contact.html,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://www.dental-hp.net/,https://www.dental-hp.net/info/contact.html,https://www.dental-hp.net/service/index.html / https://www.dental-hp.net/service/design.html
1,11,12,株式会社メディケアネット,https://mc-net.jp/service/hp_production/,https://mc-net.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,web制作 / ホームページ制作 / seo対策 / meo対策 / 経営支援,クリニック / 制作実績,,,https://mc-net.jp/service/hp_production/,https://mc-net.jp/contact/,https://mc-net.jp/service/ / https://mc-net.jp/service_category/it/ / https://mc-net.jp/service_category/web/
1,21,22,株式会社リバティーフェローシップ,https://tahlab.net/,https://tahlab.net/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,ホームページ制作 / webマーケ / sns運用 / 動画制作 / プロモーション,医院 / クリニック / 歯科,,,https://tahlab.net/,https://tahlab.net/contact/,
1,31,32,株式会社バンラボ,https://netclinic119.net/,https://netclinic119.net/contact,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,ホームページ制作 / 広告運用 / ブランディング / プロモーション / seo対策,医院 / クリニック / 歯科 / 制作実績,,,https://netclinic119.net/,https://netclinic119.net/contact,https://netclinic119.net/works / https://netclinic119.net/service / https://netclinic119.net/casestudy
1,41,42,株式会社AllSO,https://allso.co.jp/website/,https://allso.co.jp/contact/,S｜業界特化Web制作,医療・歯科・介護等の業界特化Web制作・運用,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,ホームページ制作 / sns運用 / seo対策 / meo対策,店舗,,,https://allso.co.jp/website/,https://allso.co.jp/contact/,https://allso.co.jp/website/ / https://allso.co.jp/foodservice/
2,1,52,株式会社プロジェ・アキ,https://www.salon-chirashiwork.com/,https://www.salon-chirashiwork.com/form.html,S｜業界特化Web制作,美容室・サロン特化支援：美容室／web制作,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,no,,,,,https://www.salon-chirashiwork.com/,https://www.salon-chirashiwork.com/form.html,
2,11,62,有限会社じん,https://ractory.co.jp/,https://ractory.co.jp/contact/,S｜業界特化Web制作,美容室・サロン特化支援：美容サロン／マーケティング,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,webマーケ / 広告運用,店舗 / サロン,,,https://ractory.co.jp/,https://ractory.co.jp/contact/,https://ractory.co.jp/store/
2,21,72,株式会社カミシマ,https://kamishima-beauty.com/,https://kamishima-beauty.com/contact/,S｜業界特化Web制作,美容室・サロン特化支援：理美容／ホームページ制作,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,ホームページ制作 / プロモーション / 開業支援,店舗 / サロン / 中小企業,商材販売,,https://kamishima-beauty.com/,https://kamishima-beauty.com/contact/,https://kamishima-beauty.com/service/ / https://kamishima-beauty.com/service/sales/ / https://kamishima-beauty.com/service/support/
2,31,82,株式会社カタリヨ,https://catariyo.com/,https://catariyo.com/contact,S｜業界特化Web制作,美容室・サロン特化支援：理美容／ウェブ制作,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,web制作 / ホームページ制作 / ウェブ制作 / サイト制作 / マーケティング支援,サロン,機器販売,,https://catariyo.com/,https://catariyo.com/contact,https://catariyo.com/service / https://catariyo.com/service/web / https://catariyo.com/service/marketing
2,41,92,株式会社 Lonfiee,https://www.lonfiee.com/,https://www.lonfiee.com/contact,S｜業界特化Web制作,美容室・サロン特化支援：美容室／ホームページ制作,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,ホームページ制作 / 集客支援 / sns運用 / 動画制作 / プロモーション,店舗 / クリニック / 美容室 / サロン,,,https://www.lonfiee.com/,https://www.lonfiee.com/contact,https://www.lonfiee.com/marketing-support / https://www.lonfiee.com/video-sns-service / https://www.lonfiee.com/independence-support
3,1,102,株式会社タートル,https://foodapp.jp/,https://foodapp.jp/download.html,S｜業界特化Web制作,飲食店特化支援：飲食店／予約システム,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://foodapp.jp/,https://foodapp.jp/download.html,https://foodapp.jp/#showcase
3,11,112,株式会社くだら,https://www.qudara.co.jp/,https://www.qudara.co.jp/cathand/otoiawase.php?serial=05753,S｜業界特化Web制作,飲食店特化支援：飲食店／開業支援,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,,,,https://www.qudara.co.jp/,https://www.qudara.co.jp/cathand/otoiawase.php?serial=05753,
3,21,122,株式会社カレント,https://www.currentcoffee.co.jp/,https://www.currentcoffee.co.jp/contact,S｜業界特化Web制作,飲食店特化支援：飲食店／店舗運営,review_weak_service,集客・制作・広告・販促等の受託根拠を機械確認できず,200,200,yes,,店舗 / 飲食店 / ホテル / 小売店,,,https://www.currentcoffee.co.jp/,https://www.currentcoffee.co.jp/contact,https://www.currentcoffee.co.jp/business / https://www.currentcoffee.co.jp/business/wholesale / https://www.currentcoffee.co.jp/mocha-chai-coffee
3,31,132,株式会社テイクパート,https://takepart.co.jp/,https://takepart.co.jp/contact,S｜飲食店DX・集客支援,飲食店特化支援：QRオーダー・店舗運営,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,運営支援 / 制作会社,店舗 / 飲食店,,,https://takepart.co.jp/,https://takepart.co.jp/contact/,https://takepart.co.jp/line/ / https://takepart.co.jp/performance/
3,41,142,E・ウェルスマネジメント株式会社,https://www.ewm.jp/,https://www.ewm.jp/,S｜業界特化Web制作,飲食・観光業向け：Web制作・SNS・集客支援,strategic_valid,受託サービス・地域顧客接点・実フォームを確認,200,200,yes,sns運用 / ブランディング / プロモーション,店舗 / 観光 / クライアント,,,https://www.ewm.jp/,https://www.ewm.jp/,https://www.ewm.jp/#service
