match_type,match_value,normalized_value,decision,source,source_date
company_exact,極洋,極洋,high,JPX,2026-06-30
company_exact,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,veritasinsilico,high,JPX,2026-06-30
company_exact,ＣＣＮグループ,ccnグループ,high,JPX,2026-06-30
company_exact,アイエヌホールディングス,アイエヌホールディングス,high,JPX,2026-06-30
company_exact,ニッスイ,ニッスイ,high,JPX,2026-06-30
company_exact,Ｕｍｉｏｓ,umios,high,JPX,2026-06-30
company_exact,アプライズ,アプライズ,high,JPX,2026-06-30
company_exact,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,vrainsolution,high,JPX,2026-06-30
company_exact,ユキグニファクトリー,ユキグニファクトリー,high,JPX,2026-06-30
company_exact,カネコ種苗,カネコ種苗,high,JPX,2026-06-30
company_exact,サカタのタネ,サカタのタネ,high,JPX,2026-06-30
company_exact,ホクト,ホクト,high,JPX,2026-06-30
company_exact,Ｃｏｃｏｌｉｖｅ,cocolive,high,JPX,2026-06-30
company_exact,秋川牧園,秋川牧園,high,JPX,2026-06-30
company_exact,アクシーズ,アクシーズ,high,JPX,2026-06-30
company_exact,ホーブ,ホーブ,high,JPX,2026-06-30
company_exact,ベルグアース,ベルグアース,high,JPX,2026-06-30
company_exact,ホクリヨウ,ホクリヨウ,high,JPX,2026-06-30
company_exact,光フードサービス,光フードサービス,high,JPX,2026-06-30
company_exact,東日本地所,東日本地所,high,JPX,2026-06-30
company_exact,エムビーエス,エムビーエス,high,JPX,2026-06-30
company_exact,ウエストホールディングス,ウエストホールディングス,high,JPX,2026-06-30
company_exact,ショーボンドホールディングス,ショーボンドホールディングス,high,JPX,2026-06-30
company_exact,ミライト・ワン,ミライトワン,high,JPX,2026-06-30
company_exact,インターライフホールディングス,インターライフホールディングス,high,JPX,2026-06-30
company_exact,タマホーム,タマホーム,high,JPX,2026-06-30
company_exact,トライアルホールディングス,トライアルホールディングス,high,JPX,2026-06-30
company_exact,サンヨーホームズ,サンヨーホームズ,high,JPX,2026-06-30
company_exact,日本アクア,日本アクア,high,JPX,2026-06-30
company_exact,ジンジブ,ジンジブ,high,JPX,2026-06-30
