"company_name","url","address","phone","maps_url","contact_url","message","sent_at","status","error_reason","screenshot_path","provider_used","提案区分","H1","区分","検出ワード"
"株式会社タートル","https://foodapp.jp/","〒730-0037 広島県広島市中区中町1-21-202 カートレスタジオ 事業内容 モバイルオーダー事業 AI導入コンサルティング アプリ開発・システム開発 映像制","","","https://foodapp.jp/download.html","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／予約システム"
"株式会社レバレッジ・イノベーション","https://leverage-i.co.jp/","〒166-0003 東京都杉並区高円寺南4-24-1 五城ビル６階 TEL / FAX 03-6383-2799 URL http://www.leverage-i.","","","https://leverage-i.co.jp/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／開業支援"
"株式会社 森野義","https://www.morinogi.co.jp/","〒612-0029 京都市伏見区深草西浦町7丁目26 TEL：075-642-7836 神戸支店 〒651-2142 兵庫県神戸市西区二ツ屋1丁目2-15 TEL：078-927-7200 金沢営業所","075-642-7836","","https://www.morinogi.co.jp/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／開業支援"
"ベジクル株式会社","https://www.vegekul.com/","","","","https://www.vegekul.com/form/?lp=site","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／開業支援"
"株式会社ピアンティアーモ","https://piantiamo.com/","","06-6955-9805","","https://piantiamo.com/contact/index.html","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／開業支援"
"DeCo合同会社","https://inshokukaigyo.com/","","03-5846-9234","","https://inshokukaigyo.com/contactus/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／開業支援"
"株式会社タニワチ","https://www.taniwachi.com/","090-3868-8566 所在地 〒572-0837 大阪府寝屋川市早子町19-6 事業内容 ・フランチャイズ本部の立ち上げ支援/加盟店開拓 ・開業支援/独立支援 ・飲食店の運営 ・貨物軽自動車運","","","https://www.taniwachi.com/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／開業支援"
"株式会社ワッド","https://www.catchtable.jp/","〒108-0075 東京都港区港南二丁目16番4号 品川グランドセントラルタワー8F 事業内容 日本の飲食店向け 順番待ち・予約・集客CRMサービスの企画・開発・運営","","","https://www.catchtable.jp/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／ブランディング"
"株式会社FBA","https://www.fba-a.com/","","03-3498-5223","","https://www.fba-a.com/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／経営支援"
"エンゲートソフト株式会社","https://www.linechance.com/","400-5426 〒542-0076 大阪府大阪市中央区難波５丁目１−６０ なんばスカイオ 27階 サービス 機能一覧 使い方 料金プラン よくある質問 無料トライアル 会社情報 会社","06-4400-5426","","https://www.linechance.com/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／顧客管理"
"株式会社くだら","https://www.qudara.co.jp/","〒547-0048 大阪府大阪市平野区平野馬場2丁目7番6号 【小売直営店】 ＞＞アクセスマップはコチラ トミーズ萩ノ茶屋店 〒557-0004 大阪府大阪市西成区萩之茶屋２丁目２番８号 創業 198","06-4302-2585","","https://www.qudara.co.jp/cathand/otoiawase.php?serial=05753","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／開業支援"
"株式会社ボイス","https://tablepos.jp/","〒840-2214 佐賀県佐賀市川副町大字小々森146-1 九三ビルディング206号 福岡事務所 〒811-1324 福岡県福岡市南区警弥郷1-10-18 203号 電話番号 0952-20-3336","","","https://tablepos.jp/contact","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／pos"
"Greedy Cat Japan株式会社","https://www.mr-menu.co.jp/","〒107-0052 東京都港区赤坂２丁目１４−１１ 409 電話番号 03-6455-1319 設立 2019年10月 X-twitter Facebook Inst","","","https://www.mr-menu.co.jp/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／pos"
"株式会社和品","https://studio.wahin.co.jp/","","","","https://studio.wahin.co.jp/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／ホームページ制作"
"株式会社Third","https://www.third-arrow.site/","384-1240 お問い合わせフォーム 株式会社Third Arrow 東京都新宿区新宿5-6-2神谷ビル203 TOP SERVICE COMPANY CONTACT © 2026 Third Ar","","","https://www.third-arrow.site/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／マーケティング"
"株式会社イグレック","https://www.igrekcom.co.jp/","〒550-0012 大阪府大阪市西区立売堀1-3-11 ダイタイビル2F 電話番号 0570-011-909（平日10:00-19:00） Fax 06-6535-9","","","https://www.igrekcom.co.jp/form-inquiry/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／pos"
"株式会社トレタ","https://toreta.in/","","","","https://toreta.in/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／予約管理"
"株式会社サカツコーポレーション","https://www.sakaz.co.jp/","〒460-0012 愛知県名古屋市中区千代田一丁目16番1号 TEL.052-242-1111（代表） © 2022 SAKAZ CORPORATION. 採用情報","","","https://www.sakaz.co.jp/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／集客支援"
"株式会社 Wild","https://www.wild2019.com/","〒107-0052 東京都港区赤坂4丁目13番5号赤坂 オフィスハイツ 電話番号 03-6555-1685 事業内容 飲食店のコンサルティング業務 飲食店の採用人事に","","","https://www.wild2019.com/contact.php","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／マーケティング"
"株式会社1","https://food1food.com/","090-1734-0395 Information 会社概要 会社名 株式会社1 代表者 武井克幸 住所 〒103-0022 東京都中央区日本橋 室町１丁目１１−１２ 7階 営業時間 10:00〜2","090-1734-0395","","https://food1food.com/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／ホームページ制作"
"株式会社カレント","https://www.currentcoffee.co.jp/","","0120-343-367","","https://www.currentcoffee.co.jp/contact","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／店舗運営"
"ワルツ株式会社","https://www.waltz.co.jp/","〒441-8077 愛知県豊橋市神野新田町二ノ割1 TEL 0532-33-3510 FAX 0532-33-3515 お問い合わせ ワルツ株式会社の一般事業主行動計","0532-33-3510","","https://www.waltz.co.jp/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／店舗運営"
"株式会社OMOTENASHI","https://omotenashicorp.jp/","","06-6226-7745","","https://omotenashicorp.jp/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／マーケティング"
"株式会社イー・フードビジネス・サポート","https://www.e-fbs.jp/","","050-1807-0947","","https://www.e-fbs.jp/contact1","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／集客支援"
"老舗計画株式会社","https://shinisekeikaku.com/","〒989-1242 宮城県柴田郡大河原町西浦35-1 仙台事務所 〒980-0023 宮城県仙台市青葉区北目町4-7 HSGビル1Fミライトス内※飛び込み営業はご遠慮ご遠慮ください。 メール info","","","https://shinisekeikaku.com/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／開業支援"
"株式会社Homie","https://www.homies-kitchen.jp/","〒730-0043 広島県広島市中区富士見町16-18中国ビル1階 [ TEL ] 082-236-3504 GoogleMAPはこちら 的場キッチン 〒732-0824 広島県広島市南区的場1丁目6","","","https://www.homies-kitchen.jp/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／マーケティング"
"株式会社T2","https://www.t2-company.jp/","〒601-8151 京都市南区上鳥羽塔ノ森東向町541 ☎ 075-205-1787 受付時間：9:30-18:30 365日対応 BBQテラス ABURU 〒606-8343 京都市左京区岡崎成勝寺","","","https://www.t2-company.jp/contact","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／集客支援"
"オフィスラン合同会社","https://www.office-run.com/","715-0361 送信 送信が完了しました。 オフィスラン合同会社 info@office-run.com 電話：045-715-0361 神奈川県横浜市保土ケ谷区狩場町55-4-203 bottom","045-715-0361","","https://www.office-run.com/contact-8","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／開業支援"
"OKコンサルティング株式会社","https://ok-inshoku.jp/","","","","https://ok-inshoku.jp/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：飲食店／マーケティング"
"株式会社エビソル","https://www.ebica.jp/","","","","https://www.ebica.jp/contact-to-service/","","","","","","","","","S｜飲食店DX・集客支援","飲食店特化支援：予約管理・集客支援"
"株式会社テイクパート","https://takepart.co.jp/","","","","https://takepart.co.jp/contact","","","","","","","","","S｜飲食店DX・集客支援","飲食店特化支援：QRオーダー・店舗運営"
"株式会社エフワンコンサルティング","https://foodno1.co.jp/","","","","https://foodno1.co.jp/contact","","","","","","","","","S｜飲食店経営支援","飲食店特化支援：多店舗化コンサルティング"
"株式会社HYC","https://sapporo-hyc.com/","北海道札幌市中央区南5条西3丁目8番地 Nグランデビル6F","011-211-6122","","https://sapporo-hyc.com/contact.html","","","","","","","","","S｜飲食店経営支援","飲食店特化支援：開業・店舗プロデュース"
"株式会社キッチン京都","https://www.kitchen-kyoto.com/","","","","https://kitchen-kyoto.com/script/mailform/companyform/","","","","","","","","","S｜飲食店経営支援","飲食店特化支援：飲食業界コンサルティング"
"株式会社カエルカンパニー","https://kaeru.company/","","","","https://kaeru.company/","","","","","","","","","S｜飲食店経営支援","飲食店特化支援：集客・経営コンサルティング"
"SFYフードビジネスコンサルティングLLC","https://www.sfy-consulting.com/","秋田県大仙市四ツ屋字下新谷地187番1号","0187-73-6133","","https://www.sfy-consulting.com/","","","","","","","","","S｜飲食店経営支援","飲食店特化支援：販促・店舗運営コンサルティング"
"株式会社FTJ","https://ftj-g.co.jp/","","","","https://ftj-g.co.jp/contact/index.php","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：ホームページ・販促ツール制作"
"株式会社FOODOAG","https://foodoag.com/","東京都千代田区五番町6番地2","03-3237-7505","","https://foodoag.com/inquiry/","","","","","","","","","S｜飲食店経営支援","飲食店特化支援：開業・税務・経営支援"
"株式会社飮食店繁盛会","https://hanjoukai.com/","東京都渋谷区幡ケ谷1-8-4 リッツパラシオ302","03-5302-9841","","https://hanjoukai.com/contact/","","","","","","","","","S｜業界特化Web制作","飲食店特化支援：経営・販促・ホームページ制作"
"株式会社Foodish Co.","https://foodishcompany.jp/","東京都杉並区上井草2-37-13","","","https://foodishcompany.jp/#inquiry","","","","","","","","","S｜飲食店経営支援","飲食店特化支援：開業・業態開発・経営支援"
"E・ウェルスマネジメント株式会社","https://www.ewm.jp/","東京都渋谷区道玄坂2-15-1 12F","03-6822-7817","","https://www.ewm.jp/","","","","","","","","","S｜業界特化Web制作","飲食・観光業向け：Web制作・SNS・集客支援"
"株式会社S.S","https://ssfood.co.jp/","東京都千代田区内幸町1-7-1 日比谷OKUROJI H16","03-3833-3057","","https://ssfood.co.jp/contact.html","","","","","","","","","S｜飲食店経営支援","飲食店特化支援：コンサルティング・Webシステム開発"
"株式会社STAYDREAM","https://c-staydream.com/","東京都新宿区西新宿3-3-13 西新宿水間ビル6階","03-6388-1333","","https://c-staydream.com/contact/","","","","","","","","","S｜飲食店経営支援","飲食店特化支援：開業・集客・多店舗化支援"
"株式会社iTrading＆Consultant","https://www.itrading-consuitant.com/","東京都葛飾区西新小岩1-2-7","03-5875-6961","","https://www.itrading-consuitant.com/contact/","","","","","","","","","S｜飲食店開業支援","飲食店特化支援：開業・業態転換コンサルティング"
"株式会社コロンブスのたまご","https://columbus-egg.co.jp/","","","","https://columbus-egg.co.jp/contact/","","","","","","","","","S｜飲食店経営支援","飲食店特化支援：開業・経営コンサルティング"
"株式会社ココチナ","https://kokocina.com/","沖縄県那覇市小禄1831-1 316号室C","098-943-3613","","https://kokocina.com/","","","","","","","","","S｜SNS・Web集客支援","飲食・観光業向け：SNS運用・Web制作・販促支援"
"株式会社PAAN","https://www.paan.co.jp/","東京都目黒区中目黒3-5-20","","","https://www.paan.co.jp/contact","","","","","","","A｜顧客基盤型ハブ","","A｜顧客基盤型ハブ","飲食店特化支援：多言語デジタル基盤・IT導入支援・顧客理解"
"株式会社スパイシーデバイス","https://spicy-device.com/","東京都豊島区西池袋3-29-3 梅本ビル4階","03-6822-4544","","https://spicy-device.com/contact/","","","","","","","A｜顧客基盤型ハブ","","A｜顧客基盤型ハブ","飲食店特化支援：Webツール制作・集客売上改善・多店舗支援"
"株式会社レストランリニュアルデザイン","https://rr-design.co.jp/","東京都渋谷区代官山11-1 代官山ハイツ905","03-6416-0956","","https://rr-design.co.jp/contact/","","","","","","","A｜顧客基盤型ハブ","","A｜顧客基盤型ハブ","飲食店特化支援：店舗改修・総合プロデュース・ロゴ看板制作"
"HOSOYA DINING株式会社","https://hosoyadining.com/","京都府京都市","075-600-0538","","https://hosoyadining.com/inquiry.html","","","","","","","A｜顧客基盤型ハブ","","A｜顧客基盤型ハブ","飲食店・宿泊施設支援：食事企画・マッチング・コンサルティング"
