company_name,url,address,phone,maps_url,contact_url,decision,company_identity_ok,service_evidence_ok,sales_prohibited,enterprise_match,contact_verified,proposal_category,evidence_term
日本ビスカ株式会社,https://www.visca-hp.jp/,,,,https://form.run/@visca-hp,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
D-Style,https://www.dental-hp.net/,,,,https://www.dental-hp.net/info/contact.html,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社ジット,https://clinic.z-it.jp/,,,,https://z-it.jp/contact,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社ナルコーム,https://www.narcohm.co.jp/hp/,,,,https://www.narcohm.co.jp/hp/inquiry/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
Doctor Web Atelier,https://dental-web-atelier.com/,,,,https://dental-web-atelier.com/#contact,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社シルベ,https://www.shirube365.com/,,,,https://www.shirube365.com/contact,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
クリニックファースト,https://clinic-first.com/,,,,https://clinic-first.com/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社グローバルユニティ,https://www.global-unity.jp/,,,,https://www.global-unity.jp/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
病院クリニックホームページ制作チーム,https://www.hospital-hp.com/,,,,https://www.hospital-hp.com/contact,review_company_identity,false,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社アットオフィス,https://www.at-office.co.jp/,,,,https://www.at-office.co.jp/contact.html,review_service_evidence,true,false,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
株式会社ヒーローイノベーション,https://shika-promotion.com/,,,,https://shika-promotion.com/contact/,accept,true,true,false,false,true,S｜業界特化Web制作,歯科・医療関連事業者向けWeb制作・運用
