company_name,url,contact_url,decision,reason
アートム株式会社,https://www.artme.co.jp/,https://www.artme.co.jp/contact/,accept,no_live_or_master_match
株式会社アイ・エス・アイソフトウェアー,https://www.isi-grp.co.jp/,https://www.isi-grp.co.jp/inquiry/,exclude,existing_sheet_match
株式会社アイサイト,https://www.i-site.co.jp/,https://www.i-site.co.jp/recruit-inquiry/,accept,no_live_or_master_match
株式会社ASK,http://cs-ask.co.jp/,https://cs-ask.co.jp/contact/,exclude,existing_sheet_match
株式会社MJカンパニー,https://www.mj-company.co.jp/,https://docs.google.com/forms/d/1SVMMpoDR8tf50OQECA3IX1k7hWrVS05GcsFCg-wEwgE/viewform?ts=6239918c&edit_requested=true,accept,no_live_or_master_match
株式会社エースロジジャパン,https://harikaeou.co.jp/,https://harikaeou.co.jp/contact,accept,no_live_or_master_match
株式会社オーエルシージャパン,https://olcjapan.com/,https://olcjapan.com/contact,accept,no_live_or_master_match
株式会社OptFit,https://optfit.jp/,https://optfit.jp/contact,accept,no_live_or_master_match
株式会社ガウラ,https://www.gaura.jp/,https://www.gaura.jp/,accept,no_live_or_master_match
株式会社クラブビジネスジャパン,https://www.fitnessclub.jp/,https://www.fitnessclub.jp/ask/,accept,no_live_or_master_match
ゲルブ・ジャパン株式会社,https://ja.gerb.com/,https://ja.gerb.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b%e3%81%8a%e3%82%88%e3%81%b3%e4%b8%96%e7%95%8c%e5%90%84%e5%9c%b0%e3%81%ae%e6%8b%a0%e7%82%b9/,accept,no_live_or_master_match
株式会社Sapeet,https://sapeet.com/,https://sapeet.com/contact,review,jpx_name_requires_official_domain_check
株式会社サラインテリアシステム,https://salainterior.com/,https://salainterior.com/mail/,accept,no_live_or_master_match
株式会社シーディアイ,https://www.cdi.jpn.com/,https://www.cdi.jpn.com/contact/,accept,no_live_or_master_match
株式会社ショウエイ,https://www.shoei-roka.co.jp/,https://www.shoei-roka.co.jp/support/contact/?,exclude,existing_sheet_match
株式会社ジムガレージ,https://www.gymgarage.jp/,https://www.gymgarage.jp/page24/,accept,no_live_or_master_match
株式会社ステージゴルフアカデミー,http://www.sga.jp/,https://sga.jp/sga-contact/,accept,no_live_or_master_match
株式会社Sportip,https://www.sportip.jp/,https://www.sportip.jp/contact,accept,no_live_or_master_match
株式会社大幸,http://taiko-inc.co.jp/,http://taiko-inc.co.jp/,accept,no_live_or_master_match
一般社団法人ダンス教育振興連盟JDAC,https://www.jdac.jp/,https://www.jdac.jp/form/event,accept,no_live_or_master_match
株式会社Tailor App,https://www.tailorapp.jp/,https://www.tailorapp.jp/contact/,accept,no_live_or_master_match
株式会社DEECH,https://deech.co.jp/,https://deech.co.jp/contact/,exclude,existing_sheet_match
有限会社東洋電子システム,https://www.tdsystem.co.jp/,https://www.tdsystem.co.jp/,accept,no_live_or_master_match
株式会社トラストワン,https://trust-one.biz/,https://trust-one.biz/contact,accept,no_live_or_master_match
株式会社ニッコン,http://www.nicconpool.com/,http://www.nicconpool.com/contact/,accept,no_live_or_master_match
特定非営利活動法人日本トレーニング指導者協会,https://jati.jp/,https://jati.jp/form/,accept,no_live_or_master_match
株式会社ネスティ,https://www.nesty-g.co.jp/,https://forms.office.com/Pages/ResponsePage.aspx?id=FBtmyaqwEkik68cZZ-YFWnLwThhnUv5Ho-9vXvKA85lUMVdSWklUWjRVWENYSjROOENEUEY3QTYzTi4u,accept,no_live_or_master_match
株式会社博栄開発,https://hakueikaihatsu.jp/,https://hakueikaihatsu.jp/contact/,accept,no_live_or_master_match
株式会社ハヤブサ技研,https://hayabusa-g.co.jp/,https://hayabusa-g.co.jp/contact.html,accept,no_live_or_master_match
ヒサモト産業株式会社,http://www.hisamotosangyo.co.jp/,http://www.hisamotosangyo.co.jp/contact.html,accept,no_live_or_master_match
有限会社ヒロテック,https://www.hirotec.biz/,https://www.hirotec.biz/contact/,accept,no_live_or_master_match
株式会社フィット・コム,https://www.fitcom.co.jp/,https://www.fitcom.co.jp/contact_form/,accept,no_live_or_master_match
株式会社フジモリ,https://fujimori-r.com/,https://fujimori-r.com/contact/,accept,no_live_or_master_match
株式会社ブラボーグループ,https://www.bravogroup.co.jp/,https://www.bravogroup.co.jp/contact/,accept,no_live_or_master_match
株式会社BloomAI,https://www.bloomaijapan.com/,https://www.bloomaijapan.com/,accept,no_live_or_master_match
